	hrefs	replies	threads	views
0	http://www.englishforum.ch/business-entrepreneur/949-posting-area-guidelines-rules-read-first.html	0	Posting in this area - guidelines - rules - read first	17,458
1	http://www.englishforum.ch/business-entrepreneur/65523-sbs-swiss-business-school.html	29	SBS Swiss Business School	12,544
2	http://www.englishforum.ch/business-entrepreneur/237931-swiss-business-school-sbs.html	6	Swiss Business School SBS	2,248
3	http://www.englishforum.ch/business-entrepreneur/9916-help-businesses-freelancers-ch.html	315	Help for Businesses/Freelancers in CH	59,689
4	http://www.englishforum.ch/business-entrepreneur/260634-massage-school-graduates.html	1	Massage school graduates	465
5	http://www.englishforum.ch/business-entrepreneur/192104-looking-rent-workshop-space-z-rich-winterthur.html	11	Looking to rent workshop space in Zürich and Winterthur	2,694
6	http://www.englishforum.ch/business-entrepreneur/249834-opening-bed-breakfast-ideas.html	15	opening a bed and breakfast ideas	2,504
7	http://www.englishforum.ch/business-entrepreneur/263865-what-would-your-business-idea-if-you-had-5m.html	23	What would be your business idea if you had 5M 	832
8	http://www.englishforum.ch/business-entrepreneur/263845-disclosure-private-company-finance-statements.html	1	Disclosure of Private Company Finance Statements	303
9	http://www.englishforum.ch/business-entrepreneur/263787-need-advice-selling-stuff-marketstall.html	26	need advice [Selling Stuff on a Marketstall]	884
10	http://www.englishforum.ch/business-entrepreneur/263762-handmade-handcrafts-products.html	0	Handmade and handcrafts products	265
11	http://www.englishforum.ch/business-entrepreneur/263758-how-evaluate-attractiveness-store-location-z-rich.html	1	How to evaluate the attractiveness of a store location in Zürich?	321
12	http://www.englishforum.ch/business-entrepreneur/263658-small-portions-food-supply-advise-needed.html	5	Small portions food supply - advise needed	520
13	http://www.englishforum.ch/business-entrepreneur/263448-how-protect-next-big-idea.html	28	How to protect the next big idea ?	936
14	http://www.englishforum.ch/business-entrepreneur/263572-company-director.html	0	Company director	316
15	http://www.englishforum.ch/business-entrepreneur/263267-hiring-what-permit-needed.html	3	Hiring: what permit is needed	494
