	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Business & entrepreneur	Posting in this area - guidelines - rules - read first	"""mark"	17624	0	Location: Zollikon, Switzerland	11.08.2006, 15:44	" 
			
			This area is intended as an information exchange / networking possibility for English-speaking people who either have started or are thinking of starting their own business in Switzerland.   
It could be used as a sounding board for ideas, or simply to get to know people in similar industries, or even for people outside the country to ask questions about marketing a product to the swiss   
This areas is   of your business or idea. If you wish to advertise a commercial service please consult the  , and specifically the   for that area.   
Any blatant (or even not so blatant) attempt to do some self-promotion will be acted upon by the moderators. We are all adults - common sense prevails   "	Posts: 3,070	Join Date: May 2005	The Architect	Groaned at 3 Times in 3 Posts	Thanked 418 Times in 115 Posts	a reputation beyond repute
1	Business & entrepreneur	Questions about liability and invoicing of Freelance (sole enterprise) services.	"""Nano"	139	2	Location: Solothurn	Yesterday, 23:08	" 
			
			I work though my own GmbH so have limited liability. Even with that, I have professional indemnity insurance. The amount that you pay will be determined by the nature of your work, and level of cover. Some clients insist on it.   
It is definitely possible to limit liability in a contract. My company has a contract with another company. We work for each other from time to time. We've agreed to limit our liability to each other to a fixed amount.
		"	Posts: 2	Join Date: Jan 2017	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
2	Business & entrepreneur	Help for Businesses/Freelancers in CH	"""Richard"	60525	319	Location: Luzern currently	13.07.2007, 12:23	"    I can imagine they would try and avoid doing such additional admin, especially if they were the-agent-that-got-you-the-job and have you over a barrel, or the payroll-company-that-the-agency-tries-to-force-you-to-deal-with.   
dave        Clearly you raise a good point but... There is a basic rule that must be applied and that is that what is good for one is good for all. this means the rules that are placed within the company apply to everyone and this means the same structures apply across the company. This might not be wanted by the payrolling company hence the problem. Plus it is necessary to have these approved by the local tax authorities.
		"	Posts: 2,565	Join Date: May 2005	Forum Legend	Groaned at 4 Times in 4 Posts	Thanked 720 Times in 373 Posts	a reputation beyond repute
3	Business & entrepreneur	Becoming self-employed in Ticino [EU citizen]	"""vulcan29"	3647	26	Location: uk	30.08.2014, 01:13	" 
			
			Hi again, sorry for resurrecting this thread - eventually we didn't do anything. However we still would like to go to Switzerland (Ticino). Obviously there will be more restrictions in place after the 9th February 2017, when Switzerland will have to impose quotas to everyone (is my understanding correct?).  But it seems that even now the total number of  L and B permits  is severely restricted (eg. only 250 for B permits).   
I was thinking of opening a company in Ticino (with a large capital and income switched to it from my UK company), obviously I would need to find a Swiss resident/citizen as a director (any links of someone who provides this service?). I could then become a (highly-salaried) employee of that company and ask for a work permit. Is that feasible or does anyone have better ideas?   
Thanks again and sorry for the resurrection...
		"	Posts: 12	Join Date: Aug 2014	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 1 Time in 1 Post	no particular reputation at present
4	Business & entrepreneur	importing goods	"""swissv"	225	2	Location: Zurich	02.01.2017, 14:43	" 
			
			Whether you can or not depends on your nationality/Swiss permit.  If an EU national then self-employment isn't too much of a problem, but for a non-EU your Swiss permit will determine whether you can or not. L permit holders are not allowed to be self-employed.
		"	Posts: 5	Join Date: Dec 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
5	Business & entrepreneur	Registering to practice Holistic medicine	"""caffeinated"	1304	25	Location: Zurich	21.11.2016, 18:05	"    The question was ""what therapies"" do you offer, not what do you treat.
		"	Posts: 3	Join Date: Mar 2016	Newbie	Groaned at 8 Times in 2 Posts	Thanked 0 Times in 0 Posts	become a little unpopular
6	Business & entrepreneur	Purchasing Used or New Office Furniture	"""Swisscowboy"	287	4	Location: Zurich	29.12.2016, 10:45	"       
We had USM and regretted buying it as only qualified USM technicians know how to assemble it correctly. If you never plan to move it is not an issue.     
The price for used USM furniture is still very high.
		"	Posts: 13	Join Date: Jan 2012	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 2 Times in 1 Post	no particular reputation at present
7	Business & entrepreneur	SBS Swiss Business School	"""solo1"	12777	29	Location: Cyprus	27.10.2009, 15:50	" 
			
			If I go ahead and apply to SBS and complete the MBA program, then my intention is to stay in Zurich and work there. From my understanding and the rankings, the business school doesn't have the reputation, quality and accreditation of other business schools in Switzerland such as IMD, university of St. Gallen etc. However, a positive factor could be considered the fact that SBS is located in Zurich and that provides great networking opportunities with big financial firms. As long as the SBS provides a legitimate recognized degree (which I haven't been able to verify yet), and employers in the area hire from SBS then this MBA program seems like a good alternative.
		"	Posts: 3	Join Date: Oct 2009	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
8	Business & entrepreneur	Swiss Business School SBS	"""JonElia"	2327	6	Location: Geneve	29.07.2015, 19:46	"    You sound like a bitter person. Did you really come here just for the purpose of making vague statements about SBS?
		"	Posts: 14	Join Date: Jul 2015	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
9	Business & entrepreneur	Massage school graduates	"""Melmar"	539	1	Location: bassel	02.10.2016, 15:05	" 
			
			Hi, 
I am freelance massage therapist. I am based in Zug.    "	Posts: 1	Join Date: Jul 2012	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
10	Business & entrepreneur	Looking to rent workshop space in Zürich and Winterthur	"""BellaGlover"	2777	11	Location: Winterthur	05.11.2013, 16:50	" 
			
			Just seeing what's out there and available and will create my workshops/classes around that. I would like to offer 2-3 day workshops (ie: fri, 5:30-9:30, sat, 10-5, sun 10-5) and once or twice a week classes during the week ie: mon/wed or tues/thurs - 5:30-9:30pm - bright space, for approx. 8-15 people - thanks!
		"	Posts: 11	Join Date: Nov 2013	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 4 Times in 3 Posts	no particular reputation at present
11	Business & entrepreneur	opening a bed and breakfast ideas	"""SwissChalet"	2583	15	Location: SPRINGFIELD	02.03.2016, 23:58	"    Fair enough- but 'groan' Gata ???   
Tourism in Switzerland is really suffering due to high CHF, high costs, and the currencies from many countries going down, especially Sterling. 
So perhaps not a good time for a new B&B, as many are on the brink.   
Unless you can find a 'niche' market - and offer something others do not offer- like guiding, wiht a good knowledge of local culture, history, flowers, wildlife, etc- which as a newcomer you just won't have. Or offer residential courses, art, yoga, tai-chi, whatever ...   
What I will do if I have to return to work, but then I know this part of the world like my back pocket and have all the necessary contacts- and speak the local language, as well as several others,  which would truly help.   
BTW, what is the area around Famagusta like these days? (the setting for The Sunrise, by Victoria Hislop).
		"	Posts: 2	Join Date: Mar 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
12	Business & entrepreneur	What would be your business idea if you had 5M 	"""cangarooo"	950	23	Location: Zürich	15.12.2016, 18:55	    Maybe take Blueangel on as a partner, vertical integration and all that   	Posts: 75	Join Date: Jun 2010	Junior Member	Groaned at 5 Times in 1 Post	Thanked 76 Times in 22 Posts	earned some respect
13	Business & entrepreneur	Disclosure of Private Company Finance Statements	"""Sean Chen"	370	1	Location: Taiwan	15.12.2016, 03:38	" 
			
			This prior thread might assist you:      "	Posts: 1	Join Date: Oct 2014	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
14	Business & entrepreneur	need advice [Selling Stuff on a Marketstall]	"""Dan83"	993	26	Location: nyon	13.12.2016, 15:07	"    Generally speaking you don't need to found a company or register yourself as a business just to start, assuming it's on a small scale. Do note though that in such a case you can be held liable with all your personal wealth if things go wrong - just saying. I think as long as you do less than 100k annually you don't need a VAT number either.   
However, there may be additional requirements and regulations applicable to you so you won't get a clear answer here, even more so as you provide zero info.    
In order to be certain you need to contact the local authorities in Nyon and Geneva as well as those of both Kantons (though hopefully you get info on all four by contacting just one).
		"	Posts: 11	Join Date: Dec 2016	Newbie 1st class	Groaned at 1 Time in 1 Post	Thanked 2 Times in 1 Post	slipped a little
15	Business & entrepreneur	Handmade and handcrafts products	"""mot82"	329	0	Location: Zurich	13.12.2016, 02:23	" 
			
			A friend of mine is working in the field of traditional handmade and handcrafts pottery, glass, textiles, cotton products from the middle east. He was wondering if he can show these fine products here in Switzerland, like in some expo or so, any tips?
		"	Posts: 20	Join Date: Feb 2010	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 2 Times in 2 Posts	made some interesting contributions
16	Business & entrepreneur	How to evaluate the attractiveness of a store location in Zürich?	"""JulieMarie"	384	1	Location: Zürich	12.12.2016, 23:09	"      Look around and see what other kinds of stores are there, what type and how many people go by the store. Are they carrying shopping bags? Is it on a main road? Near public transportation or a tourist attraction? Or is it in a dark lonely back alley?    
Common sense is free.   "	Posts: 3	Join Date: Apr 2010	Newbie	Groaned at 0 Times in 0 Posts	Thanked 1 Time in 1 Post	no particular reputation at present
