	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Commercial events	FAQ : How to Create a Recurring Event	"""mirfield"	5586	0	Location: Basel	07.02.2013, 10:12	                                            	Posts: 8,241	Join Date: Apr 2007	Moddy McModface	Groaned at 52 Times in 46 Posts	Thanked 8,180 Times in 2,984 Posts	a reputation beyond repute
1	Commercial events	Posting a commercial event? Read this first ...	"""Nanda"	14473	8	Location: Zurich	03.06.2007, 15:19	" 
			
			Here are the guidelines for posting commercial events.        
You probably know already that your event is commercial, rather than social. In short, if you're advertising your business, charging a fee or hoping to sell something, then it's a commercial event.   have no commercial interest.    
Examples of commercial events are comedy nights, wine tasting, salsa class and advertising concerts. This also includes clubs that charge for events or membership fees.    
Commercial events should specify if there is an entry fee or other price attached. They should preferably have some angle of interest for the expat/englishforum community.   
Example: If I invite people to meet in a pub to watch Chris Black sing, then it's a social event. If Chris himself makes the invitation, then it's commercial.        
There are now two calendars: social (default calendar) and commercial. This helps to separate the different types of event. To see the commercial calendar, look at the bottom right of the calendar and use the “Calendar Jump” field.    
Commercial events should only be posted in the commercial calendar.        
In order to post an event, you have to have a little forum history. Most people qualify pretty quickly. The reason for this is that we want to encourage people to be an active part of the community and not to use it just for free advertising. The qualifications are as follows:   
In case you have further questions, feel free to post your question here.
		"	Posts: 813	Join Date: May 2005	Forum Veteran	Groaned at 2 Times in 1 Post	Thanked 168 Times in 114 Posts	earned the respect of many
2	Commercial events	(Zürich, Other, Viewfinder Center, 350) Digital Photography Beginners Course | 12.01.2017	"""Katya"	626	2	Location: Zurich	15.11.2016, 21:35	" 
			
			Hello 
Interested to explore how the photography hobby be converted into a profession? any tips/suggestions?
		"	Posts: 10	Join Date: Jul 2008	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 2 Times in 2 Posts	no particular reputation at present
3	Commercial events	(GENEVA, Concert/Show, Thtre du Leman, Quai de Mont Blanc 19 GE, Chf 75/65/55.-) Dara O Brian Live in Geneva | 22.01.2017 20:00 -  22:30	null	258	0	null	null	null	null	null	null	null	null	null
4	Commercial events	(BASEL, Concert/Show, Rhypark, Mülhauserstrasse 17, 4056 Basel, Chf 65.-) Dara O Brian Live in Basel | 21.01.2017 20:00 -  22:30	null	170	0	null	null	null	null	null	null	null	null	null
5	Commercial events	(ZURICH, Concert/Show, Volkshaus, Stauffacherstr. 60, 8003 ZH, Chf 65.-) Dara O Brian Live in Zurich | 20.01.2017 20:00 -  22:30	null	202	0	null	null	null	null	null	null	null	null	null
6	Commercial events	(BASEL, Concert/Show, Alte Markthalle, 4051 Basel, Chf 40/35.-) International Comedy Club Basel - Simon Evans | 14.01.2017 20:00 -  22:00	null	215	0	null	null	null	null	null	null	null	null	null
7	Commercial events	(ZURICH, Concert/Show, Mscotte, Theaterstr. 10, 8001 Zurich, Chf 40/35.-) International Comedy Club Zurich - Simon Evans | 13.01.2017 20:00 -  22:00	null	259	0	null	null	null	null	null	null	null	null	null
8	Commercial events	(GENEVA, Concert/Show, Uptown Geneva 2 Rue de Servette 1201 G E, Chf 40/35.-) International Comedy Club Geneva - Simon Evans | 11.01.2017 20:00 -  22:00	null	227	0	null	null	null	null	null	null	null	null	null
9	Commercial events	(Landesmuseum, Other, Museumstrasse 2, Zurich, Free entrance) Live on Ice | 19.12.2016 16:00 - 02.01.2017 22:00	"""KevinDK"	269	1	Location: Fribourg	19.12.2016, 12:26	" 
			
			Was there in the weekend - Just a thumbs up, it was very cosy.
		"	Posts: 82	Join Date: Dec 2015	Junior Member	Groaned at 4 Times in 1 Post	Thanked 39 Times in 24 Posts	no particular reputation at present
