	hrefs	replies	threads	views
0	http://www.englishforum.ch/complaints-corner/250693-fust-ag-bad-experience.html	9	Fust AG. Bad experience.	1,579
1	http://www.englishforum.ch/complaints-corner/261115-upc-billing-problems.html	26	UPC billing problems	1,740
2	http://www.englishforum.ch/complaints-corner/263999-any-competent-company-ch.html	65	Any competent company in CH?	3,012
3	http://www.englishforum.ch/complaints-corner/264158-potted-cut-christmas-tree.html	15	A potted cut Christmas tree	855
4	http://www.englishforum.ch/complaints-corner/263869-berufserfahrung-why-does-nobody-give-me-chance.html	13	Berufserfahrung? why does nobody give me a chance?	1,564
5	http://www.englishforum.ch/complaints-corner/264046-refund-cancelation-flight-lufthansa.html	5	refund on cancelation flight - Lufthansa	827
6	http://www.englishforum.ch/complaints-corner/261734-9-months-switzerland-honest-report.html	986	9 months in Switzerland - a honest report.	30,770
7	http://www.englishforum.ch/complaints-corner/264047-extra-credits-lycamobile.html	2	extra credits on Lycamobile	647
8	http://www.englishforum.ch/complaints-corner/263802-indian-restaurants-z-rich.html	29	Indian restaurants Zürich	1,908
9	http://www.englishforum.ch/complaints-corner/163796-smoking-issue-neighbours.html	325	Smoking issue from neighbours	17,656
10	http://www.englishforum.ch/complaints-corner/133901-annoying-phone-calls.html	152	Annoying phone calls	22,300
11	http://www.englishforum.ch/complaints-corner/180106-humidity-cellar.html	23	Humidity in cellar	2,380
12	http://www.englishforum.ch/complaints-corner/263486-neighbours-fighting-very-very-loud.html	65	Neighbours fighting very very loud	3,428
13	http://www.englishforum.ch/complaints-corner/180782-swiss-stare.html	310	Swiss Stare	28,568
14	http://www.englishforum.ch/complaints-corner/30369-acer-interdiscount-no-respect-no-consumer-rights-help-please.html	30	Acer + InterDiscount = No Respect & No Consumer Rights! Help, please!	3,120
15	http://www.englishforum.ch/complaints-corner/263628-gym-hovers.html	23	Gym Hovers	1,016
16	http://www.englishforum.ch/complaints-corner/263633-creepy-how-does-google-know.html	18	creepy - how does Google know?	740
17	http://www.englishforum.ch/complaints-corner/125021-laundry-room.html	43	Laundry room	5,199
18	http://www.englishforum.ch/complaints-corner/232494-micro-rant-thread.html	312	The micro-RANT thread	35,005
19	http://www.englishforum.ch/complaints-corner/261929-any-return-right-online-purchase-non-swiss-consumer.html	32	Any return-right for online purchase by a non-Swiss consumer?	1,757
20	http://www.englishforum.ch/complaints-corner/263287-unscrupulous-fust-geneva.html	8	The Unscrupulous FUST in Geneva	1,435
21	http://www.englishforum.ch/complaints-corner/260567-who-blame-damaged-luggage.html	46	Who to blame? [damaged luggage]	3,311
22	http://www.englishforum.ch/complaints-corner/262939-unserious-buyer-ricardo-possible-reach-2nd-highest-bidder.html	12	Unserious buyer on Ricardo, possible to reach the 2nd highest bidder?	2,085
23	http://www.englishforum.ch/complaints-corner/263026-animal-abuse-bus.html	27	Animal abuse on bus	2,478
24	http://www.englishforum.ch/complaints-corner/262840-nikon-service-d750-3rd-time-lucky.html	0	Nikon service of D750: 3rd time is lucky	1,549
25	http://www.englishforum.ch/complaints-corner/211062-coop-sold-me-expired-food.html	196	Coop sold me expired food	16,360
26	http://www.englishforum.ch/complaints-corner/262738-complaint-dominos.html	18	complaint on dominos	2,455
27	http://www.englishforum.ch/complaints-corner/262724-apartment-made-cardboard.html	34	Apartment made of cardboard...	3,078
28	http://www.englishforum.ch/complaints-corner/262361-laundry-woes.html	77	Laundry Woes	4,016
29	http://www.englishforum.ch/complaints-corner/262173-erv-wau-miau-pet-insurance.html	1	ERV Wau-Miau pet insurance	548
30	http://www.englishforum.ch/complaints-corner/262364-train-bus-never-together.html	21	Train - bus never together	1,515
31	http://www.englishforum.ch/complaints-corner/262594-help-ex-pat-brit-spain.html	3	Help Ex pat Brit in Spain	2,296
32	http://www.englishforum.ch/complaints-corner/262390-car-repaire-grumble.html	39	Car repaire grumble	1,023
33	http://www.englishforum.ch/complaints-corner/261899-how-complain-head-parking-ticket-office-please.html	27	How to complain the head of parking ticket office please?	1,568
34	http://www.englishforum.ch/complaints-corner/96863-bad-experience-lausanne-hospital-chuv.html	10	Bad experience at Lausanne hospital (CHUV)	6,839
35	http://www.englishforum.ch/complaints-corner/261891-indian-restaurant-villeneuve.html	5	Indian Restaurant Villeneuve	786
36	http://www.englishforum.ch/complaints-corner/259769-fellow-expat-owes-me-money.html	68	Fellow expat owes me money	6,211
37	http://www.englishforum.ch/complaints-corner/260048-stop-kidding-german-must.html	133	Stop kidding on that German is a MUST!!	7,341
38	http://www.englishforum.ch/complaints-corner/259493-food-poisoning-work.html	66	Food Poisoning from work	3,794
39	http://www.englishforum.ch/complaints-corner/262063-robbery-apartment.html	14	Robbery in apartment	1,323
40	http://www.englishforum.ch/complaints-corner/261601-cigarette-smoke.html	272	Cigarette Smoke	6,221
41	http://www.englishforum.ch/complaints-corner/55429-microspot-ch-ryanair-online-shopping.html	46	Microspot.ch - The Ryanair of online shopping	11,153
