	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Complaints corner	Ricardo-wrong product delivered		969	47	Zürich	05.01.2017, 16:40	    Actually it sounds more like opinions on a future possibly complaint   	3727	 Oct 2007	6.0	['385', '202']	['1', '178', '756']	m
1	Complaints corner	the great Swisscom cock pit bilk	armed_neutrality	267	8	Vaud	19.1.2017, 14:59	"    English is not your native language then?
		"	114	 May 2014	3.0	['7', '2']	['101', '52']	4
2	Complaints corner	How to deal with difficult co-worker	Karl	5773	102	Here	30.12.2016, 06:14	" 
			
			blimey people are making this way more complicated then it needs to be, emails, meetings, covering arses, softly softly approach etc etc, just ask her if she has a problem with you, she'll say no and life moves on, or she'll say yes and you can take it from there.
		"	1723	 Sep 2008	5.0	['173', '77']	['2', '512', '812']	6
3	Complaints corner	**Warning ** Inter Discount** Warning**	KarlN	32366	189	Zurich	11.06.2009, 19:05	" 
			
			I wouldn't buy expensive electronic equipment at Interdiscount. I know people who have witnessed similar things. They are just salesmen, don't care too much about after-sales service. Go to shops like digitec.ch or similar for cheaper cameras and better service. Avoid Media Markt too, Saturn is supposed to be better but can't confirm from personal experience.
		"	1258	 Aug 2008	5.0	['11', '10']	['301', '183']	6
4	Complaints corner	DHL are muppets	xynth	829	18	Zurich	04.01.2017, 20:23	    Exactly.      	772	 Aug 2006	5.0	['37', '24']	['1', '733', '515']	6
5	Complaints corner	Multiple racist incidents at Petra's Tip Top Bar, Zurich	makas	2408	73	Zurich	05.01.2017, 16:52	"    Was it the Blue Oyster Bar?
		"	82	 Feb 2015	2.0	['37', '18']	['29', '19']	-5
6	Complaints corner	Don't trust LATAM (the airline...)	guest	2220	43	null	1.1.0001, 00:00	"    ...from a check-in agent who possibly didn't understand the ticket rules. It happens unfortunately. Just hope this gets resolved correctly for you.
		"		 Jun 0001		[]	[]	
7	Complaints corner	Neighbours fighting very very loud	acmilan	3830	66	San Donato Milanese	06.12.2016, 00:34	    I'm happy it worked for you. But I like both families. I'm not sure they'll like us if I call them 'retarded f**kwits'   	378	 Aug 2008	4.0	['15', '10']	['504', '192']	5
8	Complaints corner	The micro-RANT thread	Castro	35757	320	Basel-Land of Smiles	27.04.2015, 12:04	" 
			
			. . . . . every day on the train - the chewing gum `poppers` (wa*kers)- the newspaper slammers (that is those unable to turn the pages of newspapers normally - I could go on and on . . but that would contravene a micro rant.
		"	4795	 Nov 2007	8.0	['94', '75']	['12', '822', '4', '181']	6
9	Complaints corner	The Unscrupulous FUST in Geneva	tdanik	1740	13	Geneva	01.12.2016, 12:25	" 
			
			Despite your lack of paragraphs, can only confirm that I've made terrible experiences with Fust over around 15 years.
		"	1	 Dec 2016	0.0	['0', '0']	['0', '0']	0
