	hrefs	replies	threads	views
0	http://www.englishforum.ch/concerts/50501-switzerland-gigs-heads-up.html	1,100	"Switzerland Gigs ""Heads Up"""	146,057
1	http://www.englishforum.ch/concerts/263903-any-date-friendly-little-concerts-zurich-tonight.html	0	Any date-friendly little concerts in Zurich tonight?	241
2	http://www.englishforum.ch/concerts/258523-alternative-music-anywhere.html	24	Alternative music anywhere?	2,145
3	http://www.englishforum.ch/concerts/258617-symphony-concerts-children.html	3	Symphony concerts for children?	770
4	http://www.englishforum.ch/concerts/262772-small-bars-places-acoustic-livemusic.html	3	Small bars/places with acoustic livemusic?	587
5	http://www.englishforum.ch/concerts/199974-mamma-mia-basel-english-german.html	11	Mamma Mia in Basel, English or German?	3,821
6	http://www.englishforum.ch/concerts/262645-hulk-city.html	1	Hulk City  -	392
7	http://www.englishforum.ch/concerts/245358-christmas-carol-concert-basel-01-01-1970-a.html	3	Christmas Carol concert (Basel) | 01.01.1970	2,211
8	http://www.englishforum.ch/concerts/261897-volbeat.html	1	Volbeat	389
9	http://www.englishforum.ch/concerts/162168-bollywood-movie-jab-tak-hai-jaan-riffraff-zurich.html	7	Bollywood Movie (Jab Tak Hai Jaan) @ RiffRaff Zurich	4,428
10	http://www.englishforum.ch/concerts/234690-pipes-drums-geneva.html	2	Pipes & Drums of Geneva	1,790
11	http://www.englishforum.ch/concerts/259142-vieux-farka-toure-last-night.html	3	Vieux Farka Toure, last night	662
12	http://www.englishforum.ch/concerts/237983-hang-violin-bbq-daniel-waples-flavio-lopez-01-01-1970-a.html	22	HANG and violin BBQ -Daniel Waples + Flavio Lopez | 01.01.1970	3,763
13	http://www.englishforum.ch/concerts/256341-travis-coming-feldkirch.html	0	Travis are coming to Feldkirch	1,365
14	http://www.englishforum.ch/concerts/254833-black-sabbath.html	6	Black Sabbath	1,765
15	http://www.englishforum.ch/concerts/255371-dinosaur-jr-basel-thu-bern-sat-week.html	0	Dinosaur Jr in Basel (thu) and Bern (sat) this week	1,225
16	http://www.englishforum.ch/concerts/255216-top-concert-jecklin-forum-italienische-musik-der-renaissance-tonight-free.html	1	Top Concert:  Jecklin Forum Italienische Musik der Renaissance tonight for free	1,231
17	http://www.englishforum.ch/concerts/255178-rammstein-live-allmend-luzern.html	0	Rammstein Live in Allmend, Luzern	1,280
18	http://www.englishforum.ch/concerts/255071-cavea-trio-english-baroque-music-11-6-wasserkirche-z-rich.html	0	Cavea Trio - English baroque music, 11.6. in Wasserkirche Zürich	1,119
19	http://www.englishforum.ch/concerts/255019-john-carpenter-concert.html	0	John Carpenter in Concert!	1,136
20	http://www.englishforum.ch/concerts/254985-paul-simon-tickets-go-sale-zurich-gig-november.html	2	Paul Simon tickets go on sale for Zurich gig, November	1,249
21	http://www.englishforum.ch/concerts/252696-greenfield-festival-8-11-juni.html	9	Greenfield Festival 8-11 Juni	2,165
22	http://www.englishforum.ch/concerts/244562-jazz-clubs-zurich.html	15	Jazz clubs Zurich?	3,597
23	http://www.englishforum.ch/concerts/254688-avishai-cohen-trio-zug-friday.html	0	Avishai Cohen trio in Zug this Friday	1,281
24	http://www.englishforum.ch/concerts/233089-editors-zurich-lausanne.html	9	Editors in Zurich and Lausanne	3,603
25	http://www.englishforum.ch/concerts/252727-lesung-swiss-german.html	0	Lesung- in Swiss German	1,495
26	http://www.englishforum.ch/concerts/251088-unloved-concerts-calendar.html	2	Unloved Concerts Calendar	1,836
27	http://www.englishforum.ch/concerts/252050-enrico-ruggeri-lugano-27-april.html	3	Enrico Ruggeri, Lugano 27 April	1,730
28	http://www.englishforum.ch/concerts/249911-public-service-broadcasting-zurch.html	1	Public Service Broadcasting - Zurch	1,868
29	http://www.englishforum.ch/concerts/249981-young-geneva-rock-tonight.html	0	Young in Geneva - Rock tonight ..	1,706
30	http://www.englishforum.ch/concerts/247605-skunk-anansie-zurich-16-02-2016-a.html	4	Skunk Anansie - Zurich 16.02.2016	2,167
31	http://www.englishforum.ch/concerts/247510-swiss-yodel-evening-geneva-30-january-ef-member-performing.html	14	A Swiss-Yodel evening in Geneva [30 January, EF member performing!!]	2,394
32	http://www.englishforum.ch/concerts/241716-there-any-ethnic-concert-management-z-rich.html	1	Is there any Ethnic concert management in Zürich?	2,039
33	http://www.englishforum.ch/concerts/245075-troye-sivan-blue-neighbourhood-tour-z-rich-plaza.html	3	"Troye Sivan ""Blue Neighbourhood Tour"" in Zürich, Plaza"	2,511
34	http://www.englishforum.ch/concerts/140579-classical-music.html	7	Classical music?	2,755
35	http://www.englishforum.ch/concerts/244382-christmas-concert.html	0	Christmas Concert	1,835
36	http://www.englishforum.ch/concerts/244154-nicolas-meier-jazz-quartet-fribourg.html	0	Nicolas Meier Jazz Quartet in Fribourg	1,654
37	http://www.englishforum.ch/concerts/244122-tonight-mandolin-orange-nov-22-ins-neuchatel-biel.html	0	TONIGHT - Mandolin Orange - Nov 22 - Ins (Neuchatel/Biel)	1,538
38	http://www.englishforum.ch/concerts/244088-champions-show-lausanne.html	0	'Champions' show in Lausanne	1,581
39	http://www.englishforum.ch/concerts/243628-my-little-friend-student-neighbour-marie.html	2	My little friend, student and neighbour Marie ...	1,710
40	http://www.englishforum.ch/concerts/241740-interesting-concert-riverside-platteln.html	8	"Interesting Concert of ""Riverside"" in Platteln"	1,946
41	http://www.englishforum.ch/concerts/243286-karl-jenkins-armed-man-mass-peace.html	3	Karl Jenkins The Armed Man/Mass for Peace	1,511
42	http://www.englishforum.ch/concerts/241845-gods-dogs-contemporary-ballet.html	0	Gods and Dogs - contemporary ballet	1,428
43	http://www.englishforum.ch/concerts/241741-persian-concert-z-rich-hossein-alizadeh.html	2	Persian concert in Zürich (Hossein Alizadeh)	1,583
44	http://www.englishforum.ch/concerts/234866-acdc-zurich-last-night-sunday.html	3	ACDC in Zurich - Last night and on Sunday	2,326
45	http://www.englishforum.ch/concerts/241308-canadian-rock-band-tour.html	2	Canadian rock band on tour	1,782
46	http://www.englishforum.ch/concerts/241232-zff-need-your-votes-please.html	1	ZFF: Need your votes, please.	1,439
47	http://www.englishforum.ch/concerts/240888-zurich-film-festival.html	0	Zurich Film Festival	1,500
48	http://www.englishforum.ch/concerts/240670-bluegrass-vespers-sept-29-zh.html	0	Bluegrass Vespers, Sept 29, ZH	1,393
49	http://www.englishforum.ch/concerts/240470-classical-also-free-donation-concerts-switzerland.html	2	Classical (also free/donation) concerts in Switzerland	1,276
50	http://www.englishforum.ch/concerts/239377-zurich-street-parade-2015-a.html	39	[Zurich] Street Parade 2015	5,178
51	http://www.englishforum.ch/concerts/240412-st-fa-orchestra-concert-reinhard-mayr-bass-singer-18-09-19-09-a.html	0	Stäfa orchestra concert with Reinhard Mayr(bass singer)/18.09, 19.09	1,032
52	http://www.englishforum.ch/concerts/240398-2-swiss-ukulele-day-17-10-15-a.html	0	2. Swiss Ukulele Day 17.10.15	1,036
53	http://www.englishforum.ch/concerts/238066-z7-pratteln-anyone-going-there.html	0	Z7 in Pratteln - Anyone going there?	1,233
54	http://www.englishforum.ch/concerts/76206-paloma-faith-zurich.html	5	Paloma Faith Zurich	2,255
55	http://www.englishforum.ch/concerts/235843-swan-big-band-free-concerts-29-6-6-7-a.html	4	Swan Big Band - free concerts 29.6. & 6.7	1,569
56	http://www.englishforum.ch/concerts/236649-audio-play-alte-bontanische-garten-john-cleese.html	1	Audio play at Alte Bontanische Garten, and John Cleese	1,117
57	http://www.englishforum.ch/concerts/236387-portishead.html	0	Portishead	1,093
58	http://www.englishforum.ch/concerts/235831-aida-free-open-air-opera-sechsel-utenplatz.html	0	Aida - free Open Air Opera @Sechseläutenplatz	1,341
59	http://www.englishforum.ch/concerts/235774-la-f-te-de-la-musique-music-festival.html	0	La Fête de la Musique (music festival)	1,039
60	http://www.englishforum.ch/concerts/235473-deva-premal-mitten-last-night-14-06-2015-a.html	0	Deva Premal and Mitten last night (14.06.2015)	1,099
61	http://www.englishforum.ch/concerts/235360-one-republic-last-night-hallenstadium.html	1	One Republic last night at Hallenstadium	1,200
62	http://www.englishforum.ch/concerts/234833-dreispitzhalle-how-far.html	2	Dreispitzhalle how far	1,104
63	http://www.englishforum.ch/jobs-offered/234495-looking-musicians-perform-june-13th-20th-zurich.html	-	Looking for musicians to perform on June 13th/20th in Zurich	-
64	http://www.englishforum.ch/concerts/234069-disney-paris-lower-prices-online.html	1	Disney Paris at lower prices online	1,178
65	http://www.englishforum.ch/concerts/233933-s-africa-time-winterthur.html	0	It's Africa time in Winterthur	1,209
66	http://www.englishforum.ch/jobs-offered/233662-looking-choir-perform-may-30th-zurich.html	-	Looking for a choir to perform on May 30th in Zurich	-
67	http://www.englishforum.ch/concerts/233102-kay-one-09-05-2015-komplex-457-a.html	0	Kay One 09.05.2015  - komplex 457	1,180
68	http://www.englishforum.ch/concerts/232878-string-trio-concert-zurich-01-01-1970-a.html	0	String Trio Concert in Zurich | 01.01.1970	1,153
69	http://www.englishforum.ch/concerts/232801-sandra-stranieri-band-01-01-1970-a.html	0	Sandra Stranieri & Band | 01.01.1970	1,121
70	http://www.englishforum.ch/concerts/231951-edm-festivals.html	2	EDM Festivals	2,529
71	http://www.englishforum.ch/concerts/231230-do-you-want-produce-cd-yourself-your-group.html	2	Do you want to produce a CD for yourself or your group?	1,326
72	http://www.englishforum.ch/concerts/107554-jazz-lausanne.html	2	Jazz in Lausanne	1,990
73	http://www.englishforum.ch/concerts/230308-ensiferum.html	0	Ensiferum	1,122
