	hrefs	replies	threads	views
0	http://www.englishforum.ch/education/49382-childcare-schooling-switzerland.html	128	Childcare and Schooling in Switzerland	61,398
1	http://www.englishforum.ch/education/222863-academia-international-school-pre-school-primary-school-precollege-college.html	0	academia International School  Pre-School, Primary School, Precollege, College	5,788
2	http://www.englishforum.ch/education/167521-read-about-posting-education-forum.html	0	Read This - About Posting in the Education Forum	8,865
3	http://www.englishforum.ch/education/107401-swiss-school-system.html	1	Swiss School System	16,742
4	http://www.englishforum.ch/education/264319-summer-admissions-international-schools.html	3	Summer admissions to International Schools	155
5	http://www.englishforum.ch/education/259956-educational-career-attainment-us-citizen-moving-switzerland.html	34	Educational and Career Attainment for US Citizen Moving to Switzerland	2,179
6	http://www.englishforum.ch/education/264053-hospitality-tutor.html	1	Hospitality Tutor	202
7	http://www.englishforum.ch/education/264022-planning-study-university-lausanne.html	28	Planning to study at the university of lausanne	513
8	http://www.englishforum.ch/education/263961-need-your-help.html	48	İ need your help	1,380
9	http://www.englishforum.ch/education/263796-occasional-childcare-basel.html	2	Occasional childcare in Basel	346
10	http://www.englishforum.ch/education/263960-german-swiss-german-public-school.html	3	German or Swiss German in public school?	238
11	http://www.englishforum.ch/education/263948-school-7-years-old-around-psi.html	4	School for 7 years old around PSI	335
12	http://www.englishforum.ch/education/263873-learning-civil-engineering-switzerland-foreign-english.html	4	Learning civil engineering in Switzerland as foreign in English.	356
13	http://www.englishforum.ch/education/244634-looking-lab-supplies-store-microscope.html	5	Looking for a lab supplies store and microscope	1,242
14	http://www.englishforum.ch/education/263792-morning-evening-routines.html	20	Morning and evening routines	942
15	http://www.englishforum.ch/education/223475-ticino-pre-school-accepts-special-needs.html	7	Ticino pre-school that accepts special needs	1,802
16	http://www.englishforum.ch/education/263780-paralegal-certificate.html	5	Paralegal certificate	270
17	http://www.englishforum.ch/education/263763-need-opinions-about-studying-switzerland-foreigner.html	7	Need opinions about studying in Switzerland for a foreigner	490
18	http://www.englishforum.ch/education/262998-11-best-school-systems-world.html	24	The 11 best school systems in the world	1,942
19	http://www.englishforum.ch/education/263480-english-speaking-school-lausanne-ensr-vs-mickey-montessori.html	7	English speaking school in Lausanne (ENSR vs. Mickey Montessori)	512
20	http://www.englishforum.ch/education/217307-religion-classes-school.html	280	Religion classes at school.	13,524
21	http://www.englishforum.ch/education/72942-gymnasium-questions.html	46	Gymnasium questions	9,538
22	http://www.englishforum.ch/education/263664-sport-music-school.html	5	Sport and music at school	381
23	http://www.englishforum.ch/education/263661-aviation-related-degree-taught-english.html	6	Aviation related degree taught in english	332
24	http://www.englishforum.ch/education/263635-executive-mba-university-geneva.html	0	Executive MBA at University of Geneva	231
25	http://www.englishforum.ch/education/261434-how-state-schools-around-lausanne.html	11	How are the state schools around Lausanne ?	965
26	http://www.englishforum.ch/jobs-offered/263534-looking-english-teacher.html	-	Looking for an English Teacher	-
27	http://www.englishforum.ch/education/140268-swiss-international-school-zurich-north-iszn.html	29	Swiss International School Zurich North (ISZN)	9,189
28	http://www.englishforum.ch/education/263508-montessori-school-re-integration-into-public-schools-12-a.html	2	Montessori school and re-integration into public schools at 12	343
29	http://www.englishforum.ch/education/260692-german-courses-teenagers.html	4	German courses for teenagers	757
30	http://www.englishforum.ch/education/263302-masters-switzerland.html	5	masters in switzerland	613
31	http://www.englishforum.ch/education/257016-international-school-zurich-north-2yo.html	4	International School Zurich North for 2yo	1,094
32	http://www.englishforum.ch/education/263225-niederwennigen-how-area.html	0	niederwennigen-how is the area´?	275
33	http://www.englishforum.ch/education/245227-caia-level-1-help.html	2	CAIA Level 1 Help	859
