	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Education	Camp Suisse - Adventure and language summer camps and school trips	"""EF Advertising"	1416	41	Location: Switzerland	30.12.2016, 10:18	    As long as you pay for it it won´t be taken off   	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
1	Education	Swiss French School  The best place to feel at home in French in Switzerland	"""EF Advertising"	699	0	Location: Switzerland	12.08.2016, 09:59	"         
Learn French effectively with Swiss French School Courses   
The Swiss French School method is based on a 3-step process which allows students to learn French quickly and use it straight away.                now (obligation free) to receive further information about the right course for your needs.   
Need to call right now? 
Genève: +41 22 738 00 20 
Lausanne: +41 21 614 66 30 
Montreux: +41 21 963 49 32 
Fribourg: +41 26 347 35 62 
Neuchâtel: +41 32 725 18 20 
Bienne/Biel: +41 32 725 18 20 
La Chaux-de-Fonds: +41 32 725 18 20
		"	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
2	Education	Childcare and Schooling in Switzerland	"""swisspea"	61863	128	Location: From one side of lake Zurich to the other...	21.04.2009, 13:58	   Thought I could help out on the equivalents for the french-speaking cantons:     crèche - early child care, nursery, typically from age 4 months to start of school (4 years)   state-run crèches – costs often linked to income level; availability depends often on where you live, your parental status (e.g. single or two parents), and whether one or both parents work; hours tend to be fixed and yearly closings (vacation periods) substantial; the city often centrally organises the application process; not all towns/communes have creches, especially smaller ones   private crèches – often have greater flexibilities on hours and less vacation periods; possibilities for alternative languages or bilingual; costs are same for all, based on the attendance, full or partial days/days per week.   garderie – group day care for children of all ages    jardin d'enfants - typically for young children, ie. toddlers, although some use it interchangeably with crèche; schools (private) that start at age 3 often call the class jardin d'enfants   maman du jour – mother, who along with her own child(ren), watches other children during the day; some are centrally coordinated by the city/commune   UAPE – Unite Acceuil pour Ecoliers, term coined in the law in Canton Vaud for providing various day care possibilities; UAPE provides before and/or after school group daycare and possibly the midday lunch period for school age children. Organised by the commune typically in conjunction with the school, although the premises may or may not be at the school.   pre-scolaire = providing care for children under the school age (ie. less than 4)   para-scolaire = providing care after school hours for school age children   Ecole/Classes Enfantine – the first two years of school, ages 4 and 5, known as 1ere Enfantine, and 2eme Enfantine. These two years are generally not mandatory (cantons vary on this, please verify) but as typically 95% attend, it is more or less expected that they attend   Ecole Primaire - Primary school, starting from age 6 and attendance is mandatory   Age of children for start of school – this depends on their birthday and varies by Canton significantly, so check locally to have details. In Vaud, if they turn 4 by 30 June, they should start school in September. However parents may request either delay attendance, for those born during May or June, or accelerate attendance, for those born in July and August, under special request. Note, the request may or may not be granted.   Streaming levels – depending on the school and Canton, around 4eme-6eme, the public schools stream children into 3 tracks           HarmoS—a federal initiative to harmonise most aspects of schooling among the Cantons; has not been approved yet; although some cantons are already moving towards harmonisation in some areas. It is generally well liked and accepted in the French speaking cantons, but the opposite is true in the german speaking cantons.   Care for sick children-- In Geneva, the Red Cross (Croix Rouge), via the Chaperon Rouge, can arrange for urgent care of sick children. In Nyon, the Red Cross offers this service as well.     Info about public schooling in Switzerland in English:   http://www.ides.ch/dyn/16833.php     Association of private schools in Switzerland:     http://www.swiss-schools.ch/index.php?sector=01     Private schools in Canton Vaud:     http://www.avdep.ch/     Public schooling in Canton Vaud:     http://www.vaud.ch/en/assets/education/school-system/     Private Creches in Nyon:  http://www.nyon.ch/fr/vivre/enfance-jeunesse/structures-daccueil-hors-reseau-nyonnais-d-accueil-de-jour-985-5420    Public Creches in Nyon:     http://www.nyon.ch/fr/vivre/enfance-...fants-939-5419       Info on schooling in Nyon:     http://www.nyon.ch/fr/vivre/ecoles-education/     Public Creches in Lausanne:     http://www.lausanne.ch/view.asp?domId=62927&amp;language=E     Private Creches in Lausanne:     http://www.naissance.ch/annuaire/bab...ie-creche.html   http://www.les-garderies.ch/1000/25/list.htm     Public schooling in Lausanne:     http://www.lausanne.ch/view.asp?DocId=22513     Private schooling in Geneva:     http://www.agep.ch/eng/index.php     Public schooling in Geneva:     http://www.ge.ch/enseignement_public/     http://www.ge.ch/dip/dip_bref.asp     Public Creches in Geneva:     http://www.ville-ge.ch/dpt5/enfance/bipe_f.php     List of Creches in Geneva:     ftp://ftp.geneve.ch/dip/liste_creches.pdf     Private schools in Valais offering English:     Ardevaz and is located in Sion. St. Georges school, currently in Vaud, will open another school in Verbier starting in Sept. 2010 for 3-11 year olds     Info for families in  Geneva :     http://www.genevefamille.ch/     Info for families in Vaud:     http://www.vaudfamille.ch  	Posts: 5,505	Join Date: May 2008	Forum Legend	Groaned at 33 Times in 22 Posts	Thanked 5,034 Times in 2,432 Posts	a reputation beyond repute
3	Education	academia International School  Pre-School, Primary School, Precollege, College	"""EF Advertising"	5914	0	Location: Switzerland	26.11.2014, 12:39	" 
			
			academia International School  Pre-School, Primary School, Precollege, College   
From Pre-School, Primary School, Precollege (English/German): Schifferhaus, Bonergasse 75, 4057 Basel. Phone: +41 (0) 61 260 20 00 
College (English): Margarethenstrasse 47, 4053 Basel. Phone: +41 (0) 61 260 20 80                
academia International School offers full-time international schooling  from preschool to qualification for university entrance.   
Our student-focussed teaching aims to make the best of the individual talents and abilities of each child and to promote the joy of learning.   
Our bilingual   teaches children the preliminaries of reading, writing and calculation as well as promoting their learning, social and action skills. An individual instruction plan focusing on the strengths and aptitudes of each child is developed by native speaker teachers. A combination of guided learning and supervised playing phases offers an ideal environment for children to learn a new language.   
In our   the teaching concept is based on immersion and individual development of the specific aptitudes and abilities of each child. The teaching language alternates on a weekly basis, with lessons taught by a German-speaking teacher in a German-language environment and an English-speaking teacher in an English-language environment. Each class is supported by a language teacher. This serves for enhanced development of linguistic skills of the children by a method that we call ""immersion plus"". Children study in small classes and follow an individual study plan specifically tailored to take into account their individual talents and strengths. This prevents children from being under- or over-challenged.   
Our bilingual   prepares students for entry to our College. Focus is on academic-style study in a homogeneous class environment. Some subjects are taught in German and some in English. The teachers are native speakers.   
Our four-year English-language  prepares students for an international higher education entrance qualification called A Levels.   
Our college programme prepares students for IGCSEs, A/S and A levels. Students can join for 2, 3 or 4 year programmes which is ideal for families who may have to return to the UK or US when their child is 16 as re-integration is straightforward and we have families whose children transition seamlessly to UK 6th form colleges after IGCSEs. Our examination results last year were very good at A and A/S level with over 100 students sitting exams 83% passed with C+ and 44% with A/A* across subjects. At IGCSE level 83% of students passed with C+ and 40% scored A/A* across subjects. We provide full support and guidance for the UCAS application process as well as the process to enter US colleges including SAT test preparation.  We also provide full support and guidance in navigating the wide variety of options within the Swiss system. A levels are accepted by all Swiss Universities and Fachhochschulen.   
We also offer IGCSE English 1st language for English speaking students who are in the Swiss system and wish to make sure their English level is sufficient should they wish to transition to UK Universities. These classes can be organised on Wednesday afternoons  please contact us directly for details.
		"	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
4	Education	Read This - About Posting in the Education Forum	guest	8980	0	null	null	" 
			
			Please read the following before posting in this area.     What this area is for   
This area of the forum is for any matters relating to Education  What this area is not for   
This area is not for   
Any posts that are off-topic may be deleted or moved.       Useful links and FAQ   
Check out the threads below. Your question may have already been answered.             - a few guidelines from the folk who should know the answers.
		"	null	null	null	null	null	null
5	Education	Swiss School System	guest	16966	1	null	null	" 
			
			If anyone has anything to add to this, links with up-to-date information, please let me know and I'll re-open it for you to post here.
		"	null	null	null	null	null	null
6	Education	SIS Basel or ISB?	"""SWISSgoose"	310	8	Location: Basel	05.01.2017, 18:37	"    SIS is a ""for profit"" organisation. ISB was created by and for the multinational companies.
		"	Posts: 2	Join Date: Jan 2017	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
7	Education	School for 7 years old around PSI	"""JohnNash"	855	18	Location: Brugg	17.12.2016, 21:36	"    Really? This is what I read: ""After reading a lot of posts about schools, we thought that local schools is not a bad option""
		"	Posts: 4	Join Date: Dec 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
8	Education	University Funding	"""View from the Alps"	280	4	Location: Vaud	04.01.2017, 14:39	"    No, but if you're motivated you'll find it out yourself
		"	Posts: 28	Join Date: Nov 2014	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 35 Times in 14 Posts	considered knowledgeable
9	Education	Paralegal certificate	"""Sss"	477	6	Location: zug	13.12.2016, 13:24	" 
			
			According to the  , there are only two Universities that offer accredited paralegal studies. They seem to be in German though. One of them, the ZHAW offers courses and programs in English, if you want to look at  . The other is a distance education University that seems to offer no courses in English.   
I do not see the point of doing your paralegal degree abroad, if working here is your goal, because law firms would prefer to hire someone with knowledge of Swiss laws and knowledge of the local language. (unless you work for an American law firm, or a large international one, where the main language is English)   
I would apply for either internships at law firms or for administrative jobs at law firms (such as this one  ) and gain work experience that might eventually give you access to a paralegal job here. At the very minimum, I would invest in a language course though. Most law firms would welcome a fluent English speaker, but without the German (or French, or Italian), other candidates will be more competitive.    
Wish you all the best.                      "	Posts: 8	Join Date: Feb 2011	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
