	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Employment	How to legally employ a cleaning lady	cinzia_t	14657	19	Basel	29.09.2009, 22:50	" 
			
			Just to reiterate on the original post, with   ( only written in German and French at this stage, if you telephone, English is of course available), you will get all the help, information and support you need, to engage an employee, of any kind, for any length of time.    
They are excellent, they truly know thier stuff and are extremely friendly and relaxed with it.  
They take the big stress out of all the beurocratic shite, which is necessary for both sides (even those that don't think they need/want to go that way).   
All sides are protected and for the employer, it makes it so much easier, as they will deal with all the paperwork, apart from the initial contact and details of course.   
The only thing I find a little odd is, they send the end of the taxation year statement, to the employer, not the employee, which is not a big deal in itself and probably has a reason ( I just don't see it yet), you have only to forward it to the employee.   
They truly do a good job.
		"	136	 Aug 2008	3	['0', '0']	['75', '47']	2
1	Employment	[Swiss Job market] English-Speaking Companies	editorfcm	337121	453	Eschenbach, St Gallen	15.03.2006, 12:05	" 
			
			Also, feel free to have a look on my website   , it gathers jobs in switzerland from lots of other sites like Monster / TopJobs, SwissLinx, etc etc and indexes them, hopefully in an easy way   ..    
I'm still working on it, but some functionality is already there..perhaps you'll be lucky and find something.   
Regards,   
Daniel
		"	21	 Mar 2006	1	['0', '0']	['0', '0']	0
2	Employment	Recruiters Advice	EF Advertising	1302	0	Switzerland	28.04.2016, 11:12	"    helps you to get noticed by employers!         
The company Recruiter`s Advice was founded in 2016 in Basel by two experienced recruiters, Natalya Izergina, PhD, and Stefan Bechold. We have an in depth knowledge of the Swiss job market and pharmaceutical industry, and our mission is to support specialists of all levels in their job search, application and interview processes. 
A well-shaped and correctly targeted CV and good interview training will increase your chances to land that one dream job. With over 14 years of experience recruiting for pharmaceutical companies, we are able to help people from diverse backgrounds and levels to optimize their applications – we can quickly see how and where to help, and, above all, we are happy to share our insider knowledge on pharma recruitment processes! 
What we offer: 
•	CV tuning & rewriting to fit potential employer`s expectations 
•	Motivation letter preparation 
•	Improvement of self-presentation in social media to attract headhunters and HR professionals 
•	Behavioral-based interview training 
•	General career counseling to help candidates navigate the modern pharmaceutical industry 
•	Workshops covering topics from personal branding to work-life balance, from career counseling for graduates to prevention of burn-outs. 
Why use our services? Using our professional guidance gives you a big advantage over other candidates on the job market: 
•	We can help you prepare a targeted message, show yourself in the best light, identify your personal brand and sell it to the employer! 
•	We can tell you what a recruiter thinks while reading your CV. 
•	We can connect you with people from our networks.   
Contact us and get professional advice!   
Recruiter’s Advice   
Tel. +4179 820 65 82      "	182	 Jan 2011	7	['5', '4']	['14', '10']	-4
3	Employment	English speaking companies + Web Sites for job searchers in Switzerland	Longbyt	44020	0	ZH	16.04.2011, 11:15	"               - including sites for jobs for students   
Members sometimes ask about  . So here's a link which might help       
Here's a few more links that were posted     "	7375	 Apr 2008	6	['56', '52']	['11', '132', '4', '148']	6
4	Employment	Salaries in Switzerland - These and other questions answered before you ask!	Longbyt	52432	0	ZH	20.02.2011, 19:53	"                       
 Work Permits for Foreign Nationals - Swiss official rulings on work permits    - Tax Rulings for US citizens and resident aliens      - read attached PDF file           www.admin.ch/ch/d/sr/142_201/a48.html   www.au-pair-world.co.uk/index.php/visa/switzerland/   http://www.aupair-agency.com/aupair-...witzerland.htm     Cost of employing an au pair   "	7375	 Apr 2008	6	['56', '52']	['11', '132', '4', '148']	6
5	Employment	Read This Before You Even Think About Posting in Employment!!	guest	38723	0	null	1.1.0001, 00:00	" 
			
			New to Switzerland? Been offered a job? Not sure about salary or conditions? Not sure about employment issues such as holidays, or dismissal? -       English Forum is not a one-stop Oracle, nor is it an authority. All information here is posted with a caveat of ""all care, no responsibility"". Many key groups and authorities are now updating their websites with English content. A good starting point is the       with key words. (eg. employment contract). If you are having trouble,       Once you find a relevant thread, continue the thread if your concern needs clarification.       Only if your question or contribution is truly unique should you start a new post. In this case, be sure to use an appropriate title for your new thread.   
We reserve the right to remove, WITHOUT NOTICE, any threads or posts that are vague, duplicate, irrelevant or downright lazy.   
THIS FORUM IS NOT FOR JOB ADS. IF YOU ARE SEARCHING FOR A JOB, OR OFFERING EMPLOYMENT, USE THE  .
		"		 Jun 0001		[]	[]	
6	Employment	Findind a job after 50, a real challenge...	Candy-BOS-MA	329	15	Zürich	19.1.2017, 11:43	"    Chortling.  The content of the OKP course happens to mirror much of the training materials that were commonly dished out back in 1983. I know - I still have my old training manuals!  The format for the CV as you've noted in your post is not too bad, but you should know that in the global arena, Switzerland is one of several countries that are notorious for an old fashioned style of CV and if you follow any OKP advice regarding full ""date stamping"" on your CV I suspect you'll be in for an interesting time.....    
My suggestions come from tried and tested career counselling techniques that are absolutely of the current time, and too many years of direct experience.  I happen to be an exec search specialist/headhunter, hiring people in a niche area who are typically 45-65 years of age.  I get to waste a lot of time correcting the CV's and interview techniques of people who've been through courses with the content dished out by the likes of the RAV!     
I think that OKP course is great if you're needing some confidence having been  long term unemployed or are new into the workforce or changing careers radically.  But it's cookie cutter stuff and you'll need to give thought to how you ""stand out from the pack""?  And I can assure you that a CV that clearly gives away your age when you're 50 plus, won't do you favours in those too many instances where ageism is rife and employers have the luxury of choice of many equally qualified candidates.
		"	205	 Jan 2014	3	['14', '10']	['90', '49']	3
7	Employment	The real value of a stay-at-home mom	donpiedro	1467	40	Nyon	06.01.2017, 18:19	" 
			
			Throw a sick child, or a child with a disability, into the mix and then.. well, it all gets a bit wobbly, scary and terribly isolating.    
Stay in the madness Mum, I call it   Mainly due to the up hill struggle you have with hospital appointments/ finding treatments/education etc.
		"	574	 Sep 2014	5	['28', '22']	['783', '310']	3
8	Employment	Working from home for a non-EU company	Pseudonym	198	6	CH	18.1.2017, 13:23	                	4	 Jan 2017	0	['0', '0']	['0', '0']	0
9	Employment	Job Title	neddy	270	6	Geneva	06.01.2017, 18:00	" 
			
			I had that title at one point, and have often advertised roles for it in my teams.   
I have to admit, I still get a chuckle out of it, but then, I'm a very simple kind of guy...   "	1191	 Dec 2014	5	['15', '12']	['1', '470', '633']	6
