	hrefs	replies	threads	views
0	http://www.englishforum.ch/entertainment-dining/264062-nye-dining-celebration-plans-short-notice.html	2	NYE dining/celebration plans on short notice?	252
1	http://www.englishforum.ch/entertainment-dining/238399-all-you-can-eat-buffet-geneva.html	15	All you can eat buffet in Geneva?	1,723
2	http://www.englishforum.ch/entertainment-dining/264002-i-bet-you-ve-missed-yodelling.html	1	I bet you've missed the yodelling!!	159
3	http://www.englishforum.ch/entertainment-dining/255281-cannabis.html	25	Cannabis?	3,420
4	http://www.englishforum.ch/entertainment-dining/263913-raclette-factory-ch-anyone-been-there.html	2	Raclette-factory.ch, anyone been there?	246
5	http://www.englishforum.ch/entertainment-dining/263717-dec-30-31-jan-1st.html	2	Dec 30, 31 and Jan 1st	359
6	http://www.englishforum.ch/entertainment-dining/219333-restaurants-lausanne.html	11	Restaurants in Lausanne	2,368
7	http://www.englishforum.ch/entertainment-dining/99603-order-food-online.html	15	order food online	4,466
8	http://www.englishforum.ch/entertainment-dining/261306-emmebr-cke-italian-casa-listrig-rating.html	1	Emmebrücke, Italian Casa Listrig, rating?	367
9	http://www.englishforum.ch/entertainment-dining/262623-eating-drinking-options-basel.html	27	Eating/drinking options in Basel	1,022
10	http://www.englishforum.ch/entertainment-dining/241463-ramen-zurich.html	7	Ramen in Zurich	1,806
11	http://www.englishforum.ch/entertainment-dining/263412-best-stall-snacks-z-rich-christmas-market.html	4	Best stall for snacks at the Zürich Christmas Market	298
12	http://www.englishforum.ch/entertainment-dining/155593-where-do-people-eat-out-neuchatel.html	27	where do people eat out in Neuchatel??	5,581
13	http://www.englishforum.ch/entertainment-dining/49350-any-one-got-any-good-restaurant-recommendations-bern.html	20	Any one got any good restaurant recommendations in Bern?	6,683
14	http://www.englishforum.ch/entertainment-dining/262186-lively-nightspots-zurich-not-clubs.html	2	Lively Nightspots in Zurich (not clubs)	471
15	http://www.englishforum.ch/entertainment-dining/258334-good-expat-bars-pubs-drinking-spots.html	28	Good expat bars/pubs/drinking spots?	2,881
16	http://www.englishforum.ch/entertainment-dining/261850-paleo-gaps-keto-restaurant.html	0	Paleo/GAPS/Keto restaurant	330
17	http://www.englishforum.ch/entertainment-dining/233195-any-musicians-looking-make-music-zurich-beyond.html	29	Any musicians looking to make music in Zurich or beyond?	5,697
18	http://www.englishforum.ch/entertainment-dining/261585-cineclub-zurich-klub-kuleshov.html	0	CineClub Zurich - Klub Kuleshov	317
19	http://www.englishforum.ch/entertainment-dining/252552-beginner-s-improv-course-english-zurich-weekend-april-22-23-a.html	1	Beginner's improv course in English, Zurich weekend April 22-23	1,153
20	http://www.englishforum.ch/entertainment-dining/238748-lausanne-rock-n-roll.html	8	Lausanne - Rock n Roll	1,600
21	http://www.englishforum.ch/entertainment-dining/254293-bar-live-music-zurich.html	9	Bar with live music in Zurich	1,901
22	http://www.englishforum.ch/entertainment-dining/260106-place-piano-concert-basel-stadt.html	1	Place for piano concert [Basel Stadt]	543
23	http://www.englishforum.ch/entertainment-dining/259707-expat-pubs-bars-restaurants-chiasso-lugano-balerna-area.html	5	Expat pubs / bars / restaurants in Chiasso, Lugano, Balerna area	540
24	http://www.englishforum.ch/entertainment-dining/104999-vegan-restaurant-zurich.html	28	vegan restaurant in Zurich	6,681
25	http://www.englishforum.ch/entertainment-dining/201064-hard-pick-up-girls-swiss-clubs.html	170	is it hard to pick up girls in swiss clubs	27,546
26	http://www.englishforum.ch/entertainment-dining/259380-swiss-radio-stuck-1986-a.html	27	Swiss radio stuck in 1986	1,591
27	http://www.englishforum.ch/entertainment-dining/259192-tag-des-kinos.html	2	Tag des kinos	662
28	http://www.englishforum.ch/entertainment-dining/239680-books-clear-swiss-related-content.html	88	Books with a clear Swiss related content...	10,875
29	http://www.englishforum.ch/entertainment-dining/209920-let-s-play-game-go-baduk-weiqi-lausanne.html	5	Let's play game of Go (baduk, weiqi) in Lausanne	2,124
30	http://www.englishforum.ch/entertainment-dining/257522-mctavge-yodelling-cologny-geneva-1st-august.html	13	McTAVGE yodelling in Cologny, Geneva, 1st August!	1,177
31	http://www.englishforum.ch/entertainment-dining/214479-swiss-national-day-zurich-what-s.html	5	Swiss National Day - Zurich - what's on?	2,245
32	http://www.englishforum.ch/entertainment-dining/257446-136-curves-klausen-pass-swiss-alps-driving-route.html	37	136 curves - Klausen Pass, Swiss Alps Driving Route	1,635
33	http://www.englishforum.ch/entertainment-dining/216202-dungeons-dragons-zurich-winterthur.html	1	dungeons and dragons zurich, winterthur?	1,780
34	http://www.englishforum.ch/entertainment-dining/256728-couple-alpine-festivals-romandie.html	0	A couple of Alpine festivals in Romandie	641
35	http://www.englishforum.ch/entertainment-dining/256100-swiss-comedy.html	1	Swiss comedy	819
36	http://www.englishforum.ch/entertainment-dining/255802-bike-party.html	6	Bike party	1,073
37	http://www.englishforum.ch/entertainment-dining/254081-healthy-eating-fribourg.html	10	healthy eating- Fribourg	1,398
38	http://www.englishforum.ch/entertainment-dining/238497-lausanne-improv-group-english.html	3	Lausanne Improv Group in English	1,380
39	http://www.englishforum.ch/entertainment-dining/255710-royal-ascot-horse-racing-general.html	3	Royal Ascot - Horse racing in general	824
40	http://www.englishforum.ch/entertainment-dining/255468-english-subbed-dubbed-cinemas-romandie-finding-dory.html	15	English subbed or dubbed Cinemas in Romandie / Finding Dory	1,322
41	http://www.englishforum.ch/entertainment-dining/255263-soul-jazz.html	0	Soul/Jazz	712
