	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Entertainment & dining	Ramen in Zurich	honiebee	2022	9	Zurich	05.10.2015, 02:59	" 
			
			+1 for Miki, almost like being back in Tokyo, the Ramen (Tonkotsu) is that good.  The same people run the smaller ikoo too.   
Had not yet heard of Ooki, look forward to giving it a spin one lunch time (I imagine if I arrive late or earlier should not be a problem...).
		"	9	 Sep 2014	0.0	['0', '0']	['0', '0']	0
1	Entertainment & dining	All you can eat buffet in Geneva?	d0r1an	1929	18	Bienne-venue	08.08.2015, 12:07	" 
			
			Le Furet is great!!  Make sure you book, go in the summer and sit on the terrace for hours!!
		"	14	 Jul 2011	1.0	['1', '1']	['5', '4']	-4
2	Entertainment & dining	Bar with live music in Zurich	zarub	2033	11	Zurich	17.05.2016, 12:28	" 
			
			The widder bar is closed until mid september 2017(for a facelift).    "	10	 Apr 2016	1.0	['0', '0']	['0', '0']	0
3	Entertainment & dining	order food online	saraCan	4626	17	Zurich	17.11.2010, 16:49	"    I use Mosis - mentioned in your article - and I'm very content.
		"	146	 Jan 2009	3.0	['0', '0']	['42', '22']	1
4	Entertainment & dining	Lively Nightspots in Zurich (not clubs)	highsandlows	586	3	Zurich	07.11.2016, 16:24	" 
			
			Check out:  
- Thursday Afterwork Valmann 
- Tuesday Afterwork at Carlton 
- ICON club
		"	118	 Oct 2015	3.0	['0', '0']	['42', '22']	0
5	Entertainment & dining	Low carb restaurants in Zürich	princessduck	842	37	Zurich	01.01.2017, 14:23	"    My point exactly. Though for me beans and pulses are forbidden. Vegetarian restaurants only have carbs so they are not for me; they also have soy products which I do not eat at all.      Nuts are not for me unfortunately. I eat high fat greek yoghurt but not often. I eat a lot of kefir and plain yoghurts. At the moment I am on medication that I am trying to get rid of just through being careful what I eat.
		"	890	 Aug 2009	5.0	['52', '35']	['488', '264']	5
6	Entertainment & dining	NYE dining/celebration plans on short notice?	Gardenia12	354	2	Schwyz	20.12.2016, 15:51	"     
Not really...
		"	4	 Dec 2016	0.0	['0', '0']	['5', '1']	0
7	Entertainment & dining	I bet you've missed the yodelling!!	McTAVGE	221	1	Geneva	19.12.2016, 11:05	" 
			
			Very kewl, merci!
		"	2000	 Apr 2010	5.0	['19', '18']	['2', '042', '817']	6
8	Entertainment & dining	Cannabis?	ConsciousAlliance	3590	25	Cardiff, Wales	05.06.2016, 22:35	"    Whoa, that's worse than a DUI in the states (cost wise). Yikes. I'm sorry you had to go through that. I don't smoke and drive. I usually smoke, read a bit and head to bed so I can sleep. The other day, I was driving home from Mulhouse and realized, I haven't driven after dark (it was 5pm) in so long that I questioned my sanity! I am menopausal age and don't party like I was 20 anymore, although I do miss that sometimes. I'm more of the smooth jazz gender. Thank you for sharing that story. It's surprising that you had to pay so much. I don't drink and drive either because I can't handle alcohol like I was 20 either. If my spouse and I go out, he drives (because he won't drink and drive either) and I co-pilot. Thanks.
		"	2	 Jun 2016	0.0	['0', '0']	['0', '0']	0
9	Entertainment & dining	Raclette-factory.ch, anyone been there?	happystone	307	2	Bremgarten	16.12.2016, 22:38	" 
			
			Oh, sorry...! So it looks like the raclette factory has moved to a new place or its new altogether. The website is not that clear about it...
		"	13	 Dec 2016	1.0	['0', '0']	['4', '3']	0
10	Entertainment & dining	Dec 30, 31 and Jan 1st	English Bloke	429	2	Vaud	11.12.2016, 19:24	" 
			
			New Year's Eve you may find something.           
New Year's Day everything will be shut.
		"	21	 Oct 2015	1.0	['0', '0']	['0', '0']	0
11	Entertainment & dining	Restaurants in Lausanne	francis shore	2447	11	Switzerland	09.10.2014, 08:54	" 
			
			Les Trois Rois behind the train station is very nice too if you like meat! Then there is Cafe de Grancy which has quality food and hip ambiance. One of my personal favorites is the Ethopian place near Ours le Nil Bleu.
		"	4	 Oct 2014	0.0	['0', '0']	['0', '0']	0
12	Entertainment & dining	Emmebrücke, Italian Casa Listrig, rating?	Sbrinz	423	1	Murten - Morat	18.10.2016, 18:58	" 
			
			My friends visited this place and they told the cocktails were super ) I haven't asked about food, but they told about beverages and atmosphere, they were satisfied.
		"	11004	 Oct 2011	6.0	['544', '344']	['10', '602', '5', '425']	6
13	Entertainment & dining	Eating/drinking options in Basel	guest	1098	27	null	1.1.0001, 00:00	"    McGuinness's.  Flanagan's is the new one.
		"		 Jun 0001		[]	[]	
14	Entertainment & dining	Best stall for snacks at the Zürich Christmas Market	nikobland	355	4	Zürich	04.12.2016, 15:56	" 
			
			My two favourites are the Indian vegetarian at stall 125 in HB, and the Knoblauchbrot stall by the Singing Christmas Tree at Werdmühleplatz off Bahnhofstrasse. OH's favourite is the Greek gyros at stall 136 outside HB,       "	11	 Mar 2016	1.0	['0', '0']	['8', '4']	0
15	Entertainment & dining	where do people eat out in Neuchatel??	Darcy1	5667	27	Esslingen,Egg	02.09.2012, 10:19	" 
			
			You should try   which is always a sure choice.    
They do a fantastic hand-cut steak tartare and their midday menus are great  value for money (a good place to have lunch after the Saturday market shop).   
The bistro recently won the 2017   distinction from   for its original style.
		"	276	 Nov 2008	4.0	['43', '11']	['306', '117']	4
16	Entertainment & dining	Any one got any good restaurant recommendations in Bern?	Fran Parsons	6764	20	USA, but visit berne	20.04.2009, 23:10	" 
			
			Good Indian place, we go frequently... English speaking as well       
Best curry in Bern.           
for the grilled goods... family restaurant, parties, who needs more than these two places?
		"	4	 Apr 2009	0.0	['0', '0']	['0', '0']	0
17	Entertainment & dining	Good expat bars/pubs/drinking spots?	ztimes	2970	28	Zurich	16.08.2016, 11:34	" 
			
			Haven't found one decent Irish/English pub in Zürich. Won't be wasting my time again! Nelson Bar is being discussed in another thread for homophobic staff as well and I found staff there insincerely friendly with one tall-ish blonde barwoman lingering desperately for tips as someone pays and made my partner feel like they had to leave one as she would hardly give them back their 2 francs!
		"	21	 Aug 2016	1.0	['1', '1']	['0', '0']	0
18	Entertainment & dining	Paleo/GAPS/Keto restaurant	gezzahead	387	0	Basel	31.10.2016, 17:55	" 
			
			My wife and kids do the GAPS diet ( ) which is similar to a lot of other diets (paleo/keto etc) these days, in that it's low/no carb, no sugar etc   
It seems to work for them, but makes it pretty tough eating out!  I've heard of one or two places in Zurich, but does anyone know of any restaurants in the Basel area that would be suitable?
		"	17	 Aug 2012	1.0	['0', '0']	['20', '7']	2
19	Entertainment & dining	Any musicians looking to make music in Zurich or beyond?	Unjaded	5764	29	Zurich	09.05.2015, 13:17	" 
			
			Hi Kayserpa - are you still looking for fellow Zurich musicians? I'm a professional guitarist from London looking to get back into performing and recording. Let me know if you'd be keen.
		"	17	 Apr 2015	1.0	['0', '0']	['5', '3']	0
20	Entertainment & dining	CineClub Zurich - Klub Kuleshov	Odile	367	0	Neuchatel	25.10.2016, 12:48	" 
			
			Just become aware of this CineClub in Zurich that shows lots of foreign films, including those in English.   
Klub Kuleshov 
Toni Areal 
Pfingstweldstrasse 94   
On 15th of November, one of my favourite French films, La Haine, by Matthieu Kassowitz. Still so relevant to France today.   
Have a look at their programme- on FB or their website.      "	19641	 Sep 2010	6.0	['386', '287']	['22', '594', '10', '192']	6
21	Entertainment & dining	Beginner's improv course in English, Zurich weekend April 22-23	daavidb	1200	1	Zürich	11.04.2016, 17:16	" 
			
			seen 2 of your shows in the last few weeks and I was impressed. hope to find a spot to your next english workshop.
		"	9	 Jan 2010	0.0	['0', '0']	['1', '1']	0
22	Entertainment & dining	Lausanne - Rock n Roll	carnachion	1650	8	Lausanne	14.08.2015, 18:20	"    Splendid - have at least a shot when entering, to be safe from possible Lady Gaga songs.
		"	6	 Aug 2015	0.0	['0', '0']	['1', '1']	0
23	Entertainment & dining	Place for piano concert [Basel Stadt]	hyrgy	588	1	Basel	21.09.2016, 21:57	" 
			
			Try these folk?    
Or maybe the Musik Akademy?
		"	11	 Jan 2011	1.0	['0', '0']	['1', '1']	0
24	Entertainment & dining	Expat pubs / bars / restaurants in Chiasso, Lugano, Balerna area	DannyD	590	5	Chiasso	13.09.2016, 15:56	" 
			
			Thanks that's great - and thanks for the quick reply too.      That's awesome, thanks Tom - I am going to check them out, probably at the weekend. Thanks for all the info.    
Danny
		"	26	 Sep 2016	1.0	['1', '1']	['11', '4']	0
25	Entertainment & dining	vegan restaurant in Zurich	guest	6744	28	null	1.1.0001, 00:00	" 
			
			better here    "		 Jun 0001		[]	[]	
26	Entertainment & dining	is it hard to pick up girls in swiss clubs	thekilla	28005	170	basel	16.02.2014, 17:39	" 
			
			This is an expat forum helping souls in need therefore we need to provide the most accurate answers we can and tips in any situation. Please watch this video and welcome to the EF.      "	11	 Feb 2014	1.0	['4', '1']	['2', '2']	-4
27	Entertainment & dining	Swiss radio stuck in 1986	pilatus1	1674	27	Luzern	06.09.2016, 15:00	"    Nice attitude. Congrats.
		"	940	 Oct 2012	5.0	['118', '76']	['2', '277', '890']	6
28	Entertainment & dining	Tag des kinos	KRZ	703	2	Zurich	02.09.2016, 17:07	" 
			
			Many thanks KRZ! I just booked my tickets   "	32	 Aug 2009	2.0	['3', '3']	['5', '5']	-1
29	Entertainment & dining	Books with a clear Swiss related content...	Odile	10990	88	Neuchatel	31.08.2015, 23:54	" 
			
			The Magic Mountain (Thomas Mann)             
Might sound grim but it is beautifully written and offers lots of food for thought.
		"	19641	 Sep 2010	6.0	['386', '287']	['22', '594', '10', '192']	6
30	Entertainment & dining	Let's play game of Go (baduk, weiqi) in Lausanne	ganqqwerty	2156	5	Lausanne	31.05.2014, 14:26	" 
			
			Can I bring my friend DeepMind ©® along?     
Just kidding - what a shame that you're so far away... I'd have loved to play with a knowledgeable player!!   
Ciao   
Paul
		"	18	 Apr 2014	1.0	['0', '0']	['1', '1']	0
31	Entertainment & dining	McTAVGE yodelling in Cologny, Geneva, 1st August!	McTAVGE	1212	13	Geneva	27.07.2016, 14:07	" 
			
			Well, I certainly heard a lot of English speaking families last night, but no one from EF, obviously, or far too shy to even say ""hello""!  "	2000	 Apr 2010	5.0	['19', '18']	['2', '042', '817']	6
32	Entertainment & dining	Swiss National Day - Zurich - what's on?	rocksteady	2261	5	N/A	01.08.2014, 14:05	" 
			
			I hear many people go to farmers' brunches. Has anyone done this before? And any recommendations??
		"	50	 Apr 2010	2.0	['0', '0']	['12', '6']	2
33	Entertainment & dining	136 curves - Klausen Pass, Swiss Alps Driving Route	LanaZHANG	1680	37	Murgenthal	25.07.2016, 18:46	"    In   was clocked with the current record at 13:39:95. Up to then the record had been 13:49:08 by Julian Majzub, set in 2006.
		"	62	 Nov 2013	2.0	['6', '3']	['39', '18']	1
34	Entertainment & dining	dungeons and dragons zurich, winterthur?	nolaninara	1797	1	turbental	26.08.2014, 15:45	" 
			
			Though would revive the thread,  
Any gamers about looking to do some rpg over the summer? 
Can see if we can get something going    
People can also  take a look  into the meetup   
Winterthur-Dungeons-Dragons-Meetup
		"	1	 Aug 2014	0.0	['0', '0']	['0', '0']	0
