	hrefs	replies	threads	views
0	http://www.englishforum.ch/family-matters-health/258132-i-am-pregnant-what-expect-when-expecting-switzerland.html	21	I am pregnant  What to expect when expecting in Switzerland	3,823
1	http://www.englishforum.ch/family-matters-health/106600-z-riclean-professional-cleaning-company-zurich-zug.html	161	Züriclean - a professional cleaning company in Zurich and Zug	121,771
2	http://www.englishforum.ch/family-matters-health/149165-gymboree-play-learn-preschool-art-music-sport-classes-english-children.html	5	Gymboree - Play & Learn, preschool, art, music, sport classes in English for children	17,495
3	http://www.englishforum.ch/family-matters-health/169826-legal-advice-help-parents-children-emergency-situations.html	9	Legal advice and help to parents and children in emergency situations	13,543
4	http://www.englishforum.ch/family-matters-health/109270-websites-info-doctors-emergency-numbers-general.html	6	Websites / Info - Doctors + Emergency Numbers in General	14,797
5	http://www.englishforum.ch/family-matters-health/104484-look-here-first-childcare-schooling-family-info-help-sites.html	1	LOOK HERE FIRST for Childcare/Schooling / Family Info / Help Sites	23,859
6	http://www.englishforum.ch/family-matters-health/98136-cute-things-kids-say.html	1,012	Cute things kids say	102,028
7	http://www.englishforum.ch/family-matters-health/264050-getting-divorced-while-being-unemployed.html	13	Getting divorced while being unemployed	813
8	http://www.englishforum.ch/family-matters-health/264133-remember-tebbit-s-speech-what-would-you-do.html	90	Remember Tebbit's speech - what would you do	2,079
9	http://www.englishforum.ch/family-matters-health/264207-spondyloarthropathy.html	1	Spondyloarthropathy	176
10	http://www.englishforum.ch/family-matters-health/107845-anxiety-meds.html	166	Anxiety meds?	11,090
11	http://www.englishforum.ch/family-matters-health/68014-interesting-new-approach-treating-multiple-sclerosis-ms.html	54	Interesting new approach to treating multiple sclerosis (MS)	10,533
12	http://www.englishforum.ch/family-matters-health/263968-swiss-houses-healthy.html	43	Are Swiss houses healthy??	1,755
13	http://www.englishforum.ch/family-matters-health/14683-b-permit-divorce.html	10	B permit and divorce	2,333
14	http://www.englishforum.ch/family-matters-health/263815-new-spectacles-progressive-lenses-guesstimate.html	31	New spectacles progressive lenses guesstimate	812
15	http://www.englishforum.ch/family-matters-health/264039-ex-will-not-divorce.html	5	Ex Will not Divorce	597
16	http://www.englishforum.ch/family-matters-health/263939-underweight-babies.html	17	Underweight babies	674
17	http://www.englishforum.ch/family-matters-health/263917-good-ophthalmologist-geneva.html	2	Good Ophthalmologist in Geneva	265
18	http://www.englishforum.ch/family-matters-health/122199-english-speaking-doctor-zurich.html	15	English speaking doctor in Zurich	11,434
19	http://www.englishforum.ch/family-matters-health/263897-zahnfee-2-8-offertis.html	0	zahnfee 2.8 and offertis	231
20	http://www.englishforum.ch/family-matters-health/132898-special-needs-support-zurich-schools.html	23	Special needs support in Zurich schools?	5,270
21	http://www.englishforum.ch/family-matters-health/263836-after-one-year-kinderkrippe-our-son-started-crying.html	7	"After one year in the ""KinderKrippe"", our son started crying"	758
22	http://www.englishforum.ch/family-matters-health/263732-cialis.html	22	Cialis	869
23	http://www.englishforum.ch/family-matters-health/263751-mental-health-relationships-key-happiness.html	12	Mental Health & relationships key to happiness	538
24	http://www.englishforum.ch/family-matters-health/114052-should-i-really-give-my-infant-fennel-tea.html	82	Should I really give my infant fennel tea?	26,115
25	http://www.englishforum.ch/family-matters-health/51927-good-hematologist-rheumatologist-zurich.html	22	Good Hematologist, Rheumatologist in Zurich?	3,838
26	http://www.englishforum.ch/family-matters-health/263701-aa-gill-nhs.html	35	AA Gill and the NHS	1,088
27	http://www.englishforum.ch/family-matters-health/263601-marriage-contract-g-tertrennung-getting-divorced.html	18	Marriage contract (Gütertrennung) or getting divorced	868
28	http://www.englishforum.ch/family-matters-health/263679-air-z-rich.html	13	Air in Zürich	368
29	http://www.englishforum.ch/family-matters-health/263606-flu-vaccine-geneva.html	7	Flu vaccine in Geneva	383
30	http://www.englishforum.ch/family-matters-health/109981-helicopter-parenting-you-over-protective.html	117	Helicopter parenting: are you over protective?	8,071
31	http://www.englishforum.ch/family-matters-health/198926-thyroid-problems.html	66	thyroid problems?	9,728
32	http://www.englishforum.ch/family-matters-health/263507-help-before-i-get-squeezed-like-orange.html	77	Help before I get squeezed like an orange?	3,379
33	http://www.englishforum.ch/family-matters-health/260311-child-alimony.html	9	Child Alimony	1,012
34	http://www.englishforum.ch/family-matters-health/263462-wrongly-diagnosed-cancer.html	22	Wrongly diagnosed with Cancer😳	1,177
35	http://www.englishforum.ch/family-matters-health/263503-orthodentist-konstanz.html	0	Orthodentist in Konstanz	247
36	http://www.englishforum.ch/family-matters-health/251637-worth-going-dentist-germany.html	43	Is it worth going to the dentist in Germany?	3,978
37	http://www.englishforum.ch/family-matters-health/263416-english-will-moving-switzerland.html	1	English Will - moving to Switzerland	397
38	http://www.englishforum.ch/family-matters-health/85210-plantar-fasciitis-s-right-pain-foot.html	60	Plantar Fasciitis. It's a right pain in the.... foot.	7,230
39	http://www.englishforum.ch/family-matters-health/180103-toddler-very-itchy-skin.html	35	Toddler with very itchy skin	2,984
40	http://www.englishforum.ch/family-matters-health/140722-laser-eye-surgery-zurich.html	67	Laser Eye Surgery in Zurich	12,944
41	http://www.englishforum.ch/family-matters-health/140924-whats-best-stroller.html	64	Whats the best Stroller ?	12,849
42	http://www.englishforum.ch/family-matters-health/263290-termination-employment-after-maternity-leave.html	8	Termination of Employment after Maternity Leave	600
43	http://www.englishforum.ch/family-matters-health/263198-english-speaking-gynecologist-zurich.html	1	English Speaking Gynecologist in Zurich	293
44	http://www.englishforum.ch/family-matters-health/17285-drop-clinic-zurich-hb.html	53	Drop-in clinic at Zurich HB	29,334
45	http://www.englishforum.ch/family-matters-health/159829-doctor-zurich.html	19	Doctor in Zurich	7,291
46	http://www.englishforum.ch/family-matters-health/13876-ivf-information-clinics-switzerland.html	96	IVF information / clinics in Switzerland	52,199
47	http://www.englishforum.ch/family-matters-health/217074-pediatric-dentist-basel.html	5	Pediatric Dentist Basel	970
48	http://www.englishforum.ch/family-matters-health/262320-buying-probiotics-switzerland.html	3	Buying probiotics in Switzerland	610
49	http://www.englishforum.ch/family-matters-health/262109-bladder-cancer-questions-my-oh.html	17	Bladder cancer: questions for my OH	1,316
50	http://www.englishforum.ch/family-matters-health/263067-dietitian-zurich-genetic-testing-personalise-nutrition.html	4	Dietitian in Zurich - genetic testing for personalise nutrition	455
51	http://www.englishforum.ch/family-matters-health/262944-new-dad-book-recommendations-german.html	6	New Dad Book Recommendations (German)	536
52	http://www.englishforum.ch/family-matters-health/263041-opinions-needed-babysitting24-ch.html	1	Opinions needed - babysitting24.ch	359
53	http://www.englishforum.ch/family-matters-health/252077-permanence-walk-clinic-opening-rapperswil.html	1	Permanence Walk-in Clinic opening in Rapperswil	1,019
54	http://www.englishforum.ch/family-matters-health/262489-looking-advice-stress-related-condition.html	30	Looking for advice ... Stress-related condition?	1,627
55	http://www.englishforum.ch/family-matters-health/69637-english-speaking-ent-zurich-baden-area.html	13	English speaking ENT in Zurich/Baden Area	5,256
56	http://www.englishforum.ch/family-matters-health/262694-adult-dyslexia.html	28	Adult Dyslexia	1,206
57	http://www.englishforum.ch/family-matters-health/196938-certificate-inheritance-erbschein.html	22	"Certificate of Inheritance ""Erbschein"""	4,528
58	http://www.englishforum.ch/family-matters-health/262636-cupping.html	163	Cupping	4,914
59	http://www.englishforum.ch/family-matters-health/260774-doctors-dentists-zurich.html	5	Doctors and Dentists in Zurich	608
60	http://www.englishforum.ch/family-matters-health/123802-return-bird-flu.html	22	The Return of the Bird Flu	1,780
61	http://www.englishforum.ch/family-matters-health/262689-template-medical-records.html	3	Template - Medical records	423
62	http://www.englishforum.ch/family-matters-health/104045-hypnosis-your-opinion.html	81	Hypnosis, your opinion?	5,894
63	http://www.englishforum.ch/family-matters-health/262316-divorcing-non-eu-citizen.html	29	Divorcing a non-EU citizen	1,729
64	http://www.englishforum.ch/family-matters-health/262601-english-speaking-psychiatrist-psychotherapist-basel.html	2	English speaking psychiatrist/psychotherapist Basel	387
65	http://www.englishforum.ch/family-matters-health/154063-recommendations-dentist-uster-wetzikon.html	7	Recommendations for Dentist in Uster or Wetzikon	1,007
66	http://www.englishforum.ch/family-matters-health/262496-sending-insulin-medtronix-supplies-usa-zurich.html	2	Sending insulin and Medtronix supplies from the USA to Zurich	348
67	http://www.englishforum.ch/family-matters-health/191373-hirslanden-im-park.html	18	Hirslanden Im Park	2,823
68	http://www.englishforum.ch/family-matters-health/219444-pediatrician-oerlikon-area.html	7	Pediatrician in Oerlikon area	1,540
69	http://www.englishforum.ch/family-matters-health/209955-exit-would-you-consider-being-member.html	249	EXIT would you consider being a member?	17,617
70	http://www.englishforum.ch/family-matters-health/262128-dad-s-group-horgen.html	12	Dad´s group Horgen	782
71	http://www.englishforum.ch/family-matters-health/262345-new-anti-flu-idea.html	5	New anti-flu idea!	390
72	http://www.englishforum.ch/family-matters-health/262169-non-invasive-prenatal-test.html	11	Non Invasive Prenatal Test	675
73	http://www.englishforum.ch/family-matters-health/262220-japanese-speaking-caregiver-switzerland.html	4	Japanese Speaking Caregiver in Switzerland	440
74	http://www.englishforum.ch/family-matters-health/262167-health-care-medications-you-would-bring-home.html	25	Health care/medications you would bring from home	920
75	http://www.englishforum.ch/family-matters-health/262022-special-needs-support-english-speaking-families.html	6	Special needs support for English-speaking families	650
76	http://www.englishforum.ch/family-matters-health/260335-chiropractor-recommendations.html	2	Chiropractor Recommendations	445
77	http://www.englishforum.ch/family-matters-health/262123-medical-poa-patientenverf-gung.html	9	Medical POA/Patientenverfügung	423
78	http://www.englishforum.ch/family-matters-health/261478-english-speaking-baby-groups-bern.html	5	English-speaking baby groups in Bern?	534
79	http://www.englishforum.ch/family-matters-health/260097-question-about-divorce-switzerland.html	39	Question about divorce in Switzerland.	2,304
80	http://www.englishforum.ch/family-matters-health/259816-tagesmutter-costs-wallisellen.html	3	Tagesmutter...costs? (Wallisellen)	724
81	http://www.englishforum.ch/family-matters-health/3890-fertility-dr-zurich.html	13	Fertility Dr. in Zurich?	7,262
82	http://www.englishforum.ch/family-matters-health/261660-moving-geneva-newborn-baby.html	4	Moving to Geneva with newborn baby!	408
83	http://www.englishforum.ch/family-matters-health/206883-aggression-swiss-primary-schools.html	108	Aggression in Swiss Primary Schools	10,363
84	http://www.englishforum.ch/family-matters-health/260150-traveling-11-month-old-how-entertain.html	28	Traveling with 11 Month Old: how to Entertain	1,304
85	http://www.englishforum.ch/family-matters-health/261922-birth-preparation-course-kantonspital-zug.html	1	Birth Preparation Course - Kantonspital Zug	268
86	http://www.englishforum.ch/family-matters-health/49258-adhd-its-real.html	194	adhd its real	13,274
87	http://www.englishforum.ch/family-matters-health/261795-english-speaking-doctor-zurich.html	9	English speaking Doctor in Zurich	550
88	http://www.englishforum.ch/family-matters-health/261923-medbase-healthcheck.html	0	Medbase Healthcheck	174
