	hrefs	replies	threads	views
0	http://www.englishforum.ch/finance-banking-taxation/260814-moneypark-find-best-mortgage-your-needs.html	0	MoneyPark - Find the best mortgage for your needs	1,552
1	http://www.englishforum.ch/finance-banking-taxation/46251-swiss-pensions-consolidated-summary.html	259	Swiss pensions consolidated summary	182,646
2	http://www.englishforum.ch/finance-banking-taxation/244200-bruce-accounting-bookkeeping-accounts-adminstration.html	0	Bruce Accounting - Bookkeeping, Accounts and Adminstration	6,019
3	http://www.englishforum.ch/finance-banking-taxation/226867-u-s-tax-services-u-s-tax-payers-abroad-starting-chf-300-a.html	0	U.S. Tax Services for U.S. Tax Payers Abroad.  Starting at CHF 300!	3,212
4	http://www.englishforum.ch/finance-banking-taxation/212240-swiss-tax-calculator.html	1	Swiss tax calculator	13,035
5	http://www.englishforum.ch/finance-banking-taxation/199552-expattax-ch-tax-accounting-services-foreign-citizens-switzerland.html	0	expatTax.ch - Tax & accounting services for foreign citizens in Switzerland	18,595
6	http://www.englishforum.ch/finance-banking-taxation/106940-taxes-advisors-accountants-cantonal-offices-zh-tax-forms-expat-us-taxes.html	1	Taxes - Advisors/Accountants / Cantonal Offices / ZH Tax forms / Expat  US Taxes	25,820
7	http://www.englishforum.ch/finance-banking-taxation/106944-swiss-pensions-general-summary-3rd-pillar-pensions.html	0	Swiss Pensions - General Summary / 3rd Pillar Pensions	22,470
8	http://www.englishforum.ch/finance-banking-taxation/264255-renouncing-u-s-citizenship-what-do-ira-stocks.html	14	Renouncing U.S. citizenship - What to do with IRA / stocks?	510
9	http://www.englishforum.ch/finance-banking-taxation/153461-stock-investment-poll.html	272	Stock investment poll	22,799
10	http://www.englishforum.ch/finance-banking-taxation/257034-capital-gains-0-dividends-high-isn-t-bizarre.html	11	Capital gains 0%, dividends high%: Isn't it bizarre?	1,103
11	http://www.englishforum.ch/finance-banking-taxation/264155-us-withholding-taxes-uk-sipp-account-when-owner-resident-switzerland.html	5	US withholding taxes for a UK SIPP account when owner is a resident in Switzerland	613
12	http://www.englishforum.ch/finance-banking-taxation/263372-uk-taxes-while-dual-residency.html	20	UK Taxes while on Dual residency	812
13	http://www.englishforum.ch/finance-banking-taxation/264131-problem-double-taxation-austria-switzerland.html	11	Problem with double taxation Austria/Switzerland	370
14	http://www.englishforum.ch/finance-banking-taxation/263467-massive-tax-bill-after-permit-c-upgrade.html	34	Massive tax bill after permit c upgrade	1,813
15	http://www.englishforum.ch/finance-banking-taxation/264144-isa-investments.html	4	ISA investments	609
16	http://www.englishforum.ch/finance-banking-taxation/225737-uk-state-pension-new-rules-after-5-april-2015-a.html	79	UK state pension, new rules after 5. April 2015	9,069
17	http://www.englishforum.ch/finance-banking-taxation/263975-few-questions-related-3a-pillar.html	56	Few questions related to 3a pillar	1,573
18	http://www.englishforum.ch/finance-banking-taxation/264058-living-ticino-salary-enough.html	9	Living in Ticino, is this salary enough?	753
19	http://www.englishforum.ch/finance-banking-taxation/256137-looking-professional-advice-australia-switzerland-finance-taxation.html	2	Looking for professional advice on Australia-Switzerland finance and taxation	668
20	http://www.englishforum.ch/finance-banking-taxation/15500-3rd-pillar-pension-fund.html	429	3rd Pillar Pension Fund	88,670
21	http://www.englishforum.ch/finance-banking-taxation/240252-multi-currency-credit-card-revolut.html	265	"Multi Currency Credit Card [""Revolut""]"	24,885
22	http://www.englishforum.ch/finance-banking-taxation/263620-very-bad-experience-liberty-credit-card.html	25	Very bad experience with Liberty credit card..	2,093
23	http://www.englishforum.ch/finance-banking-taxation/264015-need-us-swiss-financial-advisor.html	0	Need US - Swiss Financial Advisor	394
24	http://www.englishforum.ch/finance-banking-taxation/263891-choosing-between-3a-savings-3a-fonds.html	24	Choosing between 3a (Savings) and 3a Fonds	1,346
25	http://www.englishforum.ch/finance-banking-taxation/263546-uk-property-tale-decade.html	80	UK Property - a tale of a decade.	3,748
26	http://www.englishforum.ch/finance-banking-taxation/263969-phd-student-withholding-tax.html	1	phd student withholding tax	418
27	http://www.englishforum.ch/finance-banking-taxation/263921-swiss-tax-steuerbares-verm-gen-question.html	7	"Swiss tax: ""steuerbares vermögen"" question"	775
28	http://www.englishforum.ch/finance-banking-taxation/263537-expat-re-mortgage-property-abroad.html	9	expat re-mortgage for property abroad	1,532
29	http://www.englishforum.ch/finance-banking-taxation/263893-fedcoin-cashless-society.html	8	FedCoin & cashless society	738
30	http://www.englishforum.ch/finance-banking-taxation/252205-new-50-chf-banknote.html	53	New 50 CHF Banknote	7,061
31	http://www.englishforum.ch/finance-banking-taxation/263864-usd-fx-rate.html	2	USD FX rate	689
32	http://www.englishforum.ch/finance-banking-taxation/263529-cashing-uk-pension-claiming-back-emergency-tax.html	19	Cashing in Uk pension - claiming back emergency tax	1,617
33	http://www.englishforum.ch/finance-banking-taxation/11007-how-do-your-tax-return-kt-zh.html	157	How to do your tax return Kt ZH	47,747
34	http://www.englishforum.ch/finance-banking-taxation/203773-da-1-us-citizens.html	18	DA-1 for US citizens?	3,375
35	http://www.englishforum.ch/finance-banking-taxation/254669-postfinance-share-trading.html	28	PostFinance share trading	2,300
36	http://www.englishforum.ch/finance-banking-taxation/193395-low-cost-broker-no-regular-custody-fees.html	99	Low Cost Broker with no Regular/Custody Fees	22,524
37	http://www.englishforum.ch/finance-banking-taxation/241541-australian-shares-franking-credits.html	2	Australian shares franking credits	637
38	http://www.englishforum.ch/finance-banking-taxation/79318-close-ubs-private-bank-account.html	14	Close UBS private bank account	13,695
39	http://www.englishforum.ch/finance-banking-taxation/249710-non-residents-maintaining-swiss-bank-account.html	23	Non-residents Maintaining Swiss Bank Account	4,367
40	http://www.englishforum.ch/finance-banking-taxation/214735-french-vat-shopping-st-louis.html	50	French VAT and Shopping in St. Louis	6,013
41	http://www.englishforum.ch/finance-banking-taxation/263680-bad-experience-transferwise-using-creditcard-scam.html	10	Bad experience Transferwise using Creditcard (SCAM)	1,479
42	http://www.englishforum.ch/finance-banking-taxation/214324-please-help-my-father-s-funds-blocked-how-solve.html	56	Please help : My father's funds are blocked, how to solve it?	8,292
43	http://www.englishforum.ch/finance-banking-taxation/261150-beware-scam-tax-firm-steuern-meili.html	19	Beware of a Scam Tax Firm: Steuern-Meili	1,764
44	http://www.englishforum.ch/finance-banking-taxation/262721-forward-fix-mortgage-info.html	18	Forward Fix Mortgage - Info	1,197
45	http://www.englishforum.ch/finance-banking-taxation/262466-voluntary-ahv-avs-contributions.html	8	Voluntary AHV........  AVS Contributions	673
46	http://www.englishforum.ch/finance-banking-taxation/263420-incorrect-withheld-tax-applied-my-employer.html	14	Incorrect withheld of tax applied by my employer	724
47	http://www.englishforum.ch/finance-banking-taxation/263527-best-way-pay-taxes-c-permit.html	8	Best way to pay taxes ? ( C-permit )	1,447
48	http://www.englishforum.ch/finance-banking-taxation/263453-chf-denominated-etfs.html	36	CHF denominated ETFs	825
49	http://www.englishforum.ch/finance-banking-taxation/256915-closing-ubs-bank-account-leaving-switzerland.html	6	Closing UBS Bank account - leaving switzerland	1,135
50	http://www.englishforum.ch/finance-banking-taxation/263428-cancelling-foreign-bank-account.html	10	Cancelling a foreign bank account?	675
51	http://www.englishforum.ch/finance-banking-taxation/263487-swiss-1-pillar-back-uk.html	1	Swiss 1 Pillar back to uk ?	298
52	http://www.englishforum.ch/finance-banking-taxation/263481-e106-now-s1-anyone-having-trouble-dec-16-a.html	2	E106 now S1 - Anyone having trouble? (Dec 16)	265
53	http://www.englishforum.ch/finance-banking-taxation/263398-uk-visit-90-days-need-pay-uk-income-tax.html	9	UK visit >90 days need to pay UK income tax?	615
54	http://www.englishforum.ch/finance-banking-taxation/263463-banking-implications-green-card-holder.html	1	Banking implications for Green Card holder	282
55	http://www.englishforum.ch/finance-banking-taxation/261343-eigenmietwert-unused-property-abroad.html	83	Eigenmietwert on (unused) property abroad?	2,841
56	http://www.englishforum.ch/finance-banking-taxation/263415-tin-tax-identification-number.html	6	TIN Tax Identification Number	474
57	http://www.englishforum.ch/finance-banking-taxation/262870-best-place-get-uae-dirham.html	10	Best place to get UAE dirham	730
58	http://www.englishforum.ch/finance-banking-taxation/253633-pension.html	5	Pension	901
59	http://www.englishforum.ch/finance-banking-taxation/263363-uk-income-tax-liability.html	5	UK income tax liability	572
60	http://www.englishforum.ch/finance-banking-taxation/263292-question-about-how-finma-would-handle-situation.html	6	Question about how FINMA would handle this situation...	773
61	http://www.englishforum.ch/finance-banking-taxation/263280-insider-trading.html	9	Insider trading	780
62	http://www.englishforum.ch/finance-banking-taxation/262851-uk-non-resident-landlord-other-swiss-tax-return-questions.html	3	UK non resident landlord and other Swiss tax return questions	731
63	http://www.englishforum.ch/finance-banking-taxation/260088-gemeinde-commune-tax-question.html	34	Gemeinde / Commune Tax Question	1,488
64	http://www.englishforum.ch/finance-banking-taxation/53177-safety-deposit-box-rental-zurich.html	37	Safety deposit box rental in Zurich?	34,189
65	http://www.englishforum.ch/finance-banking-taxation/262731-maximum-amount-transfer-ubs-foreign-account.html	6	Maximum amount transfer from UBS to Foreign Account	972
66	http://www.englishforum.ch/finance-banking-taxation/261712-worth-getting-swiss-credit-card.html	46	Is it worth getting a Swiss credit card?	3,074
67	http://www.englishforum.ch/finance-banking-taxation/262193-full-statement-bank-account-identity.html	17	Full statement of bank account identity?	916
68	http://www.englishforum.ch/finance-banking-taxation/102941-ubs-credit-suisse-one.html	35	UBs or Credit Suisse? Which one?	13,904
69	http://www.englishforum.ch/finance-banking-taxation/263058-should-i-file-return.html	3	Should I file a return?	1,039
70	http://www.englishforum.ch/finance-banking-taxation/262968-tax-advice.html	4	Tax advice	628
71	http://www.englishforum.ch/finance-banking-taxation/262999-tax-declarations.html	17	Tax Declarations	1,189
72	http://www.englishforum.ch/finance-banking-taxation/262969-versicherungspr-mien-und-sparkapitalien-insurance-premiums-savings-interests.html	7	Versicherungsprämien und Sparkapitalien? [Insurance premiums and savings interests]	526
73	http://www.englishforum.ch/finance-banking-taxation/262985-verified-visa.html	1	Verified by Visa	362
74	http://www.englishforum.ch/finance-banking-taxation/214294-do-us-ch-treaty-tie-breaker-rules-exempt-green-card-holders-us-tax.html	30	Do US-CH treaty tie breaker rules exempt green card holders from us tax?	6,545
75	http://www.englishforum.ch/finance-banking-taxation/262356-postfinance-seperate-account.html	17	PostFinance - 'Seperate' Account	870
76	http://www.englishforum.ch/finance-banking-taxation/262823-tax-problem-vaud-authorities.html	27	tax problem with Vaud authorities	1,353
77	http://www.englishforum.ch/finance-banking-taxation/260513-interactive-brokers-account.html	51	Interactive Brokers account	2,227
78	http://www.englishforum.ch/finance-banking-taxation/262770-financial-car-lease.html	11	Financial Car Lease	789
79	http://www.englishforum.ch/finance-banking-taxation/262703-live-zurich-work-geneva.html	12	Live in Zurich, work in Geneva	1,128
80	http://www.englishforum.ch/finance-banking-taxation/262638-making-receiving-large-monetary-gift.html	36	Making/receiving large monetary gift	1,796
81	http://www.englishforum.ch/finance-banking-taxation/262572-move-us-forcing-bank-switch.html	19	Move to US forcing bank switch	1,260
82	http://www.englishforum.ch/finance-banking-taxation/262673-2nd-pillar-investment-funds.html	0	2nd pillar investment funds	771
83	http://www.englishforum.ch/finance-banking-taxation/262461-taxes-un-spouses.html	11	Taxes for UN spouses	715
84	http://www.englishforum.ch/finance-banking-taxation/248909-currencyfair-long-deposit-delays.html	100	Currencyfair long deposit delays	9,130
85	http://www.englishforum.ch/finance-banking-taxation/262618-company-cars-new-tax-treatment-commuting-costs.html	5	Company cars - New Tax Treatment for Commuting Costs	950
86	http://www.englishforum.ch/finance-banking-taxation/262589-advice-needed-buying-shares-us-citizen.html	1	Advice needed! [Buying shares as a US citizen]	900
87	http://www.englishforum.ch/finance-banking-taxation/110812-family-allowance-child-benefit.html	47	Family Allowance & Child Benefit	14,764
88	http://www.englishforum.ch/finance-banking-taxation/229233-negative-interest-rates-first-retail-banking-reaction.html	31	Negative interest rates - first retail banking reaction	2,971
89	http://www.englishforum.ch/finance-banking-taxation/169147-avoiding-import-taxes.html	7	avoiding import taxes	3,074
90	http://www.englishforum.ch/finance-banking-taxation/262470-split-salary-between-two-countries.html	9	Split salary between two countries?	615
91	http://www.englishforum.ch/finance-banking-taxation/262498-permissible-personal-gmbh-tax-deductions.html	0	Permissible Personal and GmbH Tax Deductions	248
92	http://www.englishforum.ch/finance-banking-taxation/262487-am-i-tax-resident.html	4	Am I a tax resident?	405
93	http://www.englishforum.ch/finance-banking-taxation/204261-interactive-brokers-withholding-tax.html	35	Interactive brokers withholding tax	5,940
94	http://www.englishforum.ch/finance-banking-taxation/262419-swiss-old-age-pension-canada-questions.html	7	Swiss old age pension / Canada questions	457
95	http://www.englishforum.ch/finance-banking-taxation/262417-will-my-uk-endowment-policy-taxed-switzerland.html	18	Will my UK endowment policy be taxed in Switzerland	459
96	http://www.englishforum.ch/finance-banking-taxation/262368-us-tax-returns.html	8	US tax returns	522
97	http://www.englishforum.ch/finance-banking-taxation/262380-planning-move-canada-back-ch-where-begin-finances.html	2	Planning a move from Canada back to CH - where to begin with finances?	352
98	http://www.englishforum.ch/finance-banking-taxation/261287-tax-deductions-do-i-need-receipts.html	7	Tax Deductions - Do I need receipts?	626
99	http://www.englishforum.ch/finance-banking-taxation/262254-federal-tax-rate.html	4	Federal Tax Rate	380
100	http://www.englishforum.ch/finance-banking-taxation/262263-best-place-exchange-inr-chf.html	5	Which is the best place to exchange INR to CHF	740
