	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Financebankingtaxation	Currency Fair - Share in the saving, best exchanges rates	null	4	0	null	null	null	null	null	null	null	null	null
1	Financebankingtaxation	MoneyPark - Find the best mortgage for your needs	EF Advertising	1763	0	Location: Switzerland	06.10.2016, 11:37	    	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
2	Financebankingtaxation	Swiss pensions consolidated summary	dannyt986	184224	259	Location: Wollerau, Schwyz	12.03.2009, 15:00	" 
			
			Thanks again.   "	Posts: 1,784	Join Date: May 2005	Forum Veteran	Groaned at 25 Times in 18 Posts	Thanked 703 Times in 472 Posts	a reputation beyond repute
3	Financebankingtaxation	Bruce Accounting - Bookkeeping, Accounts and Adminstration	EF Advertising	6156	0	Location: Switzerland	23.11.2015, 15:46	" 
			
			Andrea Bruce    
I am a UK qualified Chartered Management Accountant and work as an independent, specialising in bookkeeping, administration and final accounts for individuals and small businesses.   
With over 25 years of experience in finance I have worked in a variety of organisations, including a global healthcare business in the UK, a regional software distributor in Dubai, and most recently for a local skiwear business in Switzerland. I am also currently the treasurer for 2 churches in Vaud.   
I can provide a range of services from basic filing through to bookkeeping and final accounts, either on a one-off project basis, or providing ongoing support, using a number of tools including spreadsheets and accounting software.   
My business is based in Blonay, Vaud, but I am mobile. I offer a free first introductory meeting to discuss your needs, and subsequent work is at a competitive hourly rate.   
Please contact me on: 
Mobile: 079 385 5859 
Email:    
Testimonies...   
I have had the pleasure of working with Andrea Bruce over the past seven years in her capacity as Treasurer of All Saints Church and Leader of our Finance Team.  She is a highly skilled Accountant with many years of experience in the international corporate world yet able to adapt to a variety of contexts as her work with our church has proven again and again.  She is motivated, hardworking and shows great attention to detail. Andrea is a people person and I have found that she is able to combine a professionalism with a helpful and supportive nature.  It’s an honour to recommend her. 
Rev. Clive Atkinson 
Pastor – All Saints Anglican Chaplaincy, Vevey     
Andrea Bruce is in charge in recent years of all aspects of our financial administration. Her work is outstanding. She keeps everything in order with accuracy and punctuality, even when facing complex problems, with independence and flexibility. We are very happy to be able to count on her services! 
Giorgio Margaritondo 
President – Our Lady of Faith Roman Catholic Church, Lausanne
		"	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
4	Financebankingtaxation	U.S. Tax Services for U.S. Tax Payers Abroad.  Starting at CHF 300!	EF Advertising	3363	0	Location: Switzerland	30.01.2015, 09:25	"             
Patrick Evans, CPA, CGMA is the founder of US Tax Practice GmbH.  Patrick is a U.S. Certified Public Accountant and federally recognized tax practitioner based in Switzerland servicing U.S. taxpayers here.   
US Tax Practice is in the business of helping fellow U.S. taxpayers with their tax compliance and tax planning in order to educate them on the process, be their tax partner and apply his skills to provide for their best interest and to make sure they understand why they are signing on the bottom line.     
Patrick does not charge for consultations or meetings and operates under an open door policy so clients dont need to hesitate to call or email if they have a question or problem.     
US Tax Practice offers 5 tax services for U.S. expats: 
1.	 Compliance   for U.S. taxpayers whom have never filed taxes or havent filed taxes in a long time since living outside the United States. 
2.	 Preparation   for U.S. taxpayers whom have filed U.S. taxes in the past and are looking for help with their current or prior year tax returns. 
3.	 Planning   for U.S. taxpayers whom want to get their US tax liability to zero or as close as possible. 
4.	   for U.S. taxpayers whom need assistance with their foreign bank account reports or have questions on which accounts need to be reported 
5.	   for U.S. taxpayers whom are looking to give up their U.S. citizenship.  We also consult non-U.S. taxpayers whom have received a Green Card and are looking at immigrating to the United States.   
If you have a specific question on U.S. taxes in Switzerland or U.S. taxes abroad, contact Patrick so he can assess your situation free of charge and provide you with a solution.         
Patrick Evans, CPA, CGMA 
US Tax Practice GmbH 
Tel +41 (0)52 533 45 81   
email:           "	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
5	Financebankingtaxation	Swiss tax calculator	Slaphead	13209	1	Location: Zürich	30.06.2014, 21:34	" 
			
			Such an hero
		"	Posts: 3,169	Join Date: May 2007	Moderato espressivo	Groaned at 40 Times in 36 Posts	Thanked 9,055 Times in 2,780 Posts	a reputation beyond repute
6	Financebankingtaxation	expatTax.ch - Tax & accounting services for foreign citizens in Switzerland	EF Advertising	18816	0	Location: Switzerland	30.01.2014, 12:53	"            is the CEO of   and  .   
Expat Tax Switzerland provides tax return services and tax advice for expatriates in Switzerland at affordable rates. It is the leading tax consultancy for expatriates in Switzerland focusing on their specific needs.   
Beat is a Swiss Certified Public Accountant and qualified tax consultant. He holds a Graduate Degree from the University of Applied Sciences in Economics and Business Administration.   
He started his career with PwC, a major auditing and tax consultation company, and then headed the corporate tax department of a Swiss multinational. Afterwards, he established his own company, Bonfina Treuhand GmbH in 2008 and Expat Tax Switzerland as a service under the Bonfina brand.   
Since then, Beat has been providing quality tax services to the expat community in Switzerland and has gained many happy clients along the way. You can read what clients have to say about his services on his website:  .   
Other services include audit, accounting and business consultancy.   
Beat's fees are very competitive, considering that he has an extensive knowledge about expat related tax issues. Approximately 90% of his clients are foreign nationals living in Switzerland. He offers a free initial consultation to discuss your situation and assess to what extent he can help you. On this occasion he will provide you with a free, no obligation estimate of how much the service will cost.   
His offices are based in Solothurn, a small baroque town, in the triangle Zurich  Basle  Berne. You are heartily welcome to visit, but in most cases no face-to-face meeting is required, all necessary information or documentation can be exchanged by phone and email.   
So if you have questions about Swiss taxation or need your tax return prepared, it couldn't be easier for you to gain control over your tax & business affairs.       
Call +41 32 623 30 55 for a FREE consultation to discuss your tax and/or business needs today!     
Owner, Expat Tax Switzerland 
Tel.  +41 (0) 32 623 30 55   
email: taxteam@expattax,ch     
NEW social media pages:   
Facebook:  
Twitter:  
Google+:  
YouTube:  
LinkedIn:   "	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
7	Financebankingtaxation	Taxes - Advisors/Accountants / Cantonal Offices / ZH Tax forms / Expat  US Taxes	Longbyt	26003	1	Location: ZH	20.02.2011, 19:31	" 
			
			Government salary calculator,         
Can we please make this a sticky?
		"	Posts: 7,374	Join Date: Apr 2008	Forum Legend	Groaned at 56 Times in 52 Posts	Thanked 11,135 Times in 4,149 Posts	a reputation beyond repute
8	Financebankingtaxation	Swiss Pensions - General Summary / 3rd Pillar Pensions	Longbyt	22621	0	Location: ZH	20.02.2011, 19:38	        	Posts: 7,374	Join Date: Apr 2008	Forum Legend	Groaned at 56 Times in 52 Posts	Thanked 11,135 Times in 4,149 Posts	a reputation beyond repute
9	Financebankingtaxation	Deduction of 3. Pillar for Quellensteuer	Ciuccio	690	13	Location: Zurich	30.10.2016, 21:38	" 
			
			Excellent replies, many thanks!
		"	Posts: 36	Join Date: Sep 2012	Junior Member	Groaned at 1 Time in 1 Post	Thanked 7 Times in 4 Posts	considered a nuisance
