	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Food and drink	Posting guideline for Food & Drink	Nathu	17566	0	Location: Zürich	18.11.2008, 11:36	" 
			
			As it will take some time until we have moved all matching threads to the new Food & Drinks forum, here's a summary of what belongs in the forum section: There are also a few things that don't belong here.    "	Posts: 4,674	Join Date: Apr 2007	Forum Legend	Groaned at 18 Times in 16 Posts	Thanked 2,208 Times in 1,248 Posts	a reputation beyond repute
1	Food and drink	Good Asian restaurants in Zurich city?	rob1	6173	65	Location: north	14.06.2016, 14:06	" 
			
			I also endorse these options, within a 5 min walk of Oerlikon station - mentioned in previous posts, in order of preference:      
1) Asiaway, Vietnamese  
2) Malabar, Indian    
2) Dapur, Indonesia:  
3) My Kitchen, Malaysian:      
Yen's is a favourite for sushi.
		"	Posts: 6,138	Join Date: May 2010	Forum Legend	Groaned at 226 Times in 146 Posts	Thanked 5,095 Times in 2,633 Posts	a reputation beyond repute
2	Food and drink	Cold Pressed Juice and Kombucha- Zurich	gypsychef	998	13	Location: Zurich Oberland	03.06.2016, 16:58	"    And...I have extra Scoby to give away... 
Jack
		"	Posts: 14	Join Date: May 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 20 Times in 3 Posts	made some interesting contributions
3	Food and drink	Good coffee in Lausanne	pedro1	1361	5	Location: Lausanne	04.12.2016, 13:21	" 
			
			Also on the hunt for good coffee in Lausanne, I tried Sleepy Bear with high hopes but sadly it missed the mark. The place looked good but the taste didn't follow through. Currently back in Sydney having all the coffee I can before returning to Lausanne BUT have come across a coffee truck that moves around the Lausanne area called Sydney Cafe. In La Ripponne twice a week. Might be worth a crack? Has anyone tried this?
		"	Posts: 12	Join Date: Mar 2009	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
4	Food and drink	Juice Cleanse Experience	Kikenz	710	44	Location: St Gallen	06.01.2017, 15:32	"    Ah, sorry missed that.  I caught the dust one. I have an inhaler for mine. That might work for you!
		"	Posts: 25	Join Date: Oct 2013	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 5 Times in 5 Posts	no particular reputation at present
5	Food and drink	Mexican food - Geneva	mbdm	811	8	Location: Geneva	13.12.2016, 10:41	" 
			
			Well, it's Geneva...so really:      "	Posts: 9	Join Date: Nov 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
6	Food and drink	It's that time of year again!	countrybumpkin	506	5	Location: Aegeri	02.11.2016, 19:24	" 
			
			B**ger, it's all gone!!  Tasted really good though.  Now, when is it Easter??
		"	Posts: 166	Join Date: Jan 2012	Member	Groaned at 0 Times in 0 Posts	Thanked 268 Times in 113 Posts	earned some respect
7	Food and drink	Bubble Tea in Zurich	Zurich2009	4335	8	Location: Zurich	11.09.2012, 18:15	" 
			
			I've tried bubble tea a couple of times and am not a great fan. There is one in front of bahnof oerlikon, but I have never tried it.
		"	Posts: 38	Join Date: Nov 2011	Junior Member	Groaned at 0 Times in 0 Posts	Thanked 21 Times in 12 Posts	no particular reputation at present
8	Food and drink	Correan Restaurant in Zurich	FlamingoHelveta	926	17	Location: Zurich	16.12.2016, 10:42	"    +1. Very authentic and for Zürich standards are the prices ok.
		"	Posts: 13	Join Date: Dec 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 2 Times in 2 Posts	no particular reputation at present
9	Food and drink	Bringing butter back to Switzerland	Helvetica	2853	32	Location: Busswil	15.11.2016, 18:28	" 
			
			Couldn't you just sprinkle salt on your toast, butter and jam?   
I mean, what do you do for any other dish that doesn't have enough salt for your taste?
		"	Posts: 41	Join Date: Oct 2008	Junior Member	Groaned at 11 Times in 3 Posts	Thanked 58 Times in 19 Posts	earned some respect
10	Food and drink	Post photos of what you cook and bake in Switzerland	argus	336871	2766	Location: Zug canton (calmly in Cham)	10.11.2009, 12:48	" 
			
			Wow, these are impressive to say the least. Is is possible to order cakes off you directly? Do you have a website? Do you teach cake decorating...?? You have a student if you do...         "	Posts: 3,378	Join Date: Jul 2007	Forum Legend	Groaned at 15 Times in 14 Posts	Thanked 2,550 Times in 1,236 Posts	a reputation beyond repute
11	Food and drink	recommendation please	London2010	570	3	Location: Basel	03.01.2017, 11:28	" 
			
			thanks guys, well looks like my hubby will have a few nights watching the kids while this momma goes out for some much needed lady night outs!   
cant wait to check these places out
		"	Posts: 45	Join Date: Nov 2013	Junior Member	Groaned at 0 Times in 0 Posts	Thanked 41 Times in 18 Posts	earned some respect
12	Food and drink	Lyons Golden Syrup	aqualetica	1009	13	Location: Wollerau	30.12.2016, 20:36	" 
			
			HP Sauce acquired in Globus, Zurich.
		"	Posts: 11	Join Date: May 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 6 Times in 2 Posts	no particular reputation at present
13	Food and drink	Where to buy Kimchi in Zurich?	WhateverItTakes	14019	58	Location: Zurich	25.11.2008, 23:03	"     
When you get off the train in Zurich HB, walk towards the 'big clock' meeting point, past the L'Occitane shop on your right until there's a big exit on your right. Take it, walk out to cross the street and the street you want is right in front of you on the left side (Schutzengasse). Yumi-hana is on the right side about 60m farther.     
P.S. Love your Labi pup picture. Reminds me of the foster dog we had.
		"	Posts: 22	Join Date: Aug 2007	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 3 Times in 3 Posts	no particular reputation at present
14	Food and drink	Where to find Vegan-only shops in Basel?	celine79	605	10	Location: Basel	18.12.2016, 14:28	"    And the people who groaned at that post are our winners in the ""spot the vegan"" game today!
		"	Posts: 11	Join Date: Nov 2010	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 8 Times in 5 Posts	no particular reputation at present
15	Food and drink	Fried noodles epiphany	Karl	1651	31	Location: Here	29.12.2016, 09:24	" 
			
			I've always read that cooked rice eaten next day is potentially lethal. However.... many years of experience tells me that out of the fridge and dumped into a very hot frying pan with onions, followed a few minutes later with a few odd veggies lying around and finished off with a good glug of soy sauce makes an excellent fried rice that so far   hasn't killed me off.   
The key thing is to get the rice into the hot pan before too much else is added to cool it down. So oil and (optional) onions/garlic first. Once the pan is sizzling, get the rice in and bang up the heat to keep the temperature high. You get a sort of feel for when the pan is hot enough to have killed off anything dangerous in the rice. After that point, add anything else you want.
		"	Posts: 1,723	Join Date: Sep 2008	Forum Veteran	Groaned at 173 Times in 77 Posts	Thanked 2,512 Times in 812 Posts	a reputation beyond repute
