	hrefs	replies	threads	views
0	http://www.englishforum.ch/housing-general/244985-movu-professional-removal-cleaning-services-expats-switzerland.html	1	MOVU  Professional removal and cleaning services for the expats in Switzerland	8,421
1	http://www.englishforum.ch/housing-general/104503-faqs-you-sure-your-question-problem-requirement-unique-look-here-before-asking.html	0	FAQs - you SURE your question/problem/requirement is unique? Look here before asking	41,579
2	http://www.englishforum.ch/housing-general/259427-good-real-estate-agent-selling.html	27	Good real estate agent (for selling)?	1,532
3	http://www.englishforum.ch/housing-general/264178-problem-building-administrator.html	6	Problem Building Administrator	616
4	http://www.englishforum.ch/housing-general/141066-how-about-gardening-thread.html	1,278	How about a gardening thread?	98,177
5	http://www.englishforum.ch/housing-general/264128-moving-geneva-ferney-saint-genis.html	0	Moving from Geneva to Ferney or Saint-Genis	495
6	http://www.englishforum.ch/housing-general/211655-home-automation-switzerland.html	45	Home Automation in Switzerland	5,126
7	http://www.englishforum.ch/housing-general/264045-looking-moving-out-cleaning-service.html	5	looking for a moving out cleaning service	718
8	http://www.englishforum.ch/housing-general/263381-temporary-accomodation-single-person-zurich-any-tips.html	9	Temporary accomodation for single person in Zurich - any tips?	1,026
9	http://www.englishforum.ch/housing-general/263983-canceling-rental-contract.html	14	Canceling a rental contract	1,036
10	http://www.englishforum.ch/housing-general/263957-flatmate-doesn-t-pay-rent-leaves-short-notice.html	17	Flatmate doesn't pay the rent and leaves with short notice	1,259
11	http://www.englishforum.ch/housing-general/261975-subletting-one-room-apartment-how-make-legal.html	20	Subletting one room in apartment: how to make it legal	767
12	http://www.englishforum.ch/housing-general/263914-what-plumbing-trough-thing-basement.html	10	What is this plumbing trough thing in the basement	1,266
13	http://www.englishforum.ch/housing-general/263128-looking-house-zollikon-before-june.html	18	Looking for House in Zollikon before June	1,045
14	http://www.englishforum.ch/housing-general/263935-cable-radio-nebenkosten.html	5	Cable and radio in Nebenkosten	887
15	http://www.englishforum.ch/housing-general/263744-wash-card-has-gone-missing-now-i-have-house-full-relatives-visiting-help.html	21	Wash card has gone missing and now I have a house full of relatives visiting. Help!	1,339
16	http://www.englishforum.ch/housing-general/263904-renovation-schaffhausen-project-manager-general-contractor-architect.html	0	Renovation in Schaffhausen - Project Manager / General Contractor / Architect	221
17	http://www.englishforum.ch/housing-general/263838-places-near-basel-buying-home.html	9	Places near Basel for buying home	794
18	http://www.englishforum.ch/housing-general/263497-our-neighbour-took-down-our-christmas-lights.html	127	Our neighbour took down our Christmas lights	7,747
19	http://www.englishforum.ch/housing-general/263825-nebenkosten-question.html	20	Nebenkosten question	847
