	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Insurance	Are you eligible for a health insurance subsidy?	guest	27034	73	null	null	   Thanks for this Porsch1909!    I actually spoke to the cantonal health insurance office and it was they who told me that if was staying in c. Neuchatel to study, my demand for subsidy would be refused. The focus is on the purpose of you stay in the canton. I suppose that if your initial purpose would be, say, employment and you do you studies in parallel, they could grant you a subsidy.   What is your situation?   Anyway, good luck with your application and please let me know if there is any news.   Thanks  	null	null	null	null	null	null
1	Insurance	Guide: foreign student health insurance Switzerland, interns, au pairs	EF Advertising	11580	0	Location: Switzerland	29.09.2014, 16:50	"           
You might already know that, it is mandatory for each single person living in Switzerland (more than 3 months) to have a basic health insurance according to the Health Insurance Act, which is based on the principle of solidarity. The name of this insurance is KVG-LAMal.   
A Swiss basic insurance could cost between CHF 250 up to CHF 400 per month, depending the annual deductible you choose.   
Foreign students, interns and au pairs who living temporarily in Switzerland for a duration of 3 months up to 6 years, can be exempted (waiver) from the basic health insurance KVG-LAMal. The exemption is only accepted if they can proof that they have an equivalent health insurance.   
Such valid insurance in Switzerland costs average CHF 100 per month.       
The majority of foreign students, interns and au pairs choose the private insurance due to financial reasons. The cover is the same as the basic insurance however the price is much more affordable.       
You can :   
●	Use your European Health Insurance Card (EHIC) 
●	Choose the Swiss national health insurance scheme KVG-LAMal 
●	Choose a private insurance which approved by the responsible authority from your resident canton in Switzerland       
You can :   
●	Choose the Swiss national health insurance scheme KVG-LAMal 
●	Choose a private insurance which approved by the responsible authority from your resident canton in Switzerland       
You can save time and money by applying online a private health insurance plan from Switzerland directly from your home country. You will receive the insurance certificate instantly by e-mail which you may use for obtaining the entry visa in Switzerland. An additional travel insurance is not necessary.       
If you are already in Switzerland and do not have health insurance yet, you can also apply for a private insurance plan directly online.         
As foreign student, intern or an au pairs, you have the right to request an exemption from the Swiss basic health insurance KVG-LAMal and benefits from a private insurance. However, an exemption is not granted automatically and will never propose a free solution for the applicants. An exemption application must be handed to the responsible authorities in the resident canton. The decision of the exemption falls under the responsibility of the canton - the regulations and procedures practice may vary from different cantons.   
●	An exemption is only granted if the private or international insurance company provides equivalent coverage according to the Swiss Health Insurance Act.       
Upon your visa application, you might have to provide a copy of your health insurance proof. And after moving into Switzerland, you have three months to take out a health insurance with an authorized health insurance company of your choice. As due to it takes weeks/months for the exemption application and procedures, it is wise to inquire beforehand.         
When choosing private insurance coverage in Switzerland, it is important to ensure that the company is registered and recognized by the Swiss authorities. Otherwise you may find yourself with an insurance that is not equivalent and will not cover your costs. So here we recommend you to check the following criteria :   
●	Is it a Swiss insurance company?  
●	Does it provide information concerning the address of the insurance company? 
●	Does it have a company registration number? 
●	Does the product have any limitations or exclusions? 
●	Does it cover all the insurance benefits according to the Health Insurance Act? 
●	Is the insurance that provides the guarantees registered under the FINMA? 
●	Are the claims being handled in Switzerland? 
●	Does a hospital bill the insurance directly - or do you have to pay a deposit? 
●	Do your canton authorities recognize the insurance?       
You could face following problems :   
●	Your claims will be partially refunded 
●	Your claims will be rejected 
●	Your contract can be terminated due to claims issues 
●	You could face important financial problems       
Online private insurance for students, interns, au pairs :  
Government insurance :   
Government F.A.Q. :   "	Posts: 182	Join Date: Jan 2011	Commercial paid-placement ads	Groaned at 5 Times in 4 Posts	Thanked 14 Times in 10 Posts	considered a nuisance
2	Insurance	Social Security in Switzerland	Longbyt	14088	0	Location: ZH	27.02.2011, 11:27	"   - the Official Site.      - the Official Site             - justlanded.com    - geneva.angloinfo.com    - ch.ch
		"	Posts: 7,374	Join Date: Apr 2008	Forum Legend	Groaned at 56 Times in 52 Posts	Thanked 11,137 Times in 4,149 Posts	a reputation beyond repute
3	Insurance	Health Insurance - Look here before asking questions please.	Longbyt	24685	0	Location: ZH	27.02.2011, 11:09	"   - official government site      - Questions can be added to this Thread     - Link to Jenny's up-to-date information       - Jenny      - Jenny      - Jenny
		"	Posts: 7,374	Join Date: Apr 2008	Forum Legend	Groaned at 56 Times in 52 Posts	Thanked 11,137 Times in 4,149 Posts	a reputation beyond repute
4	Insurance	Accident insurance - help needed!	srkiii	265	11	Location: Dietikon	Yesterday, 20:35	"    Yes, we are both ""suthruners"".    
Tom
		"	Posts: 32	Join Date: Jul 2015	Junior Member	Groaned at 0 Times in 0 Posts	Thanked 7 Times in 7 Posts	no particular reputation at present
5	Insurance	Excess insurance for rental cars	Iggy	14864	37	Location: Geneva	12.05.2010, 00:45	" 
			
			Hello,   
 Does anyone know of any insurance companies in Switzerland that cover car rental excess? CDW etc?   
I can find tons for the UK etc, but none for CH residents... (that arn't through agencies like cartrawler)   
Thanks!!   "	Posts: 68	Join Date: Apr 2008	Junior Member	Groaned at 2 Times in 1 Post	Thanked 4 Times in 4 Posts	no particular reputation at present
6	Insurance	Does submitting a renter's insurance claim increase your premiums?	felixd	252	3	Location: Lausanne	05.01.2017, 22:56	" 
			
			They shouldn't, private liability insurances usually don't work on bonus/malus system like car insurance.   
But insurers do have a right in general to cancel your policy after a claim if they think you've become too much of a risk. Finding a new insurer will be more difficult and/or costly then. You have to disclose on the application whether previous insurer cancelled your policy.
		"	Posts: 1	Join Date: Apr 2015	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
7	Insurance	Humira	ficozver	257	4	Location: Geneva	04.01.2017, 05:18	" 
			
			I would advise when arranging your Swiss health insurance to go for a lower franchise and accept higher premiums.  The franchises range from CHF300 up to CHF2,500 and this is the amount you have to pay first before the insurance kicks in.  With a pre-existing condition such as this I'd advise either the 300 or 500 option.  That would be all you have to pay before the insurance starts to cover the medical bills. After that you pay 10% of the next 7,000 costs, the insurance covers the rest and if it goes beyond that you pay nothing, the insurance covers it all.  These are annual figures so each January would start a new cycle of payments.   
Also make sure the insurance company is one where all invoices are sent directly to them - doctors, hospitals, etc - and then they will bill you for what you owe them.  Otherwise you could still end up having to pay the invoice first and then sending it to the insurance company to claim back.
		"	Posts: 1	Join Date: Jan 2017	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
8	Insurance	insurance needed for 6 months internship?	FTettamanzi	150	0	Location: Bern	04.01.2017, 12:14	" 
			
			Hello. 
I am a EU citizen starting a 6 months internship. 
Do I need a full medical insurance?   
thanks
		"	Posts: 6	Join Date: Dec 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
9	Insurance	Travel cancellation insurance	celt	205	4	Location: Wettingen	03.01.2017, 11:10	"    Thanks. If he's still sick by Thursday/Friday, we'll just go to the doctor again and ask for the opinion and letter in case we don't go, and then see with the insurance how to cancel the thing.   
I just hope it does not come to this we're looking forward to this holiday for a year now   "	Posts: 17	Join Date: Oct 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 1 Time in 1 Post	no particular reputation at present
10	Insurance	European break-down cover.	Rigormortis	307	7	Location: Aargau	02.01.2017, 15:49	"    Thanks Fish Paste, I've looked at that insurance previously but unfortunately it does not cover break down, just accident and theft plus all the other goodies like zero excess.
		"	Posts: 148	Join Date: Oct 2011	Member	Groaned at 11 Times in 9 Posts	Thanked 77 Times in 46 Posts	considered a nuisance
11	Insurance	Insurance with Crohn's Disease	StHilaire	333	3	Location: Geneva	02.01.2017, 04:59	" 
			
			""basic"" insurance in Switzerland is not really basic.  All medically required treatments are covered, it's just extras like private room, right to see a senior doctor even for minor illness, complementary therapies that are not covered.   
You'll be fine with basic.  We moved to Switzerland when Mr HH had active cancer...so could only get basic.  It's paaid for all of his treatments, new and expensive drugs, major surgery, 3 weeks residential rehab after surgery, etc etc.  He's seen senior doctors when appropriate (complex or unusual situations) and well supervised junior doctors for simpler things.     
Not sure where you are moving from, but the system compares very favourably with our experiences of either the UK or US systems.
		"	Posts: 1	Join Date: Jan 2017	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
12	Insurance	Burnout ... what to do?	SoWhat?	642	4	Location: Lausanne	27.12.2016, 03:23	" 
			
			Our insurance has a medical help line you can ring to ask what to do if you're unsure. Check to see if yours has one.
		"	Posts: 22	Join Date: Dec 2009	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 5 Times in 3 Posts	no particular reputation at present
13	Insurance	What documents to submit to Scorestudies insurance plan	Twitchit	294	5	Location: Geneva	26.12.2016, 19:31	"    They will tell you, I never submitted a residence permit for insurance.
		"	Posts: 3	Join Date: Dec 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
14	Insurance	Insurance as a masseuse	evakram	450	6	Location: Verbier	21.12.2016, 12:58	" 
			
			The ones in our village work at the  biene huss sex house.   But there is also a physio massage place next to the railway station where they made my broken neck even worse with un medical knowledge. 
Both need insurance in my view
		"	Posts: 1	Join Date: Dec 2016	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
15	Insurance	insurance before having ID card	zuzi666	213	2	Location: Ittigen bei Bern	21.12.2016, 15:49	" 
			
			not the swiss one.  
my one from home yes.  
I'm still waiting for the swiss one.
		"	Posts: 44	Join Date: Nov 2013	Junior Member	Groaned at 0 Times in 0 Posts	Thanked 5 Times in 5 Posts	no particular reputation at present
16	Insurance	Cancelling health insurance	NFS	265	1	Location: Zurich	21.12.2016, 09:53	"    You can't cancel unless you have proof of new coverage.
		"	Posts: 11	Join Date: Jul 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
17	Insurance	Insuring Valuables	highsandlows	522	10	Location: Zurich	15.12.2016, 13:24	"    I think it's an excellent diversion, provided it can't be opened on the spot.
		"	Posts: 119	Join Date: Oct 2015	Member	Groaned at 0 Times in 0 Posts	Thanked 42 Times in 22 Posts	no particular reputation at present
18	Insurance	Health insurance, legal advice	guest	1276	17	null	null	" 
			
			** UPDATE **   
They have agreed to cancel the policy, thanks to the information I was given on this thread, I used this to liase with them again and they have accepted this time!    
I have decided that with legal shiz I am going to revert back to saying that I don't speak German, until I'm at C2 or something! And I will definitely not sign anything else unless I can understand it or I have an independent and impartial translator   "	null	null	null	null	null	null
19	Insurance	When do you send medical bills to Assura?	happyrobbie	2824	21	Location: Sion/VS, Fribourg/FR, Bern/BE	04.10.2015, 19:57	" 
			
			Just to be clear - if you receive a bill, it's up to you to pay it, not Assura (or any other insurance company). The insurance company will reimburse the part of the cost due (that's what tiers-garant means, third-party guarantee).
		"	Posts: 792	Join Date: Apr 2012	Forum Veteran	Groaned at 13 Times in 10 Posts	Thanked 302 Times in 167 Posts	an excellent reputation
20	Insurance	Cancel supplementary insuarance	bsna	594	11	Location: Gland	10.12.2016, 23:26	" 
			
			Some insurers have now flexible hospital semi and private option. In Visana it is about 85 for a lady pcm, and has a 2000 (semi priv.)/4000 (priv.) additional franchise if used. We're a largish family, so it is only my wife I can pay it for :-)
		"	Posts: 3	Join Date: Feb 2015	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
