	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Language corner	Find Your Tandem/Language Exchange Partner on EF!	guest	165236	747	null	1.1.0001, 00:00	" 
			
			hi,    
i) language(s) that you are learning, including level   
ii) language(s) you speak natively    
iii) your location    
iv) personal interests (eg sport, film, music etc)   
v) short introduction about yourself    "		 Jun 0001		[]	[]	
1	Language corner	Swiss German - Learning / Basic Vocabulary / Translations Swiss German < > English	Longbyt	24997	0	ZH	15.02.2011, 21:42	                        	7374	 Apr 2008	6.0	['56', '52']	['11', '137', '4', '149']	6
2	Language corner	The German practice 'social group'	Nickers	16642	0	Zurich	17.09.2010, 22:09	" 
			
			After much debate an excellent idea by Treverus was to create a social group for the 'Practice Writing German thread'   
it can be found here for any that want to be involved       
Mods will check in from time to time but as with the other social groups they are pretty much left up to the participants to maintain. So play nicely   
If anyone wants to set a similar group up for French, Italian or Romanisch then you are free to do so, just let us know so we can create a sticky for it also   
Nicky
		"	3733	 May 2006	6.0	['46', '40']	['4', '897', '1', '696']	6
3	Language corner	Guidelines for the Language Corner - read before posting here	mark	17078	0	Zollikon, Switzerland	30.08.2006, 12:38	" 
			
			Welcome to the Language Corner. Please take a moment to review these guidelines before you post.       
Switzerland has three main official languages (German, French, Italian). To make it easier for people to select the threads that interest them please prefix your subject line with the name of the language. For example:         
In some cases no prefix is necessary, for example:       
As always - try to make your subject line as relevant and as informative as possible.     
Discussions here should be limited to the use of language as it applies to life in Switzerland. This could include the use of English (see next section), but should not incude other languages (e.g. Spanish, Japanese) unless they are relevant to a topic in discussion (such as highlighting the difference between German and Japense, or the similarities between Italian and Spanish).        
This forum may be called ""English Forum"", but the focus is for English-speaking people living in Switzerland. This area  . Posts from non-natives (especially outside Switzerland) looking for help with their English  . There are other forums on the internet that deal with the English language, please use these instead (hint: google).   
From time to time there may be coverage about the English language but this will only be in the following cases:   
Please take note of the following linguistic terms that are frequently spelled incorrectly by native English speakers (since they will be used often in this area):     , not grammer.   , not pronounciation. Pronounce contains an   after the first  , pronunciation does not.
		"	3070	 May 2005	8.0	['3', '3']	['418', '115']	6
4	Language corner	Hey I need to make A2 German course with certificate	Bat	245	4	Zurich	04.01.2017, 12:41	" 
			
			Take a look at this school, which is located in Egg, not far from  the Greifensee: german-language-school.ch
		"	7	 Jan 2016	0.0	['2', '1']	['0', '0']	2
5	Language corner	German practice	SunsetIT	696	6	Zurich	30.11.2016, 17:21	" 
			
			good idea, but i am in aargau
		"	8	 Nov 2016	0.0	['0', '0']	['0', '0']	0
6	Language corner	English: CAE or CPE?	Henry January	861	30	Basel	03.01.2017, 15:49	" 
			
			I took the exam without much preparation other than doing a couple of practice exams. I found the use of English parts easy, I practiced those parts that I struggled with most. The oral part was not difficult either, in preparation I watched some videos and looked at the examiner notes on those exams, which are all available online as examples. This really helped, as I knew what was expected. The essay was not hard, but you need to know how to write different types of essays, letters, etc, once you have the structure right, the rest is easy. There was one part in the reading that I found tricky, where you had to put text pieces into the right order. The text made sense to me in a few different ways. The other part I found rather difficult was the 2nd part of the listening exam, where you had a variety of of muliple choice answers. I kind of guessed at some of those answers, but since I aced the other part of the listening exam, it didn't matter so much. I ended up passing with an A Grade.
		"	6	 Jan 2017	0.0	['0', '0']	['1', '1']	0
7	Language corner	Tandem French/Italian Sierre	gaetanomanzo	421	3	Sierre	25.11.2016, 14:45	" 
			
			Hi, Gaetano, 
Great.  Based on my experience, it does help to have English as a buffer language (at least for me to learn Italian).  Let me know the times you are available and we can see how far we go.  For now, I'm just recovering from a severe cold and should be practically ok next week. 
Regards, 
Khin
		"	2	 Nov 2016	0.0	['0', '0']	['0', '0']	0
8	Language corner	german for italian	april smile	156	0	Rome-Basel	04.01.2017, 21:13	" 
			
			i'd like to learn german and i can teach italian
		"	1	 Jan 2017	0.0	['0', '0']	['1', '1']	0
9	Language corner	French tandem English/German/Italian - Zurich	Trillian Astra	1128	7	Zurich	26.10.2013, 13:45	"    You may have a long wait, the OP hasn't been active on the forum for over a year.
		"	349	 Nov 2012	4.0	['16', '14']	['318', '143']	3
