	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Leaving Switzerland	Leaving Switzerland Permanently	Louis Wu	117144	217	varied, now Nouvelle Normandie	18.05.2009, 08:31	" 
			
			But remember to keep money in it... because the bank charges build up and you can end up in the red by not keeping your eye on your balance because you are busy with your new life and place!   "	1027	 Jul 2008	5.0	['24', '21']	['907', '455']	6
1	Leaving Switzerland	Moving to Korea - advice on overseas shipping	Lukc	133	0	Lausanne	07.01.2017, 11:51	" 
			
			Hello, all,   
after a good few years in Lausanne, I'm wrapping things up here and moving on to the next adventure. Most of my belongings will get donated, but there are stacks of books and clothes that I want to box and ship overseas (by slow boat is fine). My questions are:   
a) can anyone recommend shipping companies that would handle about a cubic meter or two of books and clothes and a couple of sentimental knick knacks? 
b) where is the best place to get packing boxes / a packing crate around here? 
c) any additional advice on overseas shipping?
		"	40	 Apr 2013	2.0	['0', '0']	['9', '5']	2
2	Leaving Switzerland	Are you moving from Switzerland to New Zealand?	KiwiMaya	1865	5	St-Cergue, Vaud	27.06.2012, 15:19	" 
			
			Thanks - PM sent.
		"	1	 Mar 2010	0.0	['0', '0']	['0', '0']	0
3	Leaving Switzerland	AHV contributions	Nupss	852	4	Oerlikon	12.09.2016, 14:00	" 
			
			Hi,   
Picking up this thread.   
I've read the documents suggested above (on the ahv website).   
I'm still slightly confused.   
My AHV / OASI / Pillar 1 contributions are about 5% of salary.   
I am a UK national leaving Switzerland and moving to New Zealand. (New Zealand is a non-agreement state). I am 40 years old.   
Pg 48 of that document states:   
""Citizens of non-contracting states who live abroad may apply for, and be 
granted, reimbursement of their OASI contributions without interest, after 
they have definitively left Switzerland. They must have paid contributions 
for at least one full year to be entitled to reimbursement.""   
Question 1. 
Am I eligible to claim these contributions back? (Being a UK passport holder, but emigrating to NZ)   
Question 2. 
Is this a completely different pension / pot of money from my 'Pillar 2' pension, or are they merged together somehow?   
(I know that I can withdraw my pillar 2 pension, but I will be charged withdrawl tax, etc.)   
I know that I can ask the AHV directly, but I just wondered if anyone here had been through the same thing? (EU national leaving to a non-agreement state).   
Cheers
		"	11	 Nov 2015	1.0	['0', '0']	['2', '2']	0
4	Leaving Switzerland	Best country to retire	WilliamTell	8818	151	Zurich	01.10.2016, 23:24	" 
			
			For me it will be Berlin. Great city, lots of cultural things to do, living on the outskirts of the city allows me to go for nice walks at the lakes and in the forests. And I hope to fullfil my dream of going back to university.   
Downside is definitely the tax system...............
		"	177	 Feb 2012	3.0	['4', '4']	['173', '68']	3
5	Leaving Switzerland	Back to Blighty	All else fails, try Wales	381	3	Zug	03.01.2017, 11:51	" 
			
			if your Mrs does have a good job just resign?  from what i have seen it a pain.  you may be able to wing it if you do 6 months for example and are below the 120K threahold which means you do not need to file a tax return.   
keeping up rent and so on, unless you sublet doesnt make much sense i would think.   
shame as i think CH is a good and safe place for kids to grow up but yes i know other social differences with the swiss kids
		"	1	 Sep 2014	0.0	['0', '0']	['0', '0']	0
6	Leaving Switzerland	Moving to USA, Shipping quotes	Holly210	16496	51	Binningen	04.03.2014, 21:11	" 
			
			Thanks everyone for the information!   
I am currently planning a move at the end of September from Zurich to Seattle. I have been debating whether to just send packages via Swiss post and sell the rest of my things. I only have maximum 10 boxes plus a road bike that I will ship. (I got my bike box from a friend who recently bought one - but I know that bike shops will have extras and you could ask them for one or ask them to hold one for you!)    
I contacted Allied VanLines (US based company) that put me in touch with TeamRelocations here in Switzerland. They quoted me for 15 boxes (2 cubic meters) at 3250CHF with 5-6 weeks door-to-door transport time. I called to confirm this price (which seems super high) and they said that 2 cubic meters was the smallest spot you could buy even if you had less stuff.     
Any suggestions? Does this seem high to anyone else?
		"	169	 Jul 2012	3.0	['1', '1']	['133', '59']	4
7	Leaving Switzerland	Canceling Cablecom when you leave - good luck	cereus	2332	21	Canada	16.09.2016, 00:17	" 
			
			I also didn't have any problems with Cablecom when I moved apartment and cancelled my contract.   
I sent a registered letter and then followed up to make sure that there were no issues with the cancellation.   
I was prepared to pay an additional month in case there was some sort of mix up but everything was cancelled as I requested.
		"	154	 Oct 2009	3.0	['0', '0']	['79', '42']	4
8	Leaving Switzerland	AVS refund	Nathyb	3910	13	Vaud	01.03.2016, 15:26	" 
			
			Any idea on how to calculate the AVS refund amount?
		"	15	 Sep 2015	1.0	['0', '0']	['0', '0']	0
9	Leaving Switzerland	Moving from Zurich to Uppsala, Sweden	JohnB	353	1	Erlenbach ZH	06.12.2016, 20:38	"    Hi John,   
I used Alpha Moving to move my furniture & stuff from/to Sweden. They're quite professional, will take good care of your goods and also keep them in storage if needed.  
I can't think of anything in particular you need to keep in mind for moving Sweden <-> Switzerland if you use a professional agency.    
With kind regards, 
MoodyBlues
		"	1	 Dec 2016	0.0	['0', '0']	['0', '0']	0
10	Leaving Switzerland	Leaving Switzerland, advice needed, please!	Grasshopper	4024	64	Basel	04.11.2016, 18:24	"    As far as I understood it, an employee who has lost his/her job can still claim RAV even if the fault is his/hers.  This could be through misdemeanor, or simply through resigning.  The RAV will still pay.  What is different, though, is the waiting period and ""penalty days"".  An employee from scenario 1 (fired) has no penalty days.
		"	16	 Feb 2008	1.0	['0', '0']	['6', '4']	0
11	Leaving Switzerland	leaving and get retirement money	Sousa	728	4	Zurich	23.11.2016, 20:06	" 
			
			Just contact Swisslife. Or ask you company via which insurance broker they work and they will be able to help you out.
		"	11	 Jul 2015	1.0	['0', '0']	['0', '0']	0
12	Leaving Switzerland	There must be something cheaper than FedEx!	Nothingspecial	1674	20	Basel	19.08.2016, 23:50	" 
			
			I'm in exactly the same position and need to move quickly.  So distiilling all this, it boils down to 'sendmybag' or Luker Bros.  Anything else top those two?
		"	97	 Aug 2016	2.0	['58', '29']	['87', '41']	-3
13	Leaving Switzerland	Are more English speaking people thinking of leaving Switzerland now than before?	megafine	1963	25	Zürich	21.11.2016, 12:04	"    Depends who you work for and what you do. There's a lot of pressure, just as there is everywhere.
		"	15	 Jun 2015	1.0	['0', '0']	['9', '4']	0
14	Leaving Switzerland	How are moving costs calculated - move to US?	tartegnin	2973	15	Lausanne	27.01.2012, 10:45	" 
			
			Hi pel   
Thanks for that. We are moving this week so for us a bit late in the game but sure will be useful to others. Will also let you know how it went.   
Happy moving to you too!
		"	16	 May 2011	1.0	['0', '0']	['3', '3']	0
15	Leaving Switzerland	Pearson, ITO Movers, Movecorp or Excess International for moving?	banadol	864	3	Grisons	30.08.2016, 16:04	"    Hi Vin, I am also planning to move to London, UK from Switzerland. Will contact pearsons as you have suggested. Any forums in UK that I can join to help in the house and school hunt there?
		"	288	 Feb 2014	4.0	['5', '2']	['202', '105']	2
16	Leaving Switzerland	Large plastic bins -- take or leave if moving via ocean?	pel	309	0	Zurich area	20.11.2016, 12:17	" 
			
			Has anyone else run into this question and what did you do?    
Did you move larger plastic bins or storage containers across the ocean or just replace any you had when you arrived at the new location?    
They seem a strange size and Googling suggests that the plastic containers don't work well as boxes because they break. I know if they are here when the movers arrive they will get packed, so I should decide before ...
		"	18	 May 2010	1.0	['0', '0']	['3', '3']	2
