	hrefs	replies	threads	views
0	http://www.englishforum.ch/other-general/104486-resources-expats-importing-goods-rubbish-waste-recycling-consumer-rights.html	0	Resources for Expats /Importing Goods /Rubbish/ Waste/Recycling/Consumer Rights	17,949
1	http://www.englishforum.ch/other-general/168845-gun-community.html	112	Gun Community	12,511
2	http://www.englishforum.ch/other-general/264202-cleaning-kitchen-granite.html	9	Cleaning kitchen granite	667
3	http://www.englishforum.ch/other-general/264134-stop-lurking-posts-something-friday-thread.html	11	Stop lurking and posts something - Friday thread	842
4	http://www.englishforum.ch/other-general/264130-canada-goose-jacket.html	11	Canada Goose jacket	437
5	http://www.englishforum.ch/other-general/264097-jukebox-repair.html	12	Jukebox repair	362
6	http://www.englishforum.ch/other-general/263808-cantonal-comparison-income-costs.html	32	Cantonal comparison of income and costs	1,596
7	http://www.englishforum.ch/other-general/263159-i-just-quit-my-job-please-help-me-some-questions.html	36	I just quit my job, please help me with some questions	2,597
8	http://www.englishforum.ch/other-general/263919-anxious-about-sharing-personal-files-consultant.html	20	Anxious about sharing personal files with consultant	1,255
9	http://www.englishforum.ch/other-general/263985-leather-monograms-z-rich.html	3	leather monograms in Zürich	424
10	http://www.englishforum.ch/other-general/244854-canada-goose-coats-any-good-where-buy.html	85	Canada goose coats - any good? Where to buy?	7,788
11	http://www.englishforum.ch/other-general/263909-sending-skis-within-switzerland.html	3	sending skis within switzerland	601
12	http://www.englishforum.ch/other-general/123622-vitamix-5200-bring-my-us-one-buy-new-switzerland.html	15	Vitamix 5200 - bring my US one or buy new in Switzerland?	18,502
13	http://www.englishforum.ch/other-general/263902-postage-packages-switzerland-uk.html	1	Postage: packages, Switzerland to UK	586
14	http://www.englishforum.ch/other-general/263871-dishwasher-rinse-aid.html	9	Dishwasher rinse aid	872
15	http://www.englishforum.ch/other-general/260981-old-watch-repair-zurich.html	16	Old watch repair Zurich	892
16	http://www.englishforum.ch/other-general/263828-where-can-i-get-watch-box-zurich.html	5	Where can I get a Watch Box in Zurich	846
17	http://www.englishforum.ch/other-general/263844-how-long-do-zurich-customs-take-review-package.html	1	How long do Zurich customs take to review a package?...	821
18	http://www.englishforum.ch/other-general/263829-getting-rid-old-dvd-player.html	8	Getting rid of old DVD Player	814
19	http://www.englishforum.ch/other-general/263814-recycling-large-cardboard-boxes.html	3	Recycling large cardboard boxes	735
20	http://www.englishforum.ch/other-general/263779-quickest-border-crossing-point-friday-evening.html	15	Quickest border-crossing point on a Friday evening	1,124
21	http://www.englishforum.ch/other-general/263760-buy-wrong-garbage-bag-my-municipality.html	37	Buy wrong garbage bag for my municipality	1,026
22	http://www.englishforum.ch/other-general/263790-any-star-gazers-out-there.html	5	Any star gazers out there?	840
23	http://www.englishforum.ch/other-general/54020-sport-staring.html	243	The sport of staring.....	25,521
24	http://www.englishforum.ch/other-general/263770-email-legally-binding-switzerland.html	9	Email Legally binding in Switzerland?	1,044
25	http://www.englishforum.ch/other-general/263706-uk-switzerland-parcel-bring-back-community.html	36	UK to Switzerland parcel bring back community	910
26	http://www.englishforum.ch/other-general/263663-where-find-good-web-developer.html	11	Where to find a good web developer?	802
27	http://www.englishforum.ch/other-general/263684-can-t-you-tell-s-coke-based-jaws.html	2	Can't you tell it's coke based on JAWS ?	428
28	http://www.englishforum.ch/other-general/245633-boxspring-vs-lattenrost.html	14	BoxSpring vs Lattenrost	1,745
29	http://www.englishforum.ch/other-general/201-looking-dentist-z-rich.html	95	Looking for a Dentist in Zürich	46,742
30	http://www.englishforum.ch/other-general/263260-legal-advice-buying-2nd-hand-furniture.html	40	Legal advice for buying 2nd hand furniture	2,509
31	http://www.englishforum.ch/other-general/263568-carbon-dioxide-bottle-welding-machine.html	1	Carbon dioxide bottle for a welding machine	660
32	http://www.englishforum.ch/other-general/263468-basel-art-gallery-extension-officially-very-good.html	1	Basel Art Gallery Extension. 'Officially' very good	690
33	http://www.englishforum.ch/other-general/57559-recycling-compost-plastic.html	25	Recycling: compost and plastic	10,082
34	http://www.englishforum.ch/other-general/26836-donating-food-zurich.html	7	Donating Food in Zurich?	1,749
35	http://www.englishforum.ch/other-general/243596-where-get-custom-shoes.html	9	Where to get Custom Shoes	1,058
36	http://www.englishforum.ch/other-general/263259-flannel-bedding-online-z-rich.html	8	Flannel bedding (online or in Zürich)	1,209
37	http://www.englishforum.ch/other-general/263338-andrew-sachs-rip.html	5	Andrew Sachs RIP	1,060
38	http://www.englishforum.ch/other-general/263305-do-you-have-used-bicycle-you-no-longer-want.html	1	Do you have a used bicycle you no longer want?	1,011
39	http://www.englishforum.ch/other-general/3628-messy-eyebrows-eyebrow-threading-waxing-basel.html	45	Messy Eyebrows: Eyebrow Threading/Waxing (Basel)	13,933
40	http://www.englishforum.ch/other-general/263289-registered-mail.html	2	Registered mail	961
41	http://www.englishforum.ch/other-general/148284-buy-sewing-machine.html	38	Buy sewing machine	7,380
42	http://www.englishforum.ch/other-general/263194-anyone-know-complete-domestic-finances-management-service.html	25	Anyone know of a complete domestic finances management service?	1,695
43	http://www.englishforum.ch/other-general/5668-american-food-store.html	50	American food store ??	20,673
44	http://www.englishforum.ch/other-general/263231-anyone-had-wood-burner-chimney-installed.html	4	Anyone had a wood burner chimney installed?	1,019
45	http://www.englishforum.ch/other-general/263222-private-tutor-hourly-rate.html	8	private tutor hourly rate	1,147
46	http://www.englishforum.ch/other-general/263227-legal-rights-second-hand-sale.html	7	Legal rights on second hand sale	1,137
47	http://www.englishforum.ch/other-general/262104-marks-spencers-swiss-store.html	51	Marks & Spencers Swiss store	3,474
48	http://www.englishforum.ch/other-general/263190-anybody-bitcoin-mining-ch.html	2	Anybody bitcoin mining in CH?	396
49	http://www.englishforum.ch/other-general/263045-electric-tootbrushes-advice-needed.html	14	Electric tootbrushes [advice needed]	939
50	http://www.englishforum.ch/other-general/263043-nasty-little-habits-friday.html	86	Nasty little habits for Friday	3,179
