	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Othergeneral	Resources for Expats /Importing Goods /Rubbish/ Waste/Recycling/Consumer Rights	Longbyt	18114	0	Location: ZH	22.01.2011, 19:13	                        	Posts: 7,374	Join Date: Apr 2008	Forum Legend	Groaned at 56 Times in 52 Posts	Thanked 11,137 Times in 4,149 Posts	a reputation beyond repute
1	Othergeneral	Pay customs twice in DE & CH??	makeabigwish	1417	17	Location: Zurich	29.12.2016, 23:24	" 
			
			For future reference....   
Germany Customs Officials have a special phone number in English.    
Tel.: +49 351 44834-530 
E-mail:  
Fax: +49 351 44834-590 
Monday to Friday  
from 08:00 to 17:00   
I called them and they said that since I'm Resident of CH and CH isn't in the EU, I am allowed temporary admissions duty free to travel to CH on everything I bought in the US except consumables such as liquor and cigarettes (although that might make for a great train ride to CH  . I don't have to fill out the paper work and I can just verbally tell them in the green lane that I'm passing through and not resident. Helps to show my train ticket and CH resident permit.    
Here's more info in English on Germany / EU customs.        
The DE customs telephone help agent was quite friendly and helpful. In fact, Thats the most cheerful supportive customs personnel that I've ever come across. I think it'd be great if we were we welcomed back by such cheery agents each time we returned.  Perhaps even banners saying how much the country missed us while we were gone. 😃   
Hope this helps the next person needing this info.    
MakeABigWish
		"	Posts: 310	Join Date: Sep 2007	Senior Member	Groaned at 40 Times in 22 Posts	Thanked 369 Times in 104 Posts	an excellent reputation
2	Othergeneral	Tax on imported pre-owned goods?	highsandlows	185	1	Location: Zurich	Yesterday, 21:50	" 
			
			Yes. As you are importing something.    
Normal import tax of 8% of total shipping value (price of item + cost of delivery) plus a handling fee depending on courier used.  
No duty for sure as long as you import less than 5 watches.
		"	Posts: 119	Join Date: Oct 2015	Member	Groaned at 0 Times in 0 Posts	Thanked 42 Times in 22 Posts	no particular reputation at present
3	Othergeneral	Cleaning a BBQ grill	NickGB	700	23	Location: Zug	06.01.2017, 15:27	" 
			
			""...why would you leave your grill a mess?""   
You certainly shouldn't, you're right. But there's a difference between leaving leftovers/gunk on, and maintaining a fired-on seasoning. Stripping it right back to the grill grate every time and reapplying some oil isn't the way to go. Google it - you'll find that just about every authority on barbecuing,  grilling and cast-iron cooking recommends maintaining a seasoning.   
That said, you should clean the inside casing/periphery of your grill thoroughly - maybe I wasn't as clear as I could have been in my first post.
		"	Posts: 302	Join Date: Apr 2011	Senior Member	Groaned at 4 Times in 2 Posts	Thanked 289 Times in 133 Posts	earned the respect of many
4	Othergeneral	Ship bulky item from CH to EU	gabox01	330	4	Location: Budapest	06.01.2017, 20:59	"    I don't know anyone, that's why I though about a professional service.
		"	Posts: 9	Join Date: Apr 2014	Newbie	Groaned at 2 Times in 1 Post	Thanked 0 Times in 0 Posts	no particular reputation at present
5	Othergeneral	music practice rooms	sindyburnburn	1072	8	Location: Lausanne	08.05.2016, 22:54	" 
			
			We have a music practice room for for rent avail in Zürich ( Bucheggplatz). PM for details!
		"	Posts: 12	Join Date: Aug 2013	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 1 Time in 1 Post	no particular reputation at present
6	Othergeneral	Arts and Crafts Store	Stephari	5872	17	Location: Fribourg	11.03.2013, 17:25	"    Mea culpa. I should have read more carefully. (had the impression it was a similar question to the one in OP)   
Edit: but still, maybe she can sell them in a flea market? I think there might be alternatives..
		"	Posts: 82	Join Date: Mar 2013	Junior Member	Groaned at 0 Times in 0 Posts	Thanked 13 Times in 9 Posts	no particular reputation at present
7	Othergeneral	Recycling large cardboard boxes	ptollan	895	7	Location: Bern	14.12.2016, 10:47	"    It does? Wow.
		"	Posts: 10	Join Date: Jul 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 2 Times in 1 Post	no particular reputation at present
8	Othergeneral	Christmas Tree Disposal Zug	ubya308	472	4	Location: Zurich	05.01.2017, 11:42	" 
			
			Also to note, every building and housing area can different.     
For example my last apartment did not have a designated communal disposal area.  We just had to bring down our waste on the morning of the pick up and set it by the road.   
My apartment now has a designated communal disposal area with green bins, trash bins, and recycling.   
If you are unsure how it works in your building, ask a neighbor, your Hauswart, or call your landlord.
		"	Posts: 5	Join Date: Mar 2013	Newbie	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
9	Othergeneral	Legal advice for buying 2nd hand furniture	pawanjee	3991	78	Location: zurich -kloten	30.11.2016, 21:50	" 
			
			Dumping happens alot in Switzerland.Is he Swiss? Tell him you will call the police about the dumping.    "	Posts: 15	Join Date: Apr 2007	Newbie 1st class	Groaned at 8 Times in 5 Posts	Thanked 7 Times in 4 Posts	become a little unpopular
