	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Pet corner	The Vet Thread (Recommendations)	guest	50,536	99	null	1.1.0001, 00:00	" 
			
			for vevey, i went to a vet in tour de peilz...     
dr. olivier rey 
grand rue 2 
tour de peilz 1814   
021 971 1515
		"		 Jun 0001		[]	[]	
1	Pet corner	The Pet Boarding Thread - Recommendations and Advice. NO ADS IN HERE	edot	59,205	111	Winterthur	07.09.2010, 11:48	"     
Great rates especially for long stays. Two (or three?) brothers run the business. A little slow on getting back to you, but they always pick her up on time. They are in the Zurich/Uster area andspeak great English! 
The only downside... my dog smells like cigarette smoke when she comes home.    
Ben and Marek Bagsik:   info@critters.ch  "	4889	 Sep 2007	6.0	['21', '20']	['6', '261', '2', '830']	6
2	Pet corner	Dogs: Federal SKN and Cantonal Obligatory Course and Trainer Recommendation Thread	meloncollie	3,998	3	SZ	05.04.2016, 12:58	"         
Our user Meloncollie and others regularly and readily post very helpful info on pet care and especially the SKN course on the EF, and I'm certain they will help you if the need should arise.  
To help us keep the number of new threads and posts regarding the SKN issue low,    
Thank you.   
----------------------------------------------       
Please refer new pet owners with SKN queries and general questions regarding dog courses to this thread as a first step, so that they can read up on the requirements and see if they have questions which haven't yet been covered in this helpful thread.    
Thank you for your help.
		"	7687	 Sep 2006	6.0	['18', '17']	['16', '111', '5', '288']	6
3	Pet corner	Important Info for Dog Owners: Change to Obligatory Registration Procedures	meloncollie	7,684	35	SZ	13.01.2016, 17:50	"    You are being asked for a vaccination schedule? Interesting...   
FYI, it is not a federal requirement that a dog   be vaccinated against rabies, only that a dog entering (or re-entering) Switzerland has a valid vaccination, checkable at the border.   
I have had to let Hooligan's  and the Belltie's vacs lapse due to contraindicated illnesses. They obviously cannot cross most borders (one of the reason I am still here    ) or re-enter Switzerland once having left (which is why I haven't been on holiday in years), but are perfectly legal to stay as is throughout Switzerland. See:    )   
Of course private parties such as training schools, shelters or kennels, sports clubs may require vaccination for many different diseases (rabies, KC, etc.) in order for one to participate.     
Hopping on my soap box:   
Federal requirement notwithstanding, healthy dogs should be vaccinated against all diseases that you and your veterinarian deem appropriate. And as the owner of compromised dogs who can no longer be vaccinated, I am grateful to all of you who do vaccinate, promoting herd immunity.
		"	7687	 Sep 2006	6.0	['18', '17']	['16', '111', '5', '288']	6
4	Pet corner	How to spot a reputable breeder	guest	18,768	21	null	1.1.0001, 00:00	"     
ALL good points!! And no... It's not just you   "		 Jun 0001		[]	[]	
5	Pet corner	Requirements For Dog Care Providers	meloncollie	18,706	22	SZ	27.10.2012, 17:11	" 
			
			Many thanks! As always a very comprehensive and useful reply    "	7687	 Sep 2006	6.0	['18', '17']	['16', '111', '5', '288']	6
6	Pet corner	Tips on How To Report a Lost or Found Pet	Mrs. Doolittle	24,157	42	AG	17.06.2008, 08:05	" 
			
			Let's hope this information will be helpful- Lulu ran away this morning (not from my house).   
If anyone sees a shorthaired Chihuahua, sable with  white chest and front paws in the Gattikon/Thalwill area let me know.    
Thank you.
		"	5437	 May 2007	6.0	['149', '107']	['6', '167', '2', '917']	6
7	Pet corner	The Pet Sitting Network - Pet Details / Questions / Comments	Longbyt	16,395	0	ZH	17.02.2011, 17:31	    (Cats, dogs)  Please give details of your pet, your environment and any special information about animals you could take care of. Please write the post in a similar form to the other posts.      - Please give details of your pet, your environment and any special information about animals you could take care of. Please write the post in a similar form to the other posts.       	7375	 Apr 2008	6.0	['56', '52']	['11', '142', '4', '150']	6
8	Pet corner	Flying with cats to US?	erin	318	7	Bern	08.01.2017, 23:41	" 
			
			This post has made me think for a while. I am a total cat lover, but truly I cannot imagine a cat on a flight for 8 hrs (East Coast) or 12 or more... in a soft carrier on a plane. Not for the cat- and certainly not for other passengers either... I know mine would scream blue murder all the way- and the thought of an animla not being able to pee, poop or eat for such a long time is just a total NO.   
When we moved here from UK,  12 hours by car- we bought a very large wire dog crate, so our cat had a litter tray and water- and we stopped regularly to open boot (trunk) for fresh air- and stopped overnight in a Hôtel that allowed us to have our cat and dog with. I would personally much prefer my cat to travel in pressurised hold in a large crate where it can move around and have access to above. All airlines specify that animals must NOT be sedated as it is just too dangerous.   
And I wouldn't want to impose a howling cat on others, especially long haul- what about people who are highly allergic to cats?
		"	58	 Dec 2007	2.0	['0', '0']	['14', '10']	0
9	Pet corner	2016 Average (Private) Pet Care Cost Thread - your input needed!	meloncollie	1,671	30	SZ	06.11.2016, 16:39	"    Have you considered a kennel? Not all kennels are the same. A young dog might really enjoy a weekend with some canine friends.
		"	7687	 Sep 2006	6.0	['18', '17']	['16', '111', '5', '288']	6
