	hrefs	replies	threads	views
0	http://www.englishforum.ch/sports-fitness-beauty-wellness/170014-pure-beauty-spa-seefeld-s-hottest-new-beauty-salon.html	33	Pure Beauty Spa - Seefeld's hottest new beauty salon.	21,597
1	http://www.englishforum.ch/sports-fitness-beauty-wellness/260488-epic-ski-private-snowsports-school-lenzerheide.html	4	Epic Ski - Private Snowsports School Lenzerheide	941
2	http://www.englishforum.ch/sports-fitness-beauty-wellness/260829-myclubs-one-membership-unlimited-sports-zh-bs-vd-ge.html	4	myclubs - One Membership. Unlimited Sports in ZH, BS, BE, VD and GE.	849
3	http://www.englishforum.ch/sports-fitness-beauty-wellness/103916-cycling-mtb-threads.html	0	Cycling and MTB Threads	15,567
4	http://www.englishforum.ch/sports-fitness-beauty-wellness/103915-winter-sports.html	0	Winter Sports	13,418
5	http://www.englishforum.ch/sports-fitness-beauty-wellness/103913-tennis-hiking-swimming-switzerland.html	0	Tennis / Hiking / Swimming in Switzerland	14,223
6	http://www.englishforum.ch/sports-fitness-beauty-wellness/264185-frontennis-basque-pelota-basel.html	0	Frontennis or Basque pelota in Basel	104
7	http://www.englishforum.ch/sports-fitness-beauty-wellness/208852-looking-climbing-partner-zurich.html	11	Looking for a climbing partner in Zurich	2,556
8	http://www.englishforum.ch/sports-fitness-beauty-wellness/264090-qoqa-offer-snow-republic.html	2	QoQa offer - Snow Republic	205
9	http://www.englishforum.ch/sports-fitness-beauty-wellness/138520-cricket-zug-switzerland.html	17	Cricket In Zug / Switzerland	2,701
10	http://www.englishforum.ch/sports-fitness-beauty-wellness/263972-massage-discount-vouchers-give-away.html	1	Massage Discount-Vouchers give-away	186
11	http://www.englishforum.ch/sports-fitness-beauty-wellness/9793-cycling-switzerland.html	300	Cycling in Switzerland	118,508
12	http://www.englishforum.ch/sports-fitness-beauty-wellness/263093-i-bought-saas-fee-wintercard-i-have-question.html	10	I bought the Saas-Fee WinterCard and I have a question	754
13	http://www.englishforum.ch/sports-fitness-beauty-wellness/247013-indigo-fitness-zug.html	11	Indigo Fitness Zug	1,957
14	http://www.englishforum.ch/sports-fitness-beauty-wellness/263959-swimming-kids-english-riehen.html	0	Swimming for kids in English - Riehen	112
15	http://www.englishforum.ch/sports-fitness-beauty-wellness/263956-yoga-pre-natal-english-around-basel-riehen.html	0	yoga pre-natal in English around Basel-Riehen	94
16	http://www.englishforum.ch/sports-fitness-beauty-wellness/184109-movement-space-yoga-dance-etc-available-rent-z-rich.html	1	Movement space (Yoga, dance etc) available for rent in Zürich	1,080
17	http://www.englishforum.ch/sports-fitness-beauty-wellness/263608-shooting-range-near-basel.html	4	Shooting range in or near Basel	362
18	http://www.englishforum.ch/sports-fitness-beauty-wellness/254524-hiking-partners-clubs-around-basel.html	1	Hiking partners/clubs in and around Basel	687
19	http://www.englishforum.ch/sports-fitness-beauty-wellness/263886-zug-gyms-special-offers.html	3	Zug Gyms - special offers?	181
20	http://www.englishforum.ch/sports-fitness-beauty-wellness/263804-zug-squash-partner.html	1	Zug Squash Partner	208
21	http://www.englishforum.ch/sports-fitness-beauty-wellness/112324-looking-hiking-mountaineering-partners-around-basel.html	16	Looking for hiking / mountaineering partners around Basel	2,693
22	http://www.englishforum.ch/sports-fitness-beauty-wellness/227153-ski-resorts-near-zug.html	19	Ski resorts near Zug	3,273
23	http://www.englishforum.ch/sports-fitness-beauty-wellness/254047-football-zug.html	11	Football in Zug	1,671
24	http://www.englishforum.ch/sports-fitness-beauty-wellness/263716-ski-lessons-beginners.html	1	Ski lessons for beginners	261
25	http://www.englishforum.ch/sports-fitness-beauty-wellness/241955-girls-hockey-geneva.html	7	Girls Hockey in Geneva	1,286
26	http://www.englishforum.ch/sports-fitness-beauty-wellness/263649-running-exercise-up-uetliberg.html	1	Running/exercise up the Uetliberg	254
27	http://www.englishforum.ch/sports-fitness-beauty-wellness/263565-archer-looking-space-practice.html	15	an archer looking for a space to practice	506
28	http://www.englishforum.ch/sports-fitness-beauty-wellness/263605-soccer-tennis-zug-region.html	0	Soccer/Tennis in Zug Region	209
29	http://www.englishforum.ch/sports-fitness-beauty-wellness/263425-personal-trainer-undisciplined.html	16	personal trainer for the undisciplined	692
30	http://www.englishforum.ch/sports-fitness-beauty-wellness/263208-recommendations-fitness-classes.html	6	Recommendations for Fitness Classes	445
31	http://www.englishforum.ch/sports-fitness-beauty-wellness/17275-spinning-shoes.html	4	Spinning Shoes	1,458
32	http://www.englishforum.ch/sports-fitness-beauty-wellness/236390-les-mills-spinning-vaud-area.html	4	Les Mills Spinning in Vaud area?	1,176
33	http://www.englishforum.ch/sports-fitness-beauty-wellness/263410-looking-into-crossfit-your-experience.html	7	Looking into crossfit -- your experience with it?	508
34	http://www.englishforum.ch/sports-fitness-beauty-wellness/263520-climbing-bern-obloc.html	1	Climbing in Bern- Obloc?	215
35	http://www.englishforum.ch/sports-fitness-beauty-wellness/263214-looking-suggestions-trekking-alpine-shoes.html	2	Looking for suggestions for trekking/alpine shoes	371
36	http://www.englishforum.ch/sports-fitness-beauty-wellness/263413-store-selling-exercise-bikes-zurich.html	0	Store selling exercise bikes in Zurich?	248
