	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Swiss politicsnews	Masseneinwanderung [Immigration] vote - Facts	guest	15,578	4	null	1.1.0001, 00:00	" 
			
			The link to information in English in the post above has been updated. Thanks to member Bozza who pointed out the link was dead, and provided a new one.  "		 Jun 0001		[]	[]	
1	Swiss politicsnews	Not allowed entry without a resident's permit?	Penelopy	3,970	165	Oberwallis	06.01.2017, 21:08	" 
			
			36 years of living in Switzerland and France... often flying in and out of Geneva, I've never EVER been asked to produce my resident permit.   
It's only since moving our principle residence to France that I've started to carry my passport about with me as I cross the border regularly (I gave no other form of id), but haven't been asked to show it at the border since Schengen came into force.  
As far as I recall apart from at the airport the only other time I've been asked to show it has been once or twice at the bank when withdrawing money at the counter.   
As aSwissInTheUS rightly says, you do not have to carry it, but must be able to produce it within a reasonable delay.
		"	95	 Apr 2010	2.0	['2', '2']	['19', '11']	0
2	Swiss politicsnews	annoying-anti-cow-bell-campaigner-denied-swiss-passport	Phil_MCR	732	30	Basel	18.1.2017, 18:58	" 
			
			I like cow bells. To me this is akin to the burka.
		"	11544	 Oct 2009	6.0	['246', '157']	['13', '447', '5', '719']	6
3	Swiss politicsnews	KFC in Switzerland?	devcat	89,852	343	Zurigo - Seebach	02.05.2006, 18:12	"    I used to frequent Nados on Clapham High Street at least once a week .... Piri Piri chicken ....    
Nandos in South London do things hotter, as that it suits the taste buds of West Indian palates. (non-racist comment btw)
		"	27	 Mar 2006	1.0	['0', '0']	['0', '0']	0
4	Swiss politicsnews	New PC Game	nan	506	7	Zürich	06.01.2017, 09:30	" 
			
			actually I forgot I had already posted    "	3751	 Oct 2007	6.0	['385', '202']	['1', '179', '757']	m
5	Swiss politicsnews	Dead tourist wanted for child porn.	st2lemans	686	5	Lugano	04.01.2017, 20:10	" 
			
			Shame it wasn't Trump (in this particular case, at least - seems to be one that he dodged)
		"	18510	 Dec 2010	6.0	['943', '736']	['20', '349', '9', '751']	6
6	Swiss politicsnews	Should Islam become a recognized church of the State in Switzerland?	olygirl	16,287	329	d' Innerschwiiz	12.01.2015, 11:17	"    It's not promotion of atheism, it's recognition that people's religious and spiritual beliefs are very diverse and their attachment to said beliefs can evoke great emotion which can result in something all religions claim to despise i.e murder.   
Therefore the concept of religion should be a private affair, after all it should only concern the individual who practices it or discovers it for themselves. It should not be forced on people in any capacity, be it through architecture, exclusive clothing, crusades, barbarity etc.   
Edit: addressing atheism ideology point, yes, the same applies.   The promotion of atheism is the direct result of the intrusion of religion and thus if religion becomes less intrusive atheism does not rear it's head to combat it.
		"	5073	 Oct 2007	6.0	['225', '148']	['10', '894', '3', '332']	6
7	Swiss politicsnews	KFC to re-enter Swiss market!	devcat	-	-	Zurigo - Seebach	02.05.2006, 18:12	"    I used to frequent Nados on Clapham High Street at least once a week .... Piri Piri chicken ....    
Nandos in South London do things hotter, as that it suits the taste buds of West Indian palates. (non-racist comment btw)
		"	27	 Mar 2006	1.0	['0', '0']	['0', '0']	0
8	Swiss politicsnews	Amazing new PC Game	nan	691	0	Zürich	02.01.2017, 17:17	" 
			
			Its called Game of Bundesthrones
		"	3751	 Oct 2007	6.0	['385', '202']	['1', '179', '757']	m
9	Swiss politicsnews	How Switzerland made the headlines during 2016	ZuriRollt	907	0	Zürich	31.12.2016, 22:04	" 
			
			it's worth clicking on the link):      "	1921	 Aug 2015	5.0	['41', '31']	['2', '310', '1', '007']	6
10	Swiss politicsnews	SVP member of parliament caught driving with a blood alcohol level of 1.92	Treverus	3,692	77	SZ	23.12.2016, 15:25	"    The Swiss are about 30 years behind the UK in this regard. 
Same as their selfish attitude to smoking.
		"	9389	 Dec 2007	6.0	['219', '182']	['16', '764', '6', '116']	6
11	Swiss politicsnews	Repercussions of [immigration limits] Vote Already Starting...	mattfz	93,201	1,580	United States	17.02.2014, 23:21	" 
			
			GB £ is up on the Swiss franc over the last year; makes my pension look healthier in CHF. 
If the Swiss economy does suffer then should be even better for the GB £?
		"	29	 Dec 2013	1.0	['0', '0']	['11', '5']	0
12	Swiss politicsnews	Financial Crisis Bank News [was: How Safe is UBS?]	delite1	228,928	2,612	Oxford,England	19.08.2008, 15:58	"    Give him a break...c'mon.... 
The stock is almost back up @ 25.-      
Paul
		"	2	 Aug 2008	0.0	['0', '0']	['0', '0']	0
13	Swiss politicsnews	Crime rate among young immigrants drops 50% within five years.	Treverus	4,000	53	SZ	16.12.2016, 16:34	" 
			
			An interesting article here in German      "	9389	 Dec 2007	6.0	['219', '182']	['16', '764', '6', '116']	6
14	Swiss politicsnews	UBS IT Outsourcing	Dack Rambo	13,844	114	Switzerland	03.02.2013, 15:00	      ...and still the guy got hired. Tell me again, whose fault was that. The guy who got hired or the one who was hiring   	2444	 Mar 2010	5.0	['178', '105']	['1', '560', '768']	3
15	Swiss politicsnews	Will the Swiss franc ever weaken?	Xenophanes	2,062	20	London	06.11.2016, 22:02	" 
			
			Yes, No, Maybe *   
* you can chose
		"	49	 Oct 2016	2.0	['2', '2']	['55', '23']	4
16	Swiss politicsnews	Swiss Lotto Record Jackpot!!! Gotta Be In It To Win It!!!	The_Love_Doctor	4,394	153	Zugerberg, Zug	12.12.2016, 12:44	"    In that case, I suggest that you definitely consult with a shyster lawyer, as Euro Millions is a European entity.
		"	2849	 Aug 2009	6.0	['69', '53']	['3', '132', '1', '495']	6
17	Swiss politicsnews	Swissport sold to Chinese	marton	3,534	23	Zürich	30.07.2015, 14:51	"     
Yes, and China is taking the rest of the world down with them
		"	7567	 May 2008	6.0	['170', '145']	['8', '755', '4', '797']	6
18	Swiss politicsnews	Swiss Sign language	MrVertigo	2,030	5	CH	15.12.2016, 15:28	    	3122	 Feb 2010	6.0	['80', '68']	['5', '477', '2', '138']	6
19	Swiss politicsnews	Swiss journalist gets Switzerlanded	Loz1983	1,617	18	Zürich	07.12.2016, 12:34	"    My take too. Also it happened when he moved, so why the mistake happened was kind of obvious. Yes, it shouldn't happen but it's still less grave than Polish people receiving ballots to vote (against I suppose ) Brexit.   
I missread the story first and thought it was about electronic voting via internet. Should I ever be forced to do that I will press the button twice as well and should it work I'll make a big fuss about it without being a journalist.   
His story was lame, only pepped up by him being prosecuted. Did it happen during the ""Sommerloch"" (silly season)?
		"	1091	 Mar 2008	5.0	['300', '177']	['5', '424', '1', '946']	6
20	Swiss politicsnews	Small Plane Crashed at Basel Airport - air traffic halted until further notice	lost_inbroad	938	1	Town or region	07.12.2016, 21:35	" 
			
			Update: One confirmed casualty - air traffic is still on hold
		"	10213	 Dec 2009	8.0	['571', '369']	['13', '064', '5', '206']	6
21	Swiss politicsnews	For Friday: be careful if you have a dog in geneva	k_and_e	1,851	21	Zurich	02.12.2016, 09:49	" 
			
			I love the top comment on that story. SHould fine spitters too. In fact since spitters can read and know it's wrong, should fine them double.   
My dog can wee on command but alas I can't stop her from weeing where she's not supposed to. I think it would be the top 1% of dogs/owners who can master that so the fine is a complete joke.   
Fun fact: Dog tax is higher than person tax. That's right.. I pay about 200 tax for the dog but when my soon-to-be-exwife wasn't earning anything, the tax for her existence was a mere 24 franks.
		"	4737	 Jun 2008	6.0	['156', '122']	['9', '802', '3', '293']	6
22	Swiss politicsnews	SNB Pegs CHF to the EUR!!! [and the aftermath of the removal of the cap]	Zuger	122,752	1,357	ZH: The New Jersey Of Schweiz	06.09.2011, 11:10	" 
			
			I can't wait to see Wollishofners take on this    
Edit: This is my 1000th post lol
		"	1158	 Apr 2008	5.0	['91', '53']	['1', '227', '541']	6
23	Swiss politicsnews	Friday Thread: SVP campaign against individual immigrant in Canton LU...	guest	1,840	11	null	1.1.0001, 00:00	"    The truth can be, ""particularly where such statements refer to a person's private or family life."" You aren't even allowed to proof wether or not you are talking the truth in that case...    "		 Jun 0001		[]	[]	
24	Swiss politicsnews	Why so very late? [Women's right to vote in Switzerland]	Ghiblic	5,976	118	Sweden	23.11.2016, 20:54	" 
			
			Human history is thousands of years old (unless you are a creationist), what's 50 years in such a period?    
Meanwhile, Switezrland has had four female presidents, the first Jewish as well.    
The US, on the other hand...    
Tom
		"	1	 Nov 2016	0.0	['1', '1']	['0', '0']	-2
25	Swiss politicsnews	Swiss Border Controls	Ttt	18,802	186	Zurich	23.10.2014, 15:57	" 
			
			OP- so...you got caught without a ticket and you don't want to pay the fine or what? If someone threatened you then you have to make a complaint and prove it.... As you seem to accentuate the threat issue. Just pay the fine!
		"	13	 Jul 2014	1.0	['19', '3']	['2', '2']	-3
26	Swiss politicsnews	Covidien takeover by J&J?  - Or will a Chinese company come out of the shadows?	megafine	1,561	0	Zürich	26.11.2016, 17:53	" 
			
			J&J have confirmed Covidien are ""up for grabs.""    
In the dog eat dog world of Swiss business and following on from many takeovers by Chinese companies, could Covidien be next?   
Not long ago China National Chemical got Syngenta for $43 Billion, the largest foreign acquisition by a Chinese company.    
Could be an interesting race to the finish.
		"	15	 Jun 2015	1.0	['0', '0']	['9', '4']	0
27	Swiss politicsnews	Poll: How many sexual partners have you had?	Assassin	8,560	187	Chasing clouds	21.11.2016, 13:10	"     . Assassin set it up so that you, and only you, can see how other people responded... but you can't see that until you've participated.   
(participated... I mean in the poll)
		"	4037	 Mar 2010	6.0	['180', '123']	['11', '518', '3', '140']	6
28	Swiss politicsnews	Credit Suisse - Switzerland Only - Foreigners told to go to international?	megafine	2,081	2	Zürich	21.11.2016, 11:45	" 
			
			Swissinfo.ch has posted the FT article:      "	15	 Jun 2015	1.0	['0', '0']	['9', '4']	0
29	Swiss politicsnews	Man in Effretikon arrested for attempted abduction of an 11 year old girl?	wizwozz	1,372	8	zurich	14.11.2016, 22:02	"       
Yes, an Australian mother, in Australia? Has nothing to do with anything at all in Switzerland...   "	97	 Sep 2014	2.0	['2', '2']	['66', '28']	2
30	Swiss politicsnews	Yet more sub-prime UBS woes another $10bn writedown....	Gav	17,941	230	Ireland	10.12.2007, 13:07	    Well they only have 40 billion more in CDO's...   	970	 May 2005	5.0	['15', '11']	['468', '187']	6
31	Swiss politicsnews	Happy Carnevale!	st2lemans	992	22	Lugano	11.11.2016, 11:00	"    That's totally new to me... in Italy Carnevale is the period between Epiphany (Jan 6th) and the fourty days preceding Easter.   
Now I learn that in Germany there is Carnival in November!...   
I don't see any costumes here in Zurich, and Bellinzona's Carnival is in February, so I suppose Switzerland follows the regular calendar for it...
		"	18510	 Dec 2010	6.0	['943', '736']	['20', '349', '9', '751']	6
32	Swiss politicsnews	20 Minuten - English needed to reserve tables in Zurich restaurants	Mullhollander	1,708	15	Aargau	07.11.2016, 21:37	" 
			
			I agree that craft brewing has really taken off here (more so at the moment than Germany but that is rapidly catching up), the problem is the native German speakers who who are really into craft just don't want, or need, to work in a bar. We're always looking, so if you know someone please send them our way!      "	1590	 Dec 2012	5.0	['12', '11']	['1', '852', '900']	6
