	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	TVinternettelephone	Do I have to get a TV licence from Billag?	fundoovish	292,818	1,543	Location: Zurich	13.08.2006, 13:38	"    It's remarkable how many people behave this way: imagine being so concerned about not paying a TV/Radio licence bill that you don't open the door unless you know who it is! I find that really weird, yet this isn't the first time I've heard this. Wow.   
Maybe I'm just too friendly and pay the bills   at least I don't live in fear of Billag Man... I actually enjoy watching the TV, and although I admit it IS expensive, other taxes seem quite reasonable compared to neighbouring countries. Swings...roundabouts...   
(Although I have nothing but contempt for Billags customer service and the obstacles they place to prevent you from righting their wrongs. It's often easier to pay the bloody bills than contest unfair billings. Swine!)
		"	Posts: 18	Join Date: Aug 2006	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 0 Times in 0 Posts	no particular reputation at present
1	TVinternettelephone	Internet issues / choices in Switzerland / ADSL vs cable	guest	152,376	484	null	null	" 
			
			Guys, I might go Cablecom soon. If you want me to refer to you, send me the details I need to fill in.
		"	null	null	null	null	null	null
2	TVinternettelephone	Guide to Television Reception in Switzerland	guest	42,957	1	null	null	"   Options for watching television in Switzerland   
There are many ways one can receive television programs in Switzerland. Many of the subscription services in Switzerland offer a reasonable range of English-language programming. You can find out the channels offered, availability and pricing information for each of the above services on their official websites.       
All persons capable of receiving television and radio signal in Switzerland are obligated to pay licensing fees to Billag. Yes,   even if you don't watch Swiss TV, and there's not a whole lot you can do about it. It's the law, and you will be served a hefty fine if you don't pay up.       Satellite television reception in Switzerland   
Satellite television is enormously popular with many foreigners living in Switzerland. It is possible to receive these channels for free through Sky or Freesat. The following threads in Englishforum cover most of the details concerning installation* of a satellite dish in Switzerland and what channels you can receive. Sky TV Facts: 
*A few notes about installing satellite dishes in Switzerland: 
Some landlords are against the installation of satellite dishes on their property. There is a federal law that explicitly states that you have the right to receive foreign language television programs (including those broadcast by satellite), but many landlords prohibit the installation of dishes because they destroy the property. 
If you are refused permission to mount a dish on your building, there are a few options.    The above solutions won't prevent the neighbours from complaining that your dish is ugly, but they do save you from getting in trouble over damaging the building.       Importing foreign televisions to Switzerland  
In short: Frequently asked questions about watching foreign programs in Switzerland: There is more information about television reception in Switzerland on  .
		"	null	null	null	null	null	null
3	TVinternettelephone	Can i connect swisscom TV box to Apple repeater	rahulm	149	4	Location: Richterswil	08.01.2017, 15:12	" 
			
			maybe this    "	Posts: 15	Join Date: Apr 2016	Newbie 1st class	Groaned at 0 Times in 0 Posts	Thanked 1 Time in 1 Post	no particular reputation at present
4	TVinternettelephone	Amazon Echo / Alexa	StirB	8,284	154	Location: Zurich	20.09.2016, 14:27	" 
			
			@Macer that's good news - I have the logitech hub as well.    
On a sidenote: the UK version of the Echo doesn't work with IFTTT at this time. I was able to connect the channel on IFTTT without a problem, but it won't execute any commands. IFTTT says that the European versions will be supported at a later date. That somewhat blows :-/   
Oh, and ""one more thing"": the Echo app is only available in the UK and US app stores (both on Android and iOS), so you'll need an account from on of those stores to set up the Echo. It can also be set up through a website / in your browser, though.   
Also, any existing US Echos will be switched to the European software automatically - which means those with US Alexas lose their IFTTT integration as well. Not sure if that'll also happen if the device is in Switzerland, rather than the UK or Germany.
		"	Posts: 1,870	Join Date: Apr 2007	Forum Veteran	Groaned at 46 Times in 39 Posts	Thanked 2,250 Times in 949 Posts	a reputation beyond repute
5	TVinternettelephone	Microspot CHF15 off	we_da_man	70,381	89	Location: Zurich	04.07.2014, 14:13	"    That said, I'm shopping for a monitor and that could come in handy if I get a dead pixel, which is not reason enough for an exchange.         Thanks! Now I must find something at 30 francs or so to have CHF250 in the cart...
		"	Posts: 528	Join Date: Mar 2011	Forum Veteran	Groaned at 0 Times in 0 Posts	Thanked 248 Times in 155 Posts	earned some respect
6	TVinternettelephone	"Yet another ""best laptop"" thread"	guest	1,205	36	null	null	" 
			
			Ok, so the consensus seems to be leaning towards the MacBook Air, given our budget. Thanks all for the input.
		"	null	null	null	null	null	null
7	TVinternettelephone	Dual OS Tablet	swissnyc	175	3	Location: zurich	07.01.2017, 16:34	" 
			
			Some of them look decent:        "	Posts: 281	Join Date: Oct 2009	Senior Member	Groaned at 0 Times in 0 Posts	Thanked 128 Times in 80 Posts	considered knowledgeable
8	TVinternettelephone	Getting my internet home organised	Bazsc	201	1	Location: Vaud	07.01.2017, 13:50	" 
			
			call in an expert. And you can get rid of the Dot. Get a girlfriend or if you have one call her Alexa and she can be your command module.
		"	Posts: 109	Join Date: Dec 2016	Banned	Groaned at 16 Times in 10 Posts	Thanked 55 Times in 30 Posts	earned some respect
9	TVinternettelephone	Swiss International SIM	guest	1,810	12	null	null	" 
			
			It's a pain in India to get one with bureaucracy and lots of scammers around. I also arrive at the airport at 2 in the night and not sure if anything is going to be open.   
I got the Swiss mobile SIM, it's a bit expensive but a lot cheaper than others. I'll just manage data carefully.
		"	null	null	null	null	null	null
10	TVinternettelephone	"""Dinner for One"" TV show, endlessly repeated"	Sbrinz	3,419	28	Location: Murten - Morat	25.12.2012, 10:27	"     . Have a look - you might even enjoy it. It's a delightful bit of whimsy.
		"	Posts: 11,006	Join Date: Oct 2011	Forum Legend	Groaned at 544 Times in 344 Posts	Thanked 10,604 Times in 5,427 Posts	a reputation beyond repute
