	hrefs	replies	threads	views
0	http://www.englishforum.ch/transportation-driving/168305-serious-speeding-law-fines.html	559	Serious Speeding - the law, the fines.	132,515
1	http://www.englishforum.ch/transportation-driving/180055-car-engine-cleaning-pre-mfk-test.html	91	Car and engine cleaning pre mfk test	36,862
2	http://www.englishforum.ch/transportation-driving/150141-how-privately-import-car-eu-ch.html	201	How to PRIVATELY import a car EU to CH	77,741
3	http://www.englishforum.ch/transportation-driving/80251-traffic-offences-q-bullet-points.html	73	Traffic Offences - Q & A Bullet points	51,961
4	http://www.englishforum.ch/transportation-driving/5770-drivers-licence-conversion-questions.html	1,378	[Drivers licence] Conversion and questions	307,745
5	http://www.englishforum.ch/transportation-driving/94127-swiss-public-transport-system.html	108	The Swiss Public Transport System	68,177
6	http://www.englishforum.ch/transportation-driving/93538-blocking-personal-information-eautoindex.html	38	Blocking personal information from eAutoIndex	26,781
7	http://www.englishforum.ch/transportation-driving/117962-vehicle-import-duties.html	1	Vehicle Import Duties	17,240
8	http://www.englishforum.ch/transportation-driving/140850-alcohol-test-kit-required-driving-france-1st-july-2012-a.html	147	Alcohol test kit required for driving in France - From 1st July 2012	69,575
9	http://www.englishforum.ch/transportation-driving/264261-can-75-hp-1-2-tdi-car-take-moutain-route.html	10	Can 75 hp 1.2 TDI car take a moutain route ?	479
10	http://www.englishforum.ch/transportation-driving/49844-buying-tires.html	26	buying tires	12,318
11	http://www.englishforum.ch/transportation-driving/264119-easy-jet-prices.html	53	Easy Jet prices	1,874
12	http://www.englishforum.ch/transportation-driving/260672-zsg-surcharge-11-december-2016-a.html	12	ZSG surcharge from 11 December 2016	1,073
13	http://www.englishforum.ch/transportation-driving/263908-possible-48-hour-strike-action-uk-airports-23rd-december-2016-warned.html	62	Possible 48 hour strike action at UK airports 23rd December 2016 - be warned	2,455
14	http://www.englishforum.ch/transportation-driving/264146-zvv-zones-calculation-z-rich-pf-ffikon-netzpass-110-anschlussbilett.html	4	ZVV zones calculation (Zürich <-> Pfäffikon), with Netzpass 110 and Anschlussbilett	561
15	http://www.englishforum.ch/transportation-driving/248919-traffic-fine-need-help-letter-translation.html	25	Traffic fine: Need help with letter translation	1,819
16	http://www.englishforum.ch/transportation-driving/264088-new-licence-scratch.html	12	New Licence from scratch	778
17	http://www.englishforum.ch/transportation-driving/180750-look-accompany-person-learner-driver.html	5	look for accompany person for a learner driver	823
18	http://www.englishforum.ch/transportation-driving/264068-certificate-entitlement-bs-motorfahrzeugkontrolle.html	4	Certificate of Entitlement from BS Motorfahrzeugkontrolle	665
19	http://www.englishforum.ch/transportation-driving/264054-prices-transportantion.html	3	Prices Transportantion	694
20	http://www.englishforum.ch/transportation-driving/264013-documents-needed-police-spot-check.html	13	Documents needed for police spot-check	1,081
21	http://www.englishforum.ch/transportation-driving/261334-anyone-tried-new-sbb-app.html	106	Anyone tried the new SBB app?	4,649
22	http://www.englishforum.ch/transportation-driving/230086-recommended-cars-sale.html	165	Recommended cars for sale	19,152
23	http://www.englishforum.ch/transportation-driving/263952-exchanging-uk-swiss-license-after-8-years.html	29	Exchanging UK to Swiss license after 8 years	1,458
24	http://www.englishforum.ch/transportation-driving/170-testing-car-mfk.html	138	Testing a Car (MFK)	32,826
25	http://www.englishforum.ch/transportation-driving/263892-cars-ch-automatic-transmission.html	75	Cars in CH: Automatic transmission	2,499
26	http://www.englishforum.ch/transportation-driving/263089-randomdly-flashed-speed-camera.html	44	Randomdly flashed [speed camera]	3,070
27	http://www.englishforum.ch/transportation-driving/263877-company-car.html	9	Company Car	1,240
28	http://www.englishforum.ch/transportation-driving/263800-cost-owning-vehicle.html	32	Cost of owning a vehicle	1,987
29	http://www.englishforum.ch/transportation-driving/263834-driving-car-foreign-plates-but-what-if.html	8	Driving a car with foreign plates, but what if...	1,408
30	http://www.englishforum.ch/transportation-driving/153696-overpriced-car-parts-repairs.html	55	Overpriced Car Parts & repairs	5,688
31	http://www.englishforum.ch/transportation-driving/263270-2017-discounted-vignettes.html	22	2017 Discounted Vignettes	1,682
32	http://www.englishforum.ch/transportation-driving/252178-english-driving-instructor.html	6	English driving instructor	1,054
33	http://www.englishforum.ch/transportation-driving/259477-buying-used-car.html	9	Buying a used car	809
34	http://www.englishforum.ch/transportation-driving/263291-need-opinion-second-hand-car.html	24	Need an opinion on second hand car	1,236
35	http://www.englishforum.ch/transportation-driving/229539-uber-zurich.html	57	UBER in Zurich	18,243
36	http://www.englishforum.ch/transportation-driving/254905-mobility-insurance-when-driving-eu.html	9	Mobility Insurance when driving in EU	1,028
37	http://www.englishforum.ch/transportation-driving/87270-parking-st-gallen.html	4	Parking in St. Gallen	4,658
38	http://www.englishforum.ch/transportation-driving/263516-when-do-they-start-salt-roads.html	38	When do they start to salt the roads	1,153
39	http://www.englishforum.ch/transportation-driving/263545-license-plate-data-service.html	19	License plate data service	1,859
40	http://www.englishforum.ch/transportation-driving/228302-buying-ferrari.html	109	Buying a Ferrari	7,510
41	http://www.englishforum.ch/transportation-driving/263479-car-window-tinting.html	2	Car window tinting	351
42	http://www.englishforum.ch/transportation-driving/263237-independent-garage-jaguar-geneva-area.html	1	Independent garage (Jaguar) - Geneva area	670
43	http://www.englishforum.ch/transportation-driving/263343-yearly-vehicle-check.html	26	Yearly Vehicle Check	1,067
44	http://www.englishforum.ch/transportation-driving/250647-letter-ecollect-ch.html	38	Letter from ecollect.ch	3,491
45	http://www.englishforum.ch/transportation-driving/263390-experience-importing-used-car-germany-switzerland-without-dealer.html	0	Experience of importing a used car from Germany to Switzerland without a Dealer	562
46	http://www.englishforum.ch/transportation-driving/263361-covering-up-vehicle-identity-number.html	5	Covering up the Vehicle Identity Number?	708
47	http://www.englishforum.ch/transportation-driving/263295-zurich-serious-crash-gubrist-tunnel-direction-bern-13-30-today.html	1	Zurich: serious crash in Gubrist tunnel direction Bern 13:30 today	748
48	http://www.englishforum.ch/transportation-driving/223812-discounted-2015-vignettes.html	59	Discounted 2015 vignettes?	8,089
49	http://www.englishforum.ch/transportation-driving/263216-co2-offset-services-import.html	4	Co2 offset services for import	801
50	http://www.englishforum.ch/transportation-driving/69317-all-weather-tires.html	54	All weather tires	6,742
51	http://www.englishforum.ch/transportation-driving/263212-mobile-mechanic.html	1	Mobile Mechanic	716
52	http://www.englishforum.ch/transportation-driving/262626-how-powerful-car-should.html	38	How powerful a car should be	1,842
53	http://www.englishforum.ch/transportation-driving/262785-aftermarket-exhaust-not-ec-approved.html	73	Aftermarket exhaust not EC approved	2,322
54	http://www.englishforum.ch/transportation-driving/206987-flights-us-airlines-not-choose.html	82	Flights to the US - which airlines (not) to choose?	6,221
55	http://www.englishforum.ch/transportation-driving/263080-new-bern.html	4	New to Bern	1,029
