	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
0	null	null	null	null	" 
			
			Still looking for the site on how the payment is calculated.  In the mean time I found this:         
      Messergebnis - - -  Abzug Reduction 
  bis 100 km/h - - - - 5 km/h    
101 bis 150 km/h - 6 km/h    
ab 151 km/h - - - - 7 km/h           
      Messergebnis - - - - -  Abzug Reduction 
  bis 100 km/h - - - - - 3 km/h    
101 bis 150 km/h - - 4 km/h    
ab 151 km/h - - - - - 5 km/h
		"	null	null	null	Serious Speeding - the law, the fines.	guest	null
1	18.06.2013, 16:57	Newbie	Thanked 2 Times in 2 Posts	Location: Basel	"    Look for a loose connection on a plug to the engine management system.
		"	become a little unpopular	Join Date: Jan 2011	Groaned at 0 Times in 0 Posts	Car and engine cleaning pre mfk test	DadaSun	Posts: 9
2	29.06.2012, 09:54	Member	Thanked 100 Times in 44 Posts	Location: Sydney, Australia	" 
			
			Insurance for the drive from England to Switzerland was by my current Swiss insurer, die Mobiliar. I already had one car insured with them, as well as my home contents.    
I literally just phoned up the agent, told him what I was doing, and he organised the temporary cover.    
I did need to provide all information about the car; make, model, colour, build date, engine, VIN, etc, they emailed a confirmation that afternoon that the car was insured for the drive.   
Mind you, I didn't ask them,  , maybe that makes a difference.
		"	earned some respect	Join Date: Aug 2009	Groaned at 0 Times in 0 Posts	How to PRIVATELY import a car EU to CH	Cambo351	Posts: 106
3	null	null	null	null	" 
			
			Hey   
This is such a great thread. Thank you very much for all this usefull info.
		"	null	null	null	Traffic Offences - Q & A Bullet points	guest	null
4	21.02.2006, 11:14	Forum Veteran	Thanked 1,623 Times in 836 Posts	Location: ch	" 
			
			I have asked out converting US driver's license, however was told it's not possible since it's expired before I got here.    
Will it be just a driving test or with theory as well? I do intend to get a tutor to have a better feel of how the test will go.
		"	a reputation beyond repute	Join Date: Dec 2005	Groaned at 37 Times in 37 Posts	[Drivers licence] Conversion and questions	gooner	Posts: 2,291
5	14.09.2010, 18:03	Forum Legend	Thanked 11,153 Times in 4,154 Posts	Location: ZH	" 
			
			One point worth making is that describing the SBB as the Swiss railway network is a little misleading and can cause confusion. While the SBB (Swiss Federal Railways) has by far the largest rail network and is regarded as Switzerland's national railway operator, there are a multitude of other operators both large and small. You'll especially find that if you venture onto the mountain railways they're all private operators, as are light rail operators like the Forchbahn (Zürich's S18 line). Some of these operators have extensive networks, such as the combined network of the Matterhorn-Gotthard-Bahn and the Rhätische Bahn - most famous as the route of the Glacier Express.   
However - don't worry about it! With a very few exceptions your half-fare card or GA is valid on pretty much anything that runs on rails. Just don't be put off or confused when you find yourself looking at a train or a station that doesn't have SBB branding.
		"	a reputation beyond repute	Join Date: Apr 2008	Groaned at 56 Times in 52 Posts	The Swiss Public Transport System	Longbyt	Posts: 7,381
6	null	null	null	null	" 
			
			Excellent.  In less than a week my number sheild now shoes this result: ""Das Suchergebnis ist negativ ausgefallen. Begründung: Das Kontrollschild ist nicht in Verkehr gesetzt,  .""   
:-)
		"	null	null	null	Blocking personal information from eAutoIndex	guest	null
7	29.06.2011, 10:19	Forum Legend	Thanked 17,713 Times in 6,765 Posts	Location: Democratic Republic Kenistan	" 
			
			Here is a current link (2014) that works:      "	a reputation beyond repute	Join Date: Apr 2010	Groaned at 342 Times in 278 Posts	Vehicle Import Duties	dodgyken	Posts: 9,936
8	null	null	null	null	" 
			
			I always carry a large freezer with me filled with dry ice containing a full spare set of internal organs and various bags of common blood groups.    
Oh and a smal pack of band-aids, just in case ....  "	null	null	null	Alcohol test kit required for driving in France - From 1st July 2012	guest	null
9	27.07.2011, 11:44	Senior Member	Thanked 111 Times in 53 Posts	Location: Baar	" 
			
			Could anyone tell me when the Abgastest should be done?   
I moved my car from Luxembourg to Switzerland last weekend. I have paid the Zoll, arranged insurance and now need to go to the STVA to present my paperwork and get a date for the inspection.   
Do I need to have the Abgastest done first?   
With many thanks for your help!
		"	earned the respect of many	Join Date: Sep 2008	Groaned at 2 Times in 2 Posts	My experience importing a car from germany to switzerland....	bobo_97	Posts: 276
10	08.01.2017, 21:11	Forum Veteran	Thanked 1,560 Times in 768 Posts	Location: Switzerland	" 
			
			It might help people to give you some ideas if you mention the country + area (unless it is top secret).
		"	earned the respect of many	Join Date: Mar 2010	Groaned at 178 Times in 105 Posts	Send boxes of personal items abroad	Dack Rambo	Posts: 2,445
11	Yesterday, 14:05	Member	Thanked 42 Times in 22 Posts	Location: Zurich	"    Funny you mention that, I had a timing belt ""jump"" on a Fiat Brava. Not the type of car (and age of it) one even bothers to check out the possibilities of fixing the engine. 
But I was told, it jumping is very unusual - so it is not?
		"	no particular reputation at present	Join Date: Oct 2015	Groaned at 0 Times in 0 Posts	Buying a used car is Zurich with no recent MFK	highsandlows	Posts: 123
