	topic	thread	user	views	replies	location	date	post	user_posts	since	exp	thanked	groaned	reputation
0	Travelday tripsfree time	Family Friendly places to visit in Switzerland	Carmen	131,295	103	Langnau am Albis (ZH)	03.02.2006, 19:45	" 
			
			Although this is just over the border from Basel in Lorrach, I can strongly recommend Oki Doki... my 6 year old son adores it there! You can reach it easily from the end of the number 6 tram route in Riehen.      "	126	 May 2005	3	['1', '1']	['20', '20']	1
1	Travelday tripsfree time	Ideas for winter activities for children. Questions and suggestions	Ekaterina	14,797	19	Zurich	20.12.2011, 11:25	" 
			
			Melchsee Frutt is  beatiful area for family time. many activities    "	87	 Nov 2007	2	['2', '2']	['20', '13']	0
2	Travelday tripsfree time	Viewfinder Center  Photography Community in Zurich	english-gent	1,378	0	Stockholm	27.07.2016, 11:14	"        is Switzerland’s first English-language photography school and has a growing community of creative enthusiasts, who regularly meet on day-trips, workshops and courses.    
Upcoming Events:       
For those who are new to photography, it is recommended to take a beginners course first:           
Outdoor Photography in Focus   
Stampfenbachstrasse 157 
3006 Zürich   
Tel. +41 44 548 07 07 
Email:  
Website:   "	2	 Jun 2015	Staff at The Local	['0', '0']	['0', '0']	0
3	Travelday tripsfree time	Posting for Travel/Day Trips? Read this first...	Nanda	16,361	2	Zurich	03.06.2007, 15:26	" 
			
			This topic is used for travel/day trips in and around Switzerland.   Switzerland means it's OK to discuss continuing events in the neighboring countries or ""How to drive from Switzerland to England/Czech Republic"" etc.    
For travel to other countries, ""Who's going to Ibiza this summer?"" or ""Who has tips about Japan?"", then you can post them in  . An even better idea would be to search online for a travel forum that deals with the region. (Eg: the   or at  ).   
Sometimes we have ""visitor"" members who are coming to visit Switzerland. It's OK for them to post here, as the feedback they receive may be interesting to others here.    
Commercial posts are not allowed, however cunningly they may be hidden.
		"	813	 May 2005	5	['2', '1']	['168', '114']	3
4	Travelday tripsfree time	Sledding/sledging in Switzerland--where to go	rmwhitt	8,208	9	USA	27.08.2012, 05:27	" 
			
			Is it allowed to go on the runs with a snow racer?      "	1	 Aug 2012	0	['0', '0']	['0', '0']	0
5	Travelday tripsfree time	What s interesting during these days in Swiss	superbat	324	7	Luzern	09.01.2017, 11:19	    Well, there are the  , if one is into watching locked up birds.  	152	 Apr 2012	3	['5', '2']	['45', '26']	4
6	Travelday tripsfree time	last minute ski holiday - no f* snow?	shailuwap	2,736	19	Wallisellen	09.12.2015, 12:24	" 
			
			Very little snow all around... last week I was in Flumserberg. some fresh snow was there...
		"	37	 Oct 2013	2	['0', '0']	['31', '12']	2
7	Travelday tripsfree time	When you have been everywhere nice you need some spice.	aSwissInTheUS	5,978	55	Zurich area	03.10.2014, 19:06	"    Reminds me that I have the Ruhrpott on my bucket list.
		"	5241	 Nov 2007	6	['40', '38']	['7', '477', '3', '374']	6
8	Travelday tripsfree time	Flights from Sydney- help.	Odile	1,161	35	Neuchatel	12.12.2016, 13:50	" 
			
			We've just been in australia. we usually use kayak to find our flights. for australia stop over in dubai or singapore is usually good   hope you find sth!
		"	19669	 Sep 2010	6	['388', '289']	['22', '615', '10', '206']	6
9	Travelday tripsfree time	Balloon Festival Château-d'Oex	Odile	409	13	Neuchatel	04.01.2017, 17:17	"     
there's more than meets the eye to balloon flying   but i guess it was delayed due to meteo conditions, sometimes gets very blowy above Ch.d'Oex but you don't realise it or a down draft from Saanen   
(including heavy partying  )
		"	19669	 Sep 2010	6	['388', '289']	['22', '615', '10', '206']	6
10	Travelday tripsfree time	place within 1.5 hours of zurich by train to visit?	crowthebird	846	28	USA	04.01.2017, 00:46	    OP is just trying to dispose of a body and needs an alibi of some sort, thus the precise time-frame.   	10	 Dec 2016	1	['0', '0']	['0', '0']	0
