	hrefs	replies	threads	views
0	http://www.englishforum.ch/insurance/25400-you-eligible-health-insurance-subsidy.html	72	Are you eligible for a health insurance subsidy?	26,502
1	http://www.englishforum.ch/insurance/218610-guide-foreign-student-health-insurance-switzerland-interns-au-pairs.html	0	Guide: foreign student health insurance Switzerland, interns, au pairs	11,437
2	http://www.englishforum.ch/insurance/107480-social-security-switzerland.html	0	Social Security in Switzerland	13,958
3	http://www.englishforum.ch/insurance/107478-health-insurance-look-here-before-asking-questions-please.html	0	Health Insurance - Look here before asking questions please.	24,502
4	http://www.englishforum.ch/insurance/83367-excess-insurance-rental-cars.html	33	Excess insurance for rental cars	14,221
5	http://www.englishforum.ch/insurance/264264-burnout-what-do.html	4	Burnout ... what to do?	438
6	http://www.englishforum.ch/insurance/264253-what-documents-submit-scorestudies-insurance-plan.html	5	What documents to submit to Scorestudies insurance plan	185
7	http://www.englishforum.ch/insurance/264096-insurance-masseuse.html	6	Insurance as a masseuse	371
8	http://www.englishforum.ch/insurance/264104-insurance-before-having-id-card.html	2	insurance before having ID card	147
9	http://www.englishforum.ch/insurance/264089-cancelling-health-insurance.html	1	Cancelling health insurance	175
10	http://www.englishforum.ch/insurance/263853-insuring-valuables.html	10	Insuring Valuables	461
11	http://www.englishforum.ch/insurance/262837-health-insurance-legal-advice.html	17	Health insurance, legal advice	1,178
12	http://www.englishforum.ch/insurance/241440-when-do-you-send-medical-bills-assura.html	21	When do you send medical bills to Assura?	2,700
13	http://www.englishforum.ch/insurance/263786-i-can-help-you-all-your-insurance-requests.html	0	I can help you in all your insurance requests	246
14	http://www.englishforum.ch/insurance/263697-cancel-supplementary-insuarance.html	11	Cancel supplementary insuarance	520
15	http://www.englishforum.ch/insurance/263638-accident-insurance-2-more-jobs.html	2	Accident insurance with 2 or more jobs?	283
16	http://www.englishforum.ch/insurance/263567-insurance-who-s-liable.html	28	Insurance: who's liable?	833
17	http://www.englishforum.ch/insurance/260078-health-insurance-2017-a.html	129	Health Insurance 2017	9,154
18	http://www.englishforum.ch/insurance/253700-european-health-insurance-card.html	11	European Health Insurance Card	1,682
