	hrefs	replies	threads	views
0	http://www.englishforum.ch/introductions/105121-please-read-information-before-posting-your-thread.html	0	Please read this Information before posting your Thread	25,094
1	http://www.englishforum.ch/introductions/264061-dominican-switzerland.html	6	Dominican in Switzerland :)	286
2	http://www.englishforum.ch/introductions/264252-not-brand-new-switzerland.html	1	Not brand new in Switzerland	160
3	http://www.englishforum.ch/introductions/64124-hello-nepali-heart.html	6	Hello From Nepali Heart	917
4	http://www.englishforum.ch/introductions/264102-canadian-switzerland.html	2	Canadian in Switzerland	245
5	http://www.englishforum.ch/introductions/108913-new-basel-nepal.html	10	New in Basel, from Nepal	1,771
6	http://www.englishforum.ch/introductions/264014-home-cleaning-service-needed-baar.html	1	Home Cleaning Service needed in Baar	197
7	http://www.englishforum.ch/introductions/263988-urgent-need-moving-box.html	0	Urgent need for moving box	179
8	http://www.englishforum.ch/introductions/262103-hey-all.html	5	Hey all	550
9	http://www.englishforum.ch/introductions/233655-m-nnedorf-life.html	4	Männedorf life?	1,076
10	http://www.englishforum.ch/introductions/263561-recently-moved-schaffhausen-eager-meet-new-people.html	10	Recently moved to Schaffhausen and eager to meet new people!	574
11	http://www.englishforum.ch/introductions/263630-swiss-hk-couple-moving-basel.html	3	Swiss/HK couple moving to Basel	284
12	http://www.englishforum.ch/introductions/263617-introduction.html	5	Introduction	325
13	http://www.englishforum.ch/introductions/263532-hello-working-mom.html	4	Hello from a working mom	482
14	http://www.englishforum.ch/introductions/263475-greetings.html	1	Greetings	310
15	http://www.englishforum.ch/introductions/263249-ciaoo.html	7	Ciaoo	554
16	http://www.englishforum.ch/introductions/263399-big-thanks.html	0	A big thanks!	277
17	http://www.englishforum.ch/introductions/263000-hi-all.html	12	Hi all!	715
18	http://www.englishforum.ch/introductions/263133-little-vietnamese-girl-geneva-d.html	22	A little Vietnamese girl in Geneva :D	980
19	http://www.englishforum.ch/introductions/263236-looking-nerdy-buddies-chur-area.html	3	Looking for nerdy buddies in Chur area	355
20	http://www.englishforum.ch/introductions/263191-hello-again.html	3	Hello again	375
21	http://www.englishforum.ch/introductions/263170-hello.html	3	Hello	432
22	http://www.englishforum.ch/introductions/263084-greetings-san-francisco.html	2	Greetings from San Francisco	563
23	http://www.englishforum.ch/introductions/262927-hello.html	4	Hello	621
24	http://www.englishforum.ch/introductions/262836-hello-ef.html	7	Hello EF	612
25	http://www.englishforum.ch/introductions/262868-hi-everyone.html	4	Hi everyone	466
26	http://www.englishforum.ch/introductions/262739-hi-ef.html	8	Hi EF	695
27	http://www.englishforum.ch/introductions/262876-hello-all.html	6	Hello All	565
28	http://www.englishforum.ch/introductions/262562-hello-ef-thanks.html	7	Hello EF, and thanks!	614
29	http://www.englishforum.ch/introductions/262481-hello-ef.html	9	Hello EF	613
30	http://www.englishforum.ch/introductions/262375-thanks-forum.html	3	Thanks for The Forum	539
31	http://www.englishforum.ch/introductions/262468-discovering-lausanne-switzerland.html	2	Discovering Lausanne & Switzerland	488
32	http://www.englishforum.ch/introductions/261948-looking-friends-hang-out-ticino.html	7	looking for friends to hang out with in Ticino	668
33	http://www.englishforum.ch/introductions/262131-hello-ef.html	2	Hello EF!	438
34	http://www.englishforum.ch/introductions/101021-world-champ-all-blacks.html	4	World Champ All Blacks	802
35	http://www.englishforum.ch/introductions/262046-hoi-z-me.html	5	Hoi zäme!	580
36	http://www.englishforum.ch/introductions/262070-evening-all.html	7	Evening All	557
37	http://www.englishforum.ch/introductions/261447-hi-huge-thank-you.html	20	Hi, and a huge thank you!	1,224
38	http://www.englishforum.ch/introductions/261788-american-named-london-moving-baden.html	16	American named London moving to Baden	882
39	http://www.englishforum.ch/introductions/261976-hi-everyone.html	5	Hi everyone!	451
40	http://www.englishforum.ch/introductions/259265-south-africans-schaffhausen.html	7	South Africans in Schaffhausen	928
41	http://www.englishforum.ch/introductions/248077-croatian-girl-says-hello-valais.html	4	Croatian girl says Hello from Valais!	1,186
42	http://www.englishforum.ch/introductions/261688-miss-english-banter-hi-everyone.html	4	Miss the English Banter - hi everyone	523
43	http://www.englishforum.ch/introductions/261401-hi-zurich.html	3	Hi From Zurich	525
44	http://www.englishforum.ch/introductions/261525-coming-soon.html	3	Coming soon...	433
45	http://www.englishforum.ch/introductions/261476-hello.html	2	Hello	410
46	http://www.englishforum.ch/introductions/261470-hi-everyone.html	3	hi everyone	372
47	http://www.englishforum.ch/introductions/261394-way-hi-everyone.html	3	By the way, Hi everyone! :-))	444
48	http://www.englishforum.ch/introductions/243480-meeting-moms-zurich.html	6	Meeting moms in Zurich	1,687
49	http://www.englishforum.ch/introductions/261283-taiwanese-lenzburg.html	2	Taiwanese in Lenzburg	361
50	http://www.englishforum.ch/introductions/260935-new-here.html	3	New Here	513
51	http://www.englishforum.ch/introductions/261215-moving-back-zurich-london.html	2	Moving (back) to Zurich from London	517
52	http://www.englishforum.ch/introductions/259479-recently-moved-canadian.html	17	Recently moved Canadian	1,315
53	http://www.englishforum.ch/introductions/252838-drummer-looking-form-blues-classic-rock-band.html	3	Drummer looking to form a blues/classic rock band	1,077
54	http://www.englishforum.ch/introductions/257991-new-bern.html	9	New in Bern	926
55	http://www.englishforum.ch/introductions/135970-finland-switzerland-maybe.html	63	From Finland to Switzerland (maybe?)	8,500
56	http://www.englishforum.ch/introductions/260949-hello-lurker.html	4	Hello from a lurker :)	524
57	http://www.englishforum.ch/introductions/261020-new-zug-u-s.html	1	New to Zug, from U.S.	407
58	http://www.englishforum.ch/introductions/260996-i-just-unlurked-myself.html	1	I just unlurked myself	403
59	http://www.englishforum.ch/introductions/210729-moving-vegas-zurich.html	14	Moving from Vegas to Zurich	1,497
60	http://www.englishforum.ch/introductions/260972-new-zurich-london.html	4	New in Zurich from London	448
