	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	07.02.2013, 10:12	Moddy McModface	Thanked 8,180 Times in 2,984 Posts	Location: Basel	                                            	a reputation beyond repute	Join Date: Apr 2007	Groaned at 52 Times in 46 Posts	FAQ : How to Create a Recurring Event	"""mirfield"	Posts: 8,241	5,586	0	Commercial events
1	03.06.2007, 15:19	Forum Veteran	Thanked 168 Times in 114 Posts	Location: Zurich	" 
			
			Here are the guidelines for posting commercial events.        
You probably know already that your event is commercial, rather than social. In short, if you're advertising your business, charging a fee or hoping to sell something, then it's a commercial event.   have no commercial interest.    
Examples of commercial events are comedy nights, wine tasting, salsa class and advertising concerts. This also includes clubs that charge for events or membership fees.    
Commercial events should specify if there is an entry fee or other price attached. They should preferably have some angle of interest for the expat/englishforum community.   
Example: If I invite people to meet in a pub to watch Chris Black sing, then it's a social event. If Chris himself makes the invitation, then it's commercial.        
There are now two calendars: social (default calendar) and commercial. This helps to separate the different types of event. To see the commercial calendar, look at the bottom right of the calendar and use the “Calendar Jump” field.    
Commercial events should only be posted in the commercial calendar.        
In order to post an event, you have to have a little forum history. Most people qualify pretty quickly. The reason for this is that we want to encourage people to be an active part of the community and not to use it just for free advertising. The qualifications are as follows:   
In case you have further questions, feel free to post your question here.
		"	earned the respect of many	Join Date: May 2005	Groaned at 2 Times in 1 Post	Posting a commercial event? Read this first ...	"""Nanda"	Posts: 813	14,473	8	Commercial events
2	15.11.2016, 21:35	Newbie 1st class	Thanked 2 Times in 2 Posts	Location: Zurich	" 
			
			Hello 
Interested to explore how the photography hobby be converted into a profession? any tips/suggestions?
		"	no particular reputation at present	Join Date: Jul 2008	Groaned at 0 Times in 0 Posts	(Zürich, Other, Viewfinder Center, 350) Digital Photography Beginners Course | 12.01.2017	"""Katya"	Posts: 10	626	2	Commercial events
3	null	null	null	null	null	null	null	null	(GENEVA, Concert/Show, Thtre du Leman, Quai de Mont Blanc 19 GE, Chf 75/65/55.-) Dara O Brian Live in Geneva | 22.01.2017 20:00 -  22:30	null	null	258	0	Commercial events
4	null	null	null	null	null	null	null	null	(BASEL, Concert/Show, Rhypark, Mülhauserstrasse 17, 4056 Basel, Chf 65.-) Dara O Brian Live in Basel | 21.01.2017 20:00 -  22:30	null	null	170	0	Commercial events
5	null	null	null	null	null	null	null	null	(ZURICH, Concert/Show, Volkshaus, Stauffacherstr. 60, 8003 ZH, Chf 65.-) Dara O Brian Live in Zurich | 20.01.2017 20:00 -  22:30	null	null	202	0	Commercial events
6	null	null	null	null	null	null	null	null	(BASEL, Concert/Show, Alte Markthalle, 4051 Basel, Chf 40/35.-) International Comedy Club Basel - Simon Evans | 14.01.2017 20:00 -  22:00	null	null	215	0	Commercial events
7	null	null	null	null	null	null	null	null	(ZURICH, Concert/Show, Mscotte, Theaterstr. 10, 8001 Zurich, Chf 40/35.-) International Comedy Club Zurich - Simon Evans | 13.01.2017 20:00 -  22:00	null	null	259	0	Commercial events
8	null	null	null	null	null	null	null	null	(GENEVA, Concert/Show, Uptown Geneva 2 Rue de Servette 1201 G E, Chf 40/35.-) International Comedy Club Geneva - Simon Evans | 11.01.2017 20:00 -  22:00	null	null	227	0	Commercial events
9	19.12.2016, 12:26	Junior Member	Thanked 39 Times in 24 Posts	Location: Fribourg	" 
			
			Was there in the weekend - Just a thumbs up, it was very cosy.
		"	no particular reputation at present	Join Date: Dec 2015	Groaned at 4 Times in 1 Post	(Landesmuseum, Other, Museumstrasse 2, Zurich, Free entrance) Live on Ice | 19.12.2016 16:00 - 02.01.2017 22:00	"""KevinDK"	Posts: 82	269	1	Commercial events
10	14.12.2016, 13:34	Forum Legend	Thanked 9,764 Times in 3,936 Posts	Location: Glarus	"    Yep, opened in Fribourg yesterday. A mate went to see it, but I'm waiting till I can find a slot where both my kids can go too.
		"	a reputation beyond repute	Join Date: Mar 2009	Groaned at 312 Times in 251 Posts	15/12/2016 Rogue one premier Luzern	"""bigblue2"	Posts: 6,233	374	6	Commercial events
11	08.12.2016, 15:02	Forum Legend	Thanked 12,443 Times in 3,196 Posts	Location: Mostly Zurich	"    1 - 6!
		"	a reputation beyond repute	Join Date: Feb 2007	Groaned at 29 Times in 28 Posts	(Zürich, Special Promotion, British Cheese Centre, Limmatstrasse 231) English Sparkling Wine Degustation | 10.12.2016 13:00 -  17:00	"""grumpygrapefruit"	Posts: 5,075	631	3	Commercial events
12	18.11.2016, 21:01	Forum Veteran	Thanked 1,819 Times in 622 Posts	Location: Zurich	" 
			
			So just a few days to go and preparations well underway. Based on a message received I just wanted to clarify that this will not be a ""choir boys and organ music"" type of carol service - simply a small congregation opening its doors to anyone who wishes to join in on the festive spirit. Everyone involved is really looking forward to it and we hope it will be a great success, as it's the first time this particular church community is doing this.   "	a reputation beyond repute	Join Date: Feb 2012	Groaned at 49 Times in 31 Posts	(Affoltern am Albis, Other, EMK Affoltern, Zürichstrasse 47, No) Traditional English Carol Service in Affoltern am Albis on 11 December | 11.12.2016 17:00 -  20:00	"""Pachyderm"	Posts: 814	596	6	Commercial events
13	07.12.2016, 12:19	Junior Member	Thanked 39 Times in 24 Posts	Location: Fribourg	" 
			
			This sounds very nice. I will defenately stop by one day   "	no particular reputation at present	Join Date: Dec 2015	Groaned at 4 Times in 1 Post	(Lausanne, Concert/Show, Cinéma Oblò, Avenue de France 9) CatCave9: Monthly English Science Improv Theater in Lausanne | 15.12.2016	"""KevinDK"	Posts: 82	301	1	Commercial events
