	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	06.05.2009, 16:20	Forum Veteran	Thanked 901 Times in 444 Posts	Location: Perthia	"    Why register to something that seems to cause you so much angst    
Anyone only using this ""Heads Up"" thread or the EF concert guide is going to miss out on plenty of things they might like anyway. It contains a mere fraction of what is going on. Compare it to a comprehensive gig guide eg   ,   etc   
Real gig guides exists elsewhere, so I certainly can't be bothered replicating them on EF. Call me selfish if you must, but it only caters for those who like to be.....      "	a reputation beyond repute	Join Date: Mar 2006	Groaned at 1 Time in 1 Post	"Switzerland Gigs ""Heads Up"""	"""Yokine"	Posts: 1,233	147,999	1,100	Concerts
1	05.01.2017, 10:53	Newbie 1st class	Thanked 1 Time in 1 Post	Location: Zurich	" 
			
			Ask the Laundryman .. you will find his posts on here .. 
He is the promoter I'm sure he will help..
		"	no particular reputation at present	Join Date: Mar 2013	Groaned at 0 Times in 0 Posts	Looking for Dara O Briain Ticket	"""ccorbett"	Posts: 13	171	1	Concerts
2	16.12.2016, 17:59	Junior Member	Thanked 44 Times in 22 Posts	Location: Zurich	" 
			
			I want to go out with my girlfriend tonight and watch some live music but it's being very hard to find anything.   
I've been asking around and checking on Google/FB but the only thing I could find is a pop concert in Moods, but those CHF30 for an artist I don't know seem a bit excessive. Either way I'll keep the idea as a last option.   
Anyone else has any tips about where to find some live music tonight? I'm up for pretty much anything of a reasonable quality and not too extreme ( jazz, blues, pop, rock, indie, ...)
		"	slipped a little	Join Date: May 2016	Groaned at 0 Times in 0 Posts	Any date-friendly little concerts in Zurich tonight?	"""FelipeT"	Posts: 38	352	0	Concerts
3	20.08.2016, 17:40	Member	Thanked 17 Times in 12 Posts	Location: the middle of lake geneva	" 
			
			Volbeat playing in Geneva Arena on 5th November. Seen them live about 3 times and it is a real good live band.   
Tickets 69 CHF      "	no particular reputation at present	Join Date: Aug 2014	Groaned at 4 Times in 4 Posts	Alternative music anywhere?	"""josquius"	Posts: 154	2,231	24	Concerts
4	22.08.2016, 15:19	Newbie	Thanked 1 Time in 1 Post	Location: Vevey	"    This year the Zurich Operhaus' 'Kinderoper' is Der Zauber von Oz:     
Family programs geared to children 4-9:     
Ages 7+     
Ages 12+     
Scroll down to the bottom of the site, under 'Jung'. (The new website design is not quite intuitive...)     
At the Tonhalle (Zürich symphony), the TOZjung series:    "	no particular reputation at present	Join Date: Jul 2014	Groaned at 0 Times in 0 Posts	Symphony concerts for children?	"""Working Mum"	Posts: 7	811	3	Concerts
5	19.11.2016, 19:45	Newbie	Thanked 0 Times in 0 Posts	Location: Lenzburg, Aargau	" 
			
			Hey!?    
Thanks a lot both of you! That's something (rather a lot) for at start.   
Had a look at them and most places looks really cool and cosy.   
It's always easy to Google places but it's only when people starts recommending them it gets really interesting.   
Thanks again! Highly appreciated.   
Jesper
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Small bars/places with acoustic livemusic?	"""JHC"	Posts: 2	635	3	Concerts
6	04.02.2014, 10:40	Newbie 1st class	Thanked 5 Times in 4 Posts	Location: Zurich	" 
			
			I went to see the show twice with my OH and another group. Both shows in Basel and Zürich were in English. TBH, the nationalities of the performers was highly diverse. Only the staff and public announcements were made auf Deutsch  .  
I actually really enjoyed it, didnt think it would be my cup of tea.
		"	no particular reputation at present	Join Date: Jan 2013	Groaned at 0 Times in 0 Posts	Mamma Mia in Basel, English or German?	"""Sasuke"	Posts: 21	3,868	11	Concerts
7	16.11.2016, 19:13	Member	Thanked 95 Times in 44 Posts	Location: Dicken, St Gallen	"    Yes it is. Post them in Commercial Events, please. Thanks.
		"	considered knowledgeable	Join Date: Jan 2007	Groaned at 5 Times in 2 Posts	Hulk City  -	"""audiodruid"	Posts: 196	432	1	Concerts
8	15.12.2015, 09:28	Forum Legend	Thanked 9,667 Times in 4,069 Posts	Location: Roundn'about Basel	"    There will be a Carol Service in the Evangelisch-Methodistische Kirche Affoltern am Albis (not to be confused with the Affoltern in the North of Zurich   ) on December 11th, the traditional kind with nine lessons and carol singing. Don't know about any Christmas Gospel concerts in Zurich though.
		"	a reputation beyond repute	Join Date: Dec 2009	Groaned at 102 Times in 91 Posts	Christmas Carol concert (Basel) | 01.01.1970	"""Carlos R"	Posts: 7,093	2,252	3	Concerts
9	01.11.2016, 22:18	Newbie	Thanked 2 Times in 2 Posts	Location: Zurich	" 
			
			i will watch them in Manchester (at the same concert with Alter Bridge, Gojira and Like a Storm (from NZ), they are playing at the Nov 8 th here in zurich(then i will watch killswitch engage and Bullet for my valentine,so more bang for my buck).   
I have seen them this year at the fortarock ,nijmwegen.
		"	no particular reputation at present	Join Date: Nov 2015	Groaned at 1 Time in 1 Post	Volbeat	"""Dayman"	Posts: 9	435	1	Concerts
