	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	null	null	null	null	" 
			
			hi,    
i) language(s) that you are learning, including level   
ii) language(s) you speak natively    
iii) your location    
iv) personal interests (eg sport, film, music etc)   
v) short introduction about yourself    "	null	null	null	Find Your Tandem/Language Exchange Partner on EF!	guest	null	165,236	747	Language corner
1	15.02.2011, 21:42	Forum Legend	Thanked 11,137 Times in 4,149 Posts	Location: ZH	                        	a reputation beyond repute	Join Date: Apr 2008	Groaned at 56 Times in 52 Posts	Swiss German - Learning / Basic Vocabulary / Translations Swiss German < > English	Longbyt	Posts: 7,374	24,997	0	Language corner
2	17.09.2010, 22:09	Forum Legend	Thanked 4,897 Times in 1,696 Posts	Location: Zurich	" 
			
			After much debate an excellent idea by Treverus was to create a social group for the 'Practice Writing German thread'   
it can be found here for any that want to be involved       
Mods will check in from time to time but as with the other social groups they are pretty much left up to the participants to maintain. So play nicely   
If anyone wants to set a similar group up for French, Italian or Romanisch then you are free to do so, just let us know so we can create a sticky for it also   
Nicky
		"	a reputation beyond repute	Join Date: May 2006	Groaned at 46 Times in 40 Posts	The German practice 'social group'	Nickers	Posts: 3,733	16,642	0	Language corner
3	30.08.2006, 12:38	The Architect	Thanked 418 Times in 115 Posts	Location: Zollikon, Switzerland	" 
			
			Welcome to the Language Corner. Please take a moment to review these guidelines before you post.       
Switzerland has three main official languages (German, French, Italian). To make it easier for people to select the threads that interest them please prefix your subject line with the name of the language. For example:         
In some cases no prefix is necessary, for example:       
As always - try to make your subject line as relevant and as informative as possible.     
Discussions here should be limited to the use of language as it applies to life in Switzerland. This could include the use of English (see next section), but should not incude other languages (e.g. Spanish, Japanese) unless they are relevant to a topic in discussion (such as highlighting the difference between German and Japense, or the similarities between Italian and Spanish).        
This forum may be called ""English Forum"", but the focus is for English-speaking people living in Switzerland. This area  . Posts from non-natives (especially outside Switzerland) looking for help with their English  . There are other forums on the internet that deal with the English language, please use these instead (hint: google).   
From time to time there may be coverage about the English language but this will only be in the following cases:   
Please take note of the following linguistic terms that are frequently spelled incorrectly by native English speakers (since they will be used often in this area):     , not grammer.   , not pronounciation. Pronounce contains an   after the first  , pronunciation does not.
		"	a reputation beyond repute	Join Date: May 2005	Groaned at 3 Times in 3 Posts	Guidelines for the Language Corner - read before posting here	mark	Posts: 3,070	17,078	0	Language corner
4	04.01.2017, 12:41	Newbie	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			Take a look at this school, which is located in Egg, not far from  the Greifensee: german-language-school.ch
		"	earned some respect	Join Date: Jan 2016	Groaned at 2 Times in 1 Post	Hey I need to make A2 German course with certificate	Bat	Posts: 7	245	4	Language corner
5	30.11.2016, 17:21	Newbie	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			good idea, but i am in aargau
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	German practice	SunsetIT	Posts: 8	696	6	Language corner
6	03.01.2017, 15:49	Newbie	Thanked 1 Time in 1 Post	Location: Basel	" 
			
			I took the exam without much preparation other than doing a couple of practice exams. I found the use of English parts easy, I practiced those parts that I struggled with most. The oral part was not difficult either, in preparation I watched some videos and looked at the examiner notes on those exams, which are all available online as examples. This really helped, as I knew what was expected. The essay was not hard, but you need to know how to write different types of essays, letters, etc, once you have the structure right, the rest is easy. There was one part in the reading that I found tricky, where you had to put text pieces into the right order. The text made sense to me in a few different ways. The other part I found rather difficult was the 2nd part of the listening exam, where you had a variety of of muliple choice answers. I kind of guessed at some of those answers, but since I aced the other part of the listening exam, it didn't matter so much. I ended up passing with an A Grade.
		"	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	English: CAE or CPE?	Henry January	Posts: 6	861	30	Language corner
7	25.11.2016, 14:45	Newbie	Thanked 0 Times in 0 Posts	Location: Sierre	" 
			
			Hi, Gaetano, 
Great.  Based on my experience, it does help to have English as a buffer language (at least for me to learn Italian).  Let me know the times you are available and we can see how far we go.  For now, I'm just recovering from a severe cold and should be practically ok next week. 
Regards, 
Khin
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Tandem French/Italian Sierre	gaetanomanzo	Posts: 2	421	3	Language corner
8	04.01.2017, 21:13	Newbie	Thanked 1 Time in 1 Post	Location: Rome-Basel	" 
			
			i'd like to learn german and i can teach italian
		"	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	german for italian	april smile	Posts: 1	156	0	Language corner
9	26.10.2013, 13:45	Senior Member	Thanked 318 Times in 143 Posts	Location: Zurich	"    You may have a long wait, the OP hasn't been active on the forum for over a year.
		"	earned the respect of many	Join Date: Nov 2012	Groaned at 16 Times in 14 Posts	French tandem English/German/Italian - Zurich	Trillian Astra	Posts: 349	1,128	7	Language corner
10	03.10.2015, 16:41	à la mod	Thanked 12,823 Times in 4,182 Posts	Location: Basel-Land of Smiles	" 
			
			Yes it is great it is now in English. 
Though the usual thing is just to install Google Translate extension and let it do the magin
		"	a reputation beyond repute	Join Date: Nov 2007	Groaned at 94 Times in 75 Posts	Amazon.de now available in English	Castro	Posts: 4,795	2,693	5	Language corner
11	24.12.2016, 12:04	Newbie	Thanked 0 Times in 0 Posts	Location: Turkey	"    LOL, it just bugs you that I found a partway acceptable solution for my 2017.       You piqued my interest with that remark. Couldn't find a reference to typically Swiss but as it's  e, you could have a point. Cheers. Interesting (to me anyway, LOL).
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	English-German Translation	VenomApocalypse	Posts: 2	722	20	Language corner
12	02.01.2017, 09:33	Newbie 1st class	Thanked 18 Times in 11 Posts	Location: Zurich	" 
			
			Have you already checked the prices for private German lessons? If not, you will see that you usually have to pay between 90 and 130 chf for 50 or 60 minutes. Everything under 50 chf  is not acceptable for teachers who have to live from that. So I would suggest that you think again or rather look for online lessons.
		"	no particular reputation at present	Join Date: Mar 2011	Groaned at 0 Times in 0 Posts	Private German Classes	vonni	Posts: 27	229	0	Language corner
13	28.12.2016, 16:23	Newbie 1st class	Thanked 15 Times in 7 Posts	Location: Interlaken	"    I would definitely say that  . Doesn't ""ich langlaufe"" sound awful to you?   
Having said that, most people probably wouldn't use the word as a verb; rather ""der Langlauf"" or even ""das Langlaufen"" as a noun.
		"	no particular reputation at present	Join Date: Sep 2016	Groaned at 0 Times in 0 Posts	German class questions	syngiun	Posts: 12	934	29	Language corner
14	22.11.2016, 13:02	Junior Member	Thanked 18 Times in 11 Posts	Location: Zug	" 
			
			I teach by Skype and have a number of students of all ages, and various nationalities. It is a pleasure to use this medium as the interaction between student and tutor is spontaneous. It is very important to see body-language too, so Skype works well in interpreting reactions. Super, and it's free  "	considered knowledgeable	Join Date: Apr 2015	Groaned at 1 Time in 1 Post	Online lessons	Pinkpanter	Posts: 52	1,131	11	Language corner
15	25.11.2016, 17:46	Senior Member	Thanked 353 Times in 166 Posts	Location: Konwileggdorf	" 
			
			Google translate also translates from the pictures, I was unaware of the fact.
		"	an excellent reputation	Join Date: Feb 2011	Groaned at 5 Times in 4 Posts	Japanese speaker please	Divesnowboy	Posts: 484	527	2	Language corner
16	05.12.2016, 17:50	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			I'm taking an A2 intensive class there. I don't find the teacher to be particularly good, but she's comparable to a teacher I had at Migros Klubschule. My course is relatively small: 6 or 7 people.    
I think it's good value since it is inexpensive.
		"	no particular reputation at present	Join Date: Jun 2014	Groaned at 0 Times in 0 Posts	"Feedback on ""hallodeutschschule.ch"" school"	Pedro Cruz	Posts: 12	521	2	Language corner
17	13.12.2016, 14:24	Newbie	Thanked 1 Time in 1 Post	Location: Zurich	" 
			
			Assuming you want to improve your English by tandem talks?   
PM sent.
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	English German in Zurich?	zibesa	Posts: 1	397	2	Language corner
