	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	18.05.2009, 08:31	Forum Veteran	Thanked 907 Times in 455 Posts	Location: varied, now Nouvelle Normandie	" 
			
			But remember to keep money in it... because the bank charges build up and you can end up in the red by not keeping your eye on your balance because you are busy with your new life and place!   "	a reputation beyond repute	Join Date: Jul 2008	Groaned at 24 Times in 21 Posts	Leaving Switzerland Permanently	Louis Wu	Posts: 1,027	117,144	217	Leaving Switzerland
1	07.01.2017, 11:51	Junior Member	Thanked 9 Times in 5 Posts	Location: Lausanne	" 
			
			Hello, all,   
after a good few years in Lausanne, I'm wrapping things up here and moving on to the next adventure. Most of my belongings will get donated, but there are stacks of books and clothes that I want to box and ship overseas (by slow boat is fine). My questions are:   
a) can anyone recommend shipping companies that would handle about a cubic meter or two of books and clothes and a couple of sentimental knick knacks? 
b) where is the best place to get packing boxes / a packing crate around here? 
c) any additional advice on overseas shipping?
		"	earned some respect	Join Date: Apr 2013	Groaned at 0 Times in 0 Posts	Moving to Korea - advice on overseas shipping	Lukc	Posts: 40	133	0	Leaving Switzerland
2	27.06.2012, 15:19	Newbie	Thanked 0 Times in 0 Posts	Location: St-Cergue, Vaud	" 
			
			Thanks - PM sent.
		"	no particular reputation at present	Join Date: Mar 2010	Groaned at 0 Times in 0 Posts	Are you moving from Switzerland to New Zealand?	KiwiMaya	Posts: 1	1,865	5	Leaving Switzerland
3	12.09.2016, 14:00	Newbie 1st class	Thanked 2 Times in 2 Posts	Location: Oerlikon	" 
			
			Hi,   
Picking up this thread.   
I've read the documents suggested above (on the ahv website).   
I'm still slightly confused.   
My AHV / OASI / Pillar 1 contributions are about 5% of salary.   
I am a UK national leaving Switzerland and moving to New Zealand. (New Zealand is a non-agreement state). I am 40 years old.   
Pg 48 of that document states:   
""Citizens of non-contracting states who live abroad may apply for, and be 
granted, reimbursement of their OASI contributions without interest, after 
they have definitively left Switzerland. They must have paid contributions 
for at least one full year to be entitled to reimbursement.""   
Question 1. 
Am I eligible to claim these contributions back? (Being a UK passport holder, but emigrating to NZ)   
Question 2. 
Is this a completely different pension / pot of money from my 'Pillar 2' pension, or are they merged together somehow?   
(I know that I can withdraw my pillar 2 pension, but I will be charged withdrawl tax, etc.)   
I know that I can ask the AHV directly, but I just wondered if anyone here had been through the same thing? (EU national leaving to a non-agreement state).   
Cheers
		"	no particular reputation at present	Join Date: Nov 2015	Groaned at 0 Times in 0 Posts	AHV contributions	Nupss	Posts: 11	852	4	Leaving Switzerland
4	01.10.2016, 23:24	Member	Thanked 173 Times in 68 Posts	Location: Zurich	" 
			
			For me it will be Berlin. Great city, lots of cultural things to do, living on the outskirts of the city allows me to go for nice walks at the lakes and in the forests. And I hope to fullfil my dream of going back to university.   
Downside is definitely the tax system...............
		"	earned the respect of many	Join Date: Feb 2012	Groaned at 4 Times in 4 Posts	Best country to retire	WilliamTell	Posts: 177	8,818	151	Leaving Switzerland
5	03.01.2017, 11:51	Newbie	Thanked 0 Times in 0 Posts	Location: Zug	" 
			
			if your Mrs does have a good job just resign?  from what i have seen it a pain.  you may be able to wing it if you do 6 months for example and are below the 120K threahold which means you do not need to file a tax return.   
keeping up rent and so on, unless you sublet doesnt make much sense i would think.   
shame as i think CH is a good and safe place for kids to grow up but yes i know other social differences with the swiss kids
		"	no particular reputation at present	Join Date: Sep 2014	Groaned at 0 Times in 0 Posts	Back to Blighty	All else fails, try Wales	Posts: 1	381	3	Leaving Switzerland
6	04.03.2014, 21:11	Member	Thanked 133 Times in 59 Posts	Location: Binningen	" 
			
			Thanks everyone for the information!   
I am currently planning a move at the end of September from Zurich to Seattle. I have been debating whether to just send packages via Swiss post and sell the rest of my things. I only have maximum 10 boxes plus a road bike that I will ship. (I got my bike box from a friend who recently bought one - but I know that bike shops will have extras and you could ask them for one or ask them to hold one for you!)    
I contacted Allied VanLines (US based company) that put me in touch with TeamRelocations here in Switzerland. They quoted me for 15 boxes (2 cubic meters) at 3250CHF with 5-6 weeks door-to-door transport time. I called to confirm this price (which seems super high) and they said that 2 cubic meters was the smallest spot you could buy even if you had less stuff.     
Any suggestions? Does this seem high to anyone else?
		"	considered knowledgeable	Join Date: Jul 2012	Groaned at 1 Time in 1 Post	Moving to USA, Shipping quotes	Holly210	Posts: 169	16,496	51	Leaving Switzerland
7	16.09.2016, 00:17	Member	Thanked 79 Times in 42 Posts	Location: Canada	" 
			
			I also didn't have any problems with Cablecom when I moved apartment and cancelled my contract.   
I sent a registered letter and then followed up to make sure that there were no issues with the cancellation.   
I was prepared to pay an additional month in case there was some sort of mix up but everything was cancelled as I requested.
		"	considered knowledgeable	Join Date: Oct 2009	Groaned at 0 Times in 0 Posts	Canceling Cablecom when you leave - good luck	cereus	Posts: 154	2,332	21	Leaving Switzerland
8	01.03.2016, 15:26	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Vaud	" 
			
			Any idea on how to calculate the AVS refund amount?
		"	no particular reputation at present	Join Date: Sep 2015	Groaned at 0 Times in 0 Posts	AVS refund	Nathyb	Posts: 15	3,910	13	Leaving Switzerland
9	06.12.2016, 20:38	Newbie	Thanked 0 Times in 0 Posts	Location: Erlenbach ZH	"    Hi John,   
I used Alpha Moving to move my furniture & stuff from/to Sweden. They're quite professional, will take good care of your goods and also keep them in storage if needed.  
I can't think of anything in particular you need to keep in mind for moving Sweden <-> Switzerland if you use a professional agency.    
With kind regards, 
MoodyBlues
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Moving from Zurich to Uppsala, Sweden	JohnB	Posts: 1	353	1	Leaving Switzerland
