	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
0	null	null	null	null	" 
			
			for vevey, i went to a vet in tour de peilz...     
dr. olivier rey 
grand rue 2 
tour de peilz 1814   
021 971 1515
		"	null	null	null	The Vet Thread (Recommendations)	guest	null
1	07.09.2010, 11:48	Forum Legend	Thanked 6,261 Times in 2,830 Posts	Location: Winterthur	"     
Great rates especially for long stays. Two (or three?) brothers run the business. A little slow on getting back to you, but they always pick her up on time. They are in the Zurich/Uster area andspeak great English! 
The only downside... my dog smells like cigarette smoke when she comes home.    
Ben and Marek Bagsik:   info@critters.ch  "	a reputation beyond repute	Join Date: Sep 2007	Groaned at 21 Times in 20 Posts	The Pet Boarding Thread - Recommendations and Advice. NO ADS IN HERE	edot	Posts: 4,889
2	05.04.2016, 12:58	Forum Legend	Thanked 16,111 Times in 5,288 Posts	Location: SZ	"         
Our user Meloncollie and others regularly and readily post very helpful info on pet care and especially the SKN course on the EF, and I'm certain they will help you if the need should arise.  
To help us keep the number of new threads and posts regarding the SKN issue low,    
Thank you.   
----------------------------------------------       
Please refer new pet owners with SKN queries and general questions regarding dog courses to this thread as a first step, so that they can read up on the requirements and see if they have questions which haven't yet been covered in this helpful thread.    
Thank you for your help.
		"	a reputation beyond repute	Join Date: Sep 2006	Groaned at 18 Times in 17 Posts	Dogs: Federal SKN and Cantonal Obligatory Course and Trainer Recommendation Thread	meloncollie	Posts: 7,687
3	13.01.2016, 17:50	Forum Legend	Thanked 16,111 Times in 5,288 Posts	Location: SZ	"    You are being asked for a vaccination schedule? Interesting...   
FYI, it is not a federal requirement that a dog   be vaccinated against rabies, only that a dog entering (or re-entering) Switzerland has a valid vaccination, checkable at the border.   
I have had to let Hooligan's  and the Belltie's vacs lapse due to contraindicated illnesses. They obviously cannot cross most borders (one of the reason I am still here    ) or re-enter Switzerland once having left (which is why I haven't been on holiday in years), but are perfectly legal to stay as is throughout Switzerland. See:    )   
Of course private parties such as training schools, shelters or kennels, sports clubs may require vaccination for many different diseases (rabies, KC, etc.) in order for one to participate.     
Hopping on my soap box:   
Federal requirement notwithstanding, healthy dogs should be vaccinated against all diseases that you and your veterinarian deem appropriate. And as the owner of compromised dogs who can no longer be vaccinated, I am grateful to all of you who do vaccinate, promoting herd immunity.
		"	a reputation beyond repute	Join Date: Sep 2006	Groaned at 18 Times in 17 Posts	Important Info for Dog Owners: Change to Obligatory Registration Procedures	meloncollie	Posts: 7,687
4	null	null	null	null	"     
ALL good points!! And no... It's not just you   "	null	null	null	How to spot a reputable breeder	guest	null
5	27.10.2012, 17:11	Forum Legend	Thanked 16,111 Times in 5,288 Posts	Location: SZ	" 
			
			Many thanks! As always a very comprehensive and useful reply    "	a reputation beyond repute	Join Date: Sep 2006	Groaned at 18 Times in 17 Posts	Requirements For Dog Care Providers	meloncollie	Posts: 7,687
6	17.06.2008, 08:05	Forum Legend	Thanked 6,167 Times in 2,917 Posts	Location: AG	" 
			
			Let's hope this information will be helpful- Lulu ran away this morning (not from my house).   
If anyone sees a shorthaired Chihuahua, sable with  white chest and front paws in the Gattikon/Thalwill area let me know.    
Thank you.
		"	a reputation beyond repute	Join Date: May 2007	Groaned at 149 Times in 107 Posts	Tips on How To Report a Lost or Found Pet	Mrs. Doolittle	Posts: 5,437
7	17.02.2011, 17:31	Forum Legend	Thanked 11,142 Times in 4,150 Posts	Location: ZH	    (Cats, dogs)  Please give details of your pet, your environment and any special information about animals you could take care of. Please write the post in a similar form to the other posts.      - Please give details of your pet, your environment and any special information about animals you could take care of. Please write the post in a similar form to the other posts.       	a reputation beyond repute	Join Date: Apr 2008	Groaned at 56 Times in 52 Posts	The Pet Sitting Network - Pet Details / Questions / Comments	Longbyt	Posts: 7,375
8	08.01.2017, 23:41	Junior Member	Thanked 14 Times in 10 Posts	Location: Bern	" 
			
			This post has made me think for a while. I am a total cat lover, but truly I cannot imagine a cat on a flight for 8 hrs (East Coast) or 12 or more... in a soft carrier on a plane. Not for the cat- and certainly not for other passengers either... I know mine would scream blue murder all the way- and the thought of an animla not being able to pee, poop or eat for such a long time is just a total NO.   
When we moved here from UK,  12 hours by car- we bought a very large wire dog crate, so our cat had a litter tray and water- and we stopped regularly to open boot (trunk) for fresh air- and stopped overnight in a Hôtel that allowed us to have our cat and dog with. I would personally much prefer my cat to travel in pressurised hold in a large crate where it can move around and have access to above. All airlines specify that animals must NOT be sedated as it is just too dangerous.   
And I wouldn't want to impose a howling cat on others, especially long haul- what about people who are highly allergic to cats?
		"	no particular reputation at present	Join Date: Dec 2007	Groaned at 0 Times in 0 Posts	Flying with cats to US?	erin	Posts: 58
9	06.11.2016, 16:39	Forum Legend	Thanked 16,111 Times in 5,288 Posts	Location: SZ	"    Have you considered a kennel? Not all kennels are the same. A young dog might really enjoy a weekend with some canine friends.
		"	a reputation beyond repute	Join Date: Sep 2006	Groaned at 18 Times in 17 Posts	2016 Average (Private) Pet Care Cost Thread - your input needed!	meloncollie	Posts: 7,687
