	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	30.12.2016, 10:18	Commercial paid-placement ads	Thanked 14 Times in 10 Posts	Location: Switzerland	    As long as you pay for it it won´t be taken off   	considered a nuisance	Join Date: Jan 2011	Groaned at 5 Times in 4 Posts	Camp Suisse - Adventure and language summer camps and school trips	"""EF Advertising"	Posts: 182	1,416	41	Education
1	12.08.2016, 09:59	Commercial paid-placement ads	Thanked 14 Times in 10 Posts	Location: Switzerland	"         
Learn French effectively with Swiss French School Courses   
The Swiss French School method is based on a 3-step process which allows students to learn French quickly and use it straight away.                now (obligation free) to receive further information about the right course for your needs.   
Need to call right now? 
Genève: +41 22 738 00 20 
Lausanne: +41 21 614 66 30 
Montreux: +41 21 963 49 32 
Fribourg: +41 26 347 35 62 
Neuchâtel: +41 32 725 18 20 
Bienne/Biel: +41 32 725 18 20 
La Chaux-de-Fonds: +41 32 725 18 20
		"	considered a nuisance	Join Date: Jan 2011	Groaned at 5 Times in 4 Posts	Swiss French School  The best place to feel at home in French in Switzerland	"""EF Advertising"	Posts: 182	699	0	Education
2	21.04.2009, 13:58	Forum Legend	Thanked 5,034 Times in 2,432 Posts	Location: From one side of lake Zurich to the other...	   Thought I could help out on the equivalents for the french-speaking cantons:     crèche - early child care, nursery, typically from age 4 months to start of school (4 years)   state-run crèches – costs often linked to income level; availability depends often on where you live, your parental status (e.g. single or two parents), and whether one or both parents work; hours tend to be fixed and yearly closings (vacation periods) substantial; the city often centrally organises the application process; not all towns/communes have creches, especially smaller ones   private crèches – often have greater flexibilities on hours and less vacation periods; possibilities for alternative languages or bilingual; costs are same for all, based on the attendance, full or partial days/days per week.   garderie – group day care for children of all ages    jardin d'enfants - typically for young children, ie. toddlers, although some use it interchangeably with crèche; schools (private) that start at age 3 often call the class jardin d'enfants   maman du jour – mother, who along with her own child(ren), watches other children during the day; some are centrally coordinated by the city/commune   UAPE – Unite Acceuil pour Ecoliers, term coined in the law in Canton Vaud for providing various day care possibilities; UAPE provides before and/or after school group daycare and possibly the midday lunch period for school age children. Organised by the commune typically in conjunction with the school, although the premises may or may not be at the school.   pre-scolaire = providing care for children under the school age (ie. less than 4)   para-scolaire = providing care after school hours for school age children   Ecole/Classes Enfantine – the first two years of school, ages 4 and 5, known as 1ere Enfantine, and 2eme Enfantine. These two years are generally not mandatory (cantons vary on this, please verify) but as typically 95% attend, it is more or less expected that they attend   Ecole Primaire - Primary school, starting from age 6 and attendance is mandatory   Age of children for start of school – this depends on their birthday and varies by Canton significantly, so check locally to have details. In Vaud, if they turn 4 by 30 June, they should start school in September. However parents may request either delay attendance, for those born during May or June, or accelerate attendance, for those born in July and August, under special request. Note, the request may or may not be granted.   Streaming levels – depending on the school and Canton, around 4eme-6eme, the public schools stream children into 3 tracks           HarmoS—a federal initiative to harmonise most aspects of schooling among the Cantons; has not been approved yet; although some cantons are already moving towards harmonisation in some areas. It is generally well liked and accepted in the French speaking cantons, but the opposite is true in the german speaking cantons.   Care for sick children-- In Geneva, the Red Cross (Croix Rouge), via the Chaperon Rouge, can arrange for urgent care of sick children. In Nyon, the Red Cross offers this service as well.     Info about public schooling in Switzerland in English:   http://www.ides.ch/dyn/16833.php     Association of private schools in Switzerland:     http://www.swiss-schools.ch/index.php?sector=01     Private schools in Canton Vaud:     http://www.avdep.ch/     Public schooling in Canton Vaud:     http://www.vaud.ch/en/assets/education/school-system/     Private Creches in Nyon:  http://www.nyon.ch/fr/vivre/enfance-jeunesse/structures-daccueil-hors-reseau-nyonnais-d-accueil-de-jour-985-5420    Public Creches in Nyon:     http://www.nyon.ch/fr/vivre/enfance-...fants-939-5419       Info on schooling in Nyon:     http://www.nyon.ch/fr/vivre/ecoles-education/     Public Creches in Lausanne:     http://www.lausanne.ch/view.asp?domId=62927&amp;language=E     Private Creches in Lausanne:     http://www.naissance.ch/annuaire/bab...ie-creche.html   http://www.les-garderies.ch/1000/25/list.htm     Public schooling in Lausanne:     http://www.lausanne.ch/view.asp?DocId=22513     Private schooling in Geneva:     http://www.agep.ch/eng/index.php     Public schooling in Geneva:     http://www.ge.ch/enseignement_public/     http://www.ge.ch/dip/dip_bref.asp     Public Creches in Geneva:     http://www.ville-ge.ch/dpt5/enfance/bipe_f.php     List of Creches in Geneva:     ftp://ftp.geneve.ch/dip/liste_creches.pdf     Private schools in Valais offering English:     Ardevaz and is located in Sion. St. Georges school, currently in Vaud, will open another school in Verbier starting in Sept. 2010 for 3-11 year olds     Info for families in  Geneva :     http://www.genevefamille.ch/     Info for families in Vaud:     http://www.vaudfamille.ch  	a reputation beyond repute	Join Date: May 2008	Groaned at 33 Times in 22 Posts	Childcare and Schooling in Switzerland	"""swisspea"	Posts: 5,505	61,863	128	Education
3	26.11.2014, 12:39	Commercial paid-placement ads	Thanked 14 Times in 10 Posts	Location: Switzerland	" 
			
			academia International School  Pre-School, Primary School, Precollege, College   
From Pre-School, Primary School, Precollege (English/German): Schifferhaus, Bonergasse 75, 4057 Basel. Phone: +41 (0) 61 260 20 00 
College (English): Margarethenstrasse 47, 4053 Basel. Phone: +41 (0) 61 260 20 80                
academia International School offers full-time international schooling  from preschool to qualification for university entrance.   
Our student-focussed teaching aims to make the best of the individual talents and abilities of each child and to promote the joy of learning.   
Our bilingual   teaches children the preliminaries of reading, writing and calculation as well as promoting their learning, social and action skills. An individual instruction plan focusing on the strengths and aptitudes of each child is developed by native speaker teachers. A combination of guided learning and supervised playing phases offers an ideal environment for children to learn a new language.   
In our   the teaching concept is based on immersion and individual development of the specific aptitudes and abilities of each child. The teaching language alternates on a weekly basis, with lessons taught by a German-speaking teacher in a German-language environment and an English-speaking teacher in an English-language environment. Each class is supported by a language teacher. This serves for enhanced development of linguistic skills of the children by a method that we call ""immersion plus"". Children study in small classes and follow an individual study plan specifically tailored to take into account their individual talents and strengths. This prevents children from being under- or over-challenged.   
Our bilingual   prepares students for entry to our College. Focus is on academic-style study in a homogeneous class environment. Some subjects are taught in German and some in English. The teachers are native speakers.   
Our four-year English-language  prepares students for an international higher education entrance qualification called A Levels.   
Our college programme prepares students for IGCSEs, A/S and A levels. Students can join for 2, 3 or 4 year programmes which is ideal for families who may have to return to the UK or US when their child is 16 as re-integration is straightforward and we have families whose children transition seamlessly to UK 6th form colleges after IGCSEs. Our examination results last year were very good at A and A/S level with over 100 students sitting exams 83% passed with C+ and 44% with A/A* across subjects. At IGCSE level 83% of students passed with C+ and 40% scored A/A* across subjects. We provide full support and guidance for the UCAS application process as well as the process to enter US colleges including SAT test preparation.  We also provide full support and guidance in navigating the wide variety of options within the Swiss system. A levels are accepted by all Swiss Universities and Fachhochschulen.   
We also offer IGCSE English 1st language for English speaking students who are in the Swiss system and wish to make sure their English level is sufficient should they wish to transition to UK Universities. These classes can be organised on Wednesday afternoons  please contact us directly for details.
		"	considered a nuisance	Join Date: Jan 2011	Groaned at 5 Times in 4 Posts	academia International School  Pre-School, Primary School, Precollege, College	"""EF Advertising"	Posts: 182	5,914	0	Education
4	null	null	null	null	" 
			
			Please read the following before posting in this area.     What this area is for   
This area of the forum is for any matters relating to Education  What this area is not for   
This area is not for   
Any posts that are off-topic may be deleted or moved.       Useful links and FAQ   
Check out the threads below. Your question may have already been answered.             - a few guidelines from the folk who should know the answers.
		"	null	null	null	Read This - About Posting in the Education Forum	guest	null	8,980	0	Education
5	null	null	null	null	" 
			
			If anyone has anything to add to this, links with up-to-date information, please let me know and I'll re-open it for you to post here.
		"	null	null	null	Swiss School System	guest	null	16,966	1	Education
6	05.01.2017, 18:37	Newbie	Thanked 0 Times in 0 Posts	Location: Basel	"    SIS is a ""for profit"" organisation. ISB was created by and for the multinational companies.
		"	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	SIS Basel or ISB?	"""SWISSgoose"	Posts: 2	310	8	Education
7	17.12.2016, 21:36	Newbie	Thanked 0 Times in 0 Posts	Location: Brugg	"    Really? This is what I read: ""After reading a lot of posts about schools, we thought that local schools is not a bad option""
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	School for 7 years old around PSI	"""JohnNash"	Posts: 4	855	18	Education
8	04.01.2017, 14:39	Newbie 1st class	Thanked 35 Times in 14 Posts	Location: Vaud	"    No, but if you're motivated you'll find it out yourself
		"	considered knowledgeable	Join Date: Nov 2014	Groaned at 0 Times in 0 Posts	University Funding	"""View from the Alps"	Posts: 28	280	4	Education
9	13.12.2016, 13:24	Newbie	Thanked 0 Times in 0 Posts	Location: zug	" 
			
			According to the  , there are only two Universities that offer accredited paralegal studies. They seem to be in German though. One of them, the ZHAW offers courses and programs in English, if you want to look at  . The other is a distance education University that seems to offer no courses in English.   
I do not see the point of doing your paralegal degree abroad, if working here is your goal, because law firms would prefer to hire someone with knowledge of Swiss laws and knowledge of the local language. (unless you work for an American law firm, or a large international one, where the main language is English)   
I would apply for either internships at law firms or for administrative jobs at law firms (such as this one  ) and gain work experience that might eventually give you access to a paralegal job here. At the very minimum, I would invest in a language course though. Most law firms would welcome a fluent English speaker, but without the German (or French, or Italian), other candidates will be more competitive.    
Wish you all the best.                      "	no particular reputation at present	Join Date: Feb 2011	Groaned at 0 Times in 0 Posts	Paralegal certificate	"""Sss"	Posts: 8	477	6	Education
10	28.12.2016, 18:47	Newbie	Thanked 0 Times in 0 Posts	Location: New Haven	"      I've read that some schools might have positions that are kept open in case of unexpected moves that are not that uncommon with international work.    
If something did come up, I think it will be for 4-6 years. I will have to look into the compatibility between US and Swiss public schools to see if returning will be a problem.
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Summer admissions to International Schools	"""Dan M"	Posts: 5	378	3	Education
11	19.09.2016, 05:33	Newbie	Thanked 9 Times in 2 Posts	Location: Richterswill	" 
			
			If I were an English-speaker looking for a job, these are some steps I would consider taking:   
1. Meet with RAV for job search ideas (while recognizing that RAV will not likely provide unemployment compensation). 
a. Request access (a code) to jobagent.ch 
- Use this database to search for English speaking jobs 
b. Inquire whether RAV would provide support for an A2 German course (after the MigrosKlub is completed)   
This link lists RAV centers in canton Zurich; Richterswil residents use RAV Thalwil:       
2. Search indeed.ch and job-room.ch on ""English"" for jobs requiring English   
3. Search on ""English"" on other job boards listed at aso.ch:       
4. Do the above three mornings or afternoons a week and repeat!    
5. Consider joining a volunteer group to develop contacts, e.g.:      "	no particular reputation at present	Join Date: Sep 2016	Groaned at 0 Times in 0 Posts	Educational and Career Attainment for US Citizen Moving to Switzerland	"""RedSoloCup"	Posts: 7	2,383	34	Education
12	20.12.2016, 13:13	Newbie	Thanked 0 Times in 0 Posts	Location: montreaux	" 
			
			[QUOTE=khirschhorn;2710386]My daughter is attending Glion and we are looking for a tutor/coach to assist this upcoming year please PM Located in Montreaux
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Hospitality Tutor	"""khirschhorn"	Posts: 2	312	1	Education
