	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
0	18.11.2008, 11:36	Forum Legend	Thanked 2,208 Times in 1,248 Posts	Location: Zürich	" 
			
			As it will take some time until we have moved all matching threads to the new Food & Drinks forum, here's a summary of what belongs in the forum section: There are also a few things that don't belong here.    "	a reputation beyond repute	Join Date: Apr 2007	Groaned at 18 Times in 16 Posts	Posting guideline for Food & Drink	Nathu	Posts: 4,674	17,566	0	Food and drink
1	14.06.2016, 14:06	Forum Legend	Thanked 5,095 Times in 2,633 Posts	Location: north	" 
			
			I also endorse these options, within a 5 min walk of Oerlikon station - mentioned in previous posts, in order of preference:      
1) Asiaway, Vietnamese  
2) Malabar, Indian    
2) Dapur, Indonesia:  
3) My Kitchen, Malaysian:      
Yen's is a favourite for sushi.
		"	a reputation beyond repute	Join Date: May 2010	Groaned at 226 Times in 146 Posts	Good Asian restaurants in Zurich city?	rob1	Posts: 6,138	6,173	65	Food and drink
2	03.06.2016, 16:58	Newbie 1st class	Thanked 20 Times in 3 Posts	Location: Zurich Oberland	"    And...I have extra Scoby to give away... 
Jack
		"	made some interesting contributions	Join Date: May 2016	Groaned at 0 Times in 0 Posts	Cold Pressed Juice and Kombucha- Zurich	gypsychef	Posts: 14	998	13	Food and drink
3	04.12.2016, 13:21	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Lausanne	" 
			
			Also on the hunt for good coffee in Lausanne, I tried Sleepy Bear with high hopes but sadly it missed the mark. The place looked good but the taste didn't follow through. Currently back in Sydney having all the coffee I can before returning to Lausanne BUT have come across a coffee truck that moves around the Lausanne area called Sydney Cafe. In La Ripponne twice a week. Might be worth a crack? Has anyone tried this?
		"	no particular reputation at present	Join Date: Mar 2009	Groaned at 0 Times in 0 Posts	Good coffee in Lausanne	pedro1	Posts: 12	1,361	5	Food and drink
4	06.01.2017, 15:32	Newbie 1st class	Thanked 5 Times in 5 Posts	Location: St Gallen	"    Ah, sorry missed that.  I caught the dust one. I have an inhaler for mine. That might work for you!
		"	no particular reputation at present	Join Date: Oct 2013	Groaned at 0 Times in 0 Posts	Juice Cleanse Experience	Kikenz	Posts: 25	710	44	Food and drink
5	13.12.2016, 10:41	Newbie	Thanked 0 Times in 0 Posts	Location: Geneva	" 
			
			Well, it's Geneva...so really:      "	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Mexican food - Geneva	mbdm	Posts: 9	811	8	Food and drink
6	02.11.2016, 19:24	Member	Thanked 268 Times in 113 Posts	Location: Aegeri	" 
			
			B**ger, it's all gone!!  Tasted really good though.  Now, when is it Easter??
		"	earned some respect	Join Date: Jan 2012	Groaned at 0 Times in 0 Posts	It's that time of year again!	countrybumpkin	Posts: 166	506	5	Food and drink
7	11.09.2012, 18:15	Junior Member	Thanked 21 Times in 12 Posts	Location: Zurich	" 
			
			I've tried bubble tea a couple of times and am not a great fan. There is one in front of bahnof oerlikon, but I have never tried it.
		"	no particular reputation at present	Join Date: Nov 2011	Groaned at 0 Times in 0 Posts	Bubble Tea in Zurich	Zurich2009	Posts: 38	4,335	8	Food and drink
8	16.12.2016, 10:42	Newbie 1st class	Thanked 2 Times in 2 Posts	Location: Zurich	"    +1. Very authentic and for Zürich standards are the prices ok.
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Correan Restaurant in Zurich	FlamingoHelveta	Posts: 13	926	17	Food and drink
9	15.11.2016, 18:28	Junior Member	Thanked 58 Times in 19 Posts	Location: Busswil	" 
			
			Couldn't you just sprinkle salt on your toast, butter and jam?   
I mean, what do you do for any other dish that doesn't have enough salt for your taste?
		"	earned some respect	Join Date: Oct 2008	Groaned at 11 Times in 3 Posts	Bringing butter back to Switzerland	Helvetica	Posts: 41	2,853	32	Food and drink
10	10.11.2009, 12:48	Forum Legend	Thanked 2,550 Times in 1,236 Posts	Location: Zug canton (calmly in Cham)	" 
			
			Wow, these are impressive to say the least. Is is possible to order cakes off you directly? Do you have a website? Do you teach cake decorating...?? You have a student if you do...         "	a reputation beyond repute	Join Date: Jul 2007	Groaned at 15 Times in 14 Posts	Post photos of what you cook and bake in Switzerland	argus	Posts: 3,378	336,871	2,766	Food and drink
11	03.01.2017, 11:28	Junior Member	Thanked 41 Times in 18 Posts	Location: Basel	" 
			
			thanks guys, well looks like my hubby will have a few nights watching the kids while this momma goes out for some much needed lady night outs!   
cant wait to check these places out
		"	earned some respect	Join Date: Nov 2013	Groaned at 0 Times in 0 Posts	recommendation please	London2010	Posts: 45	570	3	Food and drink
12	30.12.2016, 20:36	Newbie 1st class	Thanked 6 Times in 2 Posts	Location: Wollerau	" 
			
			HP Sauce acquired in Globus, Zurich.
		"	no particular reputation at present	Join Date: May 2016	Groaned at 0 Times in 0 Posts	Lyons Golden Syrup	aqualetica	Posts: 11	1,009	13	Food and drink
13	25.11.2008, 23:03	Newbie 1st class	Thanked 3 Times in 3 Posts	Location: Zurich	"     
When you get off the train in Zurich HB, walk towards the 'big clock' meeting point, past the L'Occitane shop on your right until there's a big exit on your right. Take it, walk out to cross the street and the street you want is right in front of you on the left side (Schutzengasse). Yumi-hana is on the right side about 60m farther.     
P.S. Love your Labi pup picture. Reminds me of the foster dog we had.
		"	no particular reputation at present	Join Date: Aug 2007	Groaned at 0 Times in 0 Posts	Where to buy Kimchi in Zurich?	WhateverItTakes	Posts: 22	14,019	58	Food and drink
14	18.12.2016, 14:28	Newbie 1st class	Thanked 8 Times in 5 Posts	Location: Basel	"    And the people who groaned at that post are our winners in the ""spot the vegan"" game today!
		"	no particular reputation at present	Join Date: Nov 2010	Groaned at 0 Times in 0 Posts	Where to find Vegan-only shops in Basel?	celine79	Posts: 11	605	10	Food and drink
15	29.12.2016, 09:24	Forum Veteran	Thanked 2,512 Times in 812 Posts	Location: Here	" 
			
			I've always read that cooked rice eaten next day is potentially lethal. However.... many years of experience tells me that out of the fridge and dumped into a very hot frying pan with onions, followed a few minutes later with a few odd veggies lying around and finished off with a good glug of soy sauce makes an excellent fried rice that so far   hasn't killed me off.   
The key thing is to get the rice into the hot pan before too much else is added to cool it down. So oil and (optional) onions/garlic first. Once the pan is sizzling, get the rice in and bang up the heat to keep the temperature high. You get a sort of feel for when the pan is hot enough to have killed off anything dangerous in the rice. After that point, add anything else you want.
		"	a reputation beyond repute	Join Date: Sep 2008	Groaned at 173 Times in 77 Posts	Fried noodles epiphany	Karl	Posts: 1,723	1,651	31	Food and drink
16	21.04.2010, 13:01	Newbie	Thanked 1 Time in 1 Post	Location: Bern	" 
			
			hello   
I was living in Bern and have moved near to luzern. can you help me as well for shops for asian food in luzern or near to luzern?   
the shop in liebefeld is very big and always have fresh fruts and vegetables.   
when you also interested, I could give you the phone nr. of my asian cook from which I have learnd chinese and thai food to cook. he is a very nice person, he is chinese and works as a cook.   
mayby he still organices the cooking hours.   
greetings from schwyz   
hello   
also there are some asian restaurants in markthalle bubenbergplatz, and a good shop for fresh fish and vegetable in schwanengasse, these is near bei bubenbergplatz where the markthalle is   
down in the markthalle are indian, turkisch and other nice restaurants. everytime when I visite bern I go to markthalle.   
also in the new shopping center in brünnen there are some asian restaurants. go with bus 14 (loeb ecke) to the end (brünnen) there is a big shopping center with restaurant, cinema and bathing.   
greetings from schwyz[/QUOTE]
		"	no particular reputation at present	Join Date: Apr 2010	Groaned at 0 Times in 0 Posts	Asian grocery stores and restaurant in Bern?	taraGal	Posts: 7	20,711	29	Food and drink
17	null	null	null	null	" 
			
			Tea is for Sick people   "	null	null	null	The Great Big Tea Thread	guest	null	4,811	74	Food and drink
18	18.12.2016, 18:52	Forum Veteran	Thanked 619 Times in 271 Posts	Location: basel	" 
			
			The army blankets are potato cosies sewn together, surely...      "	earned the respect of many	Join Date: Jan 2008	Groaned at 20 Times in 13 Posts	raclette under the oven grill.. meh	ipoddle	Posts: 757	1,558	45	Food and drink
19	27.12.2016, 09:56	Newbie	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			Quantity? For human consumption or for an animal?
		"	no particular reputation at present	Join Date: Mar 2013	Groaned at 0 Times in 0 Posts	Wherw to buy whole grain wheat	ubya308	Posts: 5	1,155	3	Food and drink
20	21.12.2016, 21:26	Forum Legend	Thanked 9,948 Times in 5,677 Posts	Location: Misery-Courtion	" 
			
			Great culinary news that should fly to every household in CH! It only   me if I should also make some   or   as an hor d'oeuvres for X-mad dinner.   "	a reputation beyond repute	Join Date: Jul 2011	Groaned at 173 Times in 137 Posts	Friday food thread - Coop to start selling bug burgers	Medea Fleecestealer	Posts: 13,853	2,107	28	Food and drink
