	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
0	28.09.2011, 18:20	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	"     
exactly. I do not see any reason to not adapt if you go somewhere. If you move to US or to Russia, you either have to adapt to their values or you just die on the street because there is no social system to catch you.   
I do not say that Russia or US should be the role model but indeed it helps immigrants to be motivated to adapt...
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	SVP to immigrants: Dont mess with the Swiss flag		Posts: 1,154
1	16.07.2012, 16:27	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	"    That's your words. What I said: 
- my lesson kick-off 
- extreme example 
- philosophy class 
You mixed them all in your blender. Not me.    
The reason I don't discuss the Local's lies is exactly what you point out: one does not discuss porn as such in class, it's not a subject and not part of a subject either and won't ever be it. One knows that porn exist, accepts this fact and does not censor it away from the actual teaching. We teach concepts, and if by doing so, we ""touch"" pornography, then so be it. We don't avoid it here but it's not a porn class.    
Even in sexual education, where the discussion about showing porn originated, the idea is to liberate verbal expression in order to kill myths. Giving them condoms to roll up on colourful dildos is part of it, the reflection leading to porn is the ground attitude that if one needs something in class, we use it, no censorship. How useful and for what pedagogical purpose porn could be useful, that's the core of the discussion, and it's not what TheLocal catching line is about. Hence my refusal to relate to them.    
By deviating to philosophy when talking about porn in this thread, it should be clear that I don't advocate the use of porn films. Not because I'm shocked by it of even condemn it as such, but only because in my professional eyes, it would serve no pedagogical purpose. When porn is relevant to my teaching, pictures are not necessary, they all know what is it about and we can proceed to the actual teaching. But who am I to forbid other people to continue that discussion for sex education with pupils 16-19 years old? I do advocate sex education in school, but I don't tell them how to do their job. There are enough people in the field of sex education who participate to this debate, they don't need theLocal's headlines to lead a sensible pedagogical discussion.    
In each field of education, there are outrageous ideas out there. Sex makes it to the headlines, not the other ones. To me, this story is a pedagogical discussion like another one. Business as usual, people have different opinions, exchanging ideas is always a good idea, disagreeing is positive for constructive professional educational discussions etc.
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Allow porn in schools: Swiss men's group		Posts: 1,154
2	08.06.2012, 18:13	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	" 
			
			google street view is alive! its street view 2.0
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Google wins Swiss Street View privacy appeal		Posts: 1,154
3	26.03.2012, 09:48	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	"    That's what they said about petrol as well. That and it would never work because you would need to put fuel stations everywhere so the cars could opperate..... pffft petrol, what a stupid idea that turned out to be.   
Maybe we should all just go back to distilling whale blubber, that sounds sustainable.
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Swatch plans car fueled by hydrogen and oxygen		Posts: 1,154
4	18.11.2011, 12:10	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	"     
Toodle pip!   "	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	EU aiding Greece to dig out unpaid taxes in Swiss banks		Posts: 1,154
5	11.07.2012, 16:17	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	" 
			
			I blame Coop and Migros. We are just too soft, emotional and well fed these days.
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Kill stray cats: Swiss environment official		Posts: 1,154
6	12.07.2012, 17:19	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	" 
			
			Maybe we should all go look in the bushes around Mendrisio:      "	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Workers find gold bars in Swiss bushes		Posts: 1,154
7	27.01.2012, 09:43	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	" 
			
			Swiss football has quite a sophisticated youth development system coordinated by the national association. Xamax was at the time of their downfall responsible for one of the 13 top-level youth organisations in the country supported by the national association and covering the area of the cantons Neuchâtel and Fribourg.    
When Xamax inc. went bankrupt, the bankruptcy judge agreed to keep the youth organisation out of the bankruptcy estate, so this part continued existing with the support of local Xamax-afficionados and the national association. The Under-21 team was at that time playing in 2.Liga Interregional becoming in the same year the 5th level with the introduction of the new national 3rd tier, the Promotion League.    
So, this Under-21 team is the basis of the new Xamax. The majority of the team are still today young players from their own youth organisation. But already from the beginning of the new Xamax some really good and experienced Challenge League (2nd tier)-players from the region (mostly Biel) could be added to the team.    
So, Xamax moved up to the 1.Liga (4th level) in the first season and at the same time merged with the local FC Serrières already active in the 1.Liga (and rather a good team there). From a purely sport point of view the merger was not really necessary, but they think it's better for sponsoring purposes to reduce local competition. So Xamax became again the nr.1 football club in the city after only one year.   
They managed also the promotion from 1.Liga the following year, and currently, Neuchâtel Xamax FCS is even in Promotion League on the first place after 17 out of 30 games with 4 points ahead of Rapperswil-Jona (the other team that moved up with them from 1.Liga this summer). Only the Promotion League champion is promoted at the end of the season to Challenge League.     
So, they have good chances to move up to Challenge League. Afterwards, it will be vital to not repeat the mistakes of the past. They had allowed for Chagaev to take over their club because their ambitions were too high-flying and not realistic in the first place.    
The situation has changed since their haydays in the 80-ies. Nowadays, the place of a club like Xamax is between the lower half of Super League and the upper half of Challenge League. They have the potential to return to Super League, but need to be aware that every now and then, they can drop down to Challenge League and they need to refrain from unrealistic adventures trying to fool reality. FC Aarau is a good example for Xamax, a club with very similar possibilites, but more realistic expectations during the recent decade.
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Prosecutors arrest Swiss club Xamax's owner		Posts: 1,154
8	22.02.2012, 12:28	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	" 
			
			Just in case the parent is in a vulnerable situation I suppose.      "	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Seventh infant found in Swiss 'baby hatch'		Posts: 1,154
9	14.09.2011, 14:48	Forum Veteran	Thanked 77 Times in 52 Posts	Location: Zurich	"     
You can always move.
		"	h	Join Date: Mar 2011	Groaned at 107 Times in 52 Posts	Swiss to make TV licence fee compulsory		Posts: 1,154
